date,signal_date,rank,symbol,score
2026-08-21,2026-08-20,1,HFCL,8.16110739326425
2026-08-21,2026-08-20,2,WELCORP,5.429029643391143
2026-08-21,2026-08-20,3,RRKABEL,3.75403830185801
2026-08-21,2026-08-20,4,ATHERENERG,3.697239132276837
2026-08-21,2026-08-20,5,AEGISLOG,3.166809270955522
2026-08-21,2026-08-20,6,LAURUSLABS,2.7733011328307424
2026-08-21,2026-08-20,7,NEULANDLAB,2.7705745176397922
2026-08-21,2026-08-20,8,OFSS,2.679074460328314
2026-08-21,2026-08-20,9,ACMESOLAR,2.6321265001745022
2026-08-21,2026-08-20,10,APARINDS,2.615405830641878
2026-08-21,2026-08-20,11,NETWEB,2.5584573086235203
2026-08-21,2026-08-20,12,DATAPATTNS,2.357894403608953
2026-08-21,2026-08-20,13,RADICO,2.3040318429846627
2026-08-21,2026-08-20,14,AKUMS,2.2449257045825055
2026-08-21,2026-08-20,15,SYRMA,2.1912061840298707
2026-08-21,2026-08-20,16,BALRAMCHIN,2.1620121790511764
2026-08-21,2026-08-20,17,INOXINDIA,2.156087759466944
2026-08-21,2026-08-20,18,BHEL,2.0481779461833893
2026-08-21,2026-08-20,19,SAILIFE,2.0165578255838006
2026-08-21,2026-08-20,20,HONASA,2.002518659693297
2026-08-21,2026-08-20,21,FINCABLES,1.9549235609966573
2026-08-21,2026-08-20,22,LLOYDSME,1.9410246373564934
2026-08-21,2026-08-20,23,GLAND,1.9206195891489168
2026-08-21,2026-08-20,24,CHENNPETRO,1.9143033438274806
