isin,symbol,ex_date,type,factor_or_amount,detail,face_val,series,subject,source
INE429A01013,ALPICFIN,2000-02-16,dividend,1.5,final,10,EQ,Dividend-15%             Purpose Revised,nse-filing
INE826A01010,SKUPOWER,2000-03-01,dividend,0.1,final,10,EQ,Agm/Dividend - 1%        Purpose Modified,nse-filing
INE255B01010,ALBRMORARJ,2000-03-22,dividend,5.0,final,10,EQ,Dividend-50%             Purpose Revised,nse-filing
INE266A01019,SMITHKLPHA,2000-03-29,dividend,3.0,interim,10,EQ,Interim Dividend-30%     Bc Start Date Revised,nse-filing
INE268A01015,STERLITE,2000-04-12,dividend,11.0,interim,10,EQ,Interim Dividend-110%,nse-filing
INE303401017,ZFSTEERING,2000-04-12,dividend,2.5,interim,10,EQ,Interim Dividend-25%     Purpose Revised,nse-filing
INE489A01017,CHICAGPNUM,2000-04-19,dividend,2.0,final,10,EQ,Agm/Int Dividend-20%     Purpose Revised,nse-filing
INE233A01019,GODREJSOP,2000-04-19,dividend,2.7,interim,10,EQ,Interim Dividend-27%,nse-filing
INE162101013,INDIALEASE,2000-04-19,dividend,1.5,interim,10,EQ,Interim Dividend-15%,nse-filing
INE297C01010,SULZER,2000-04-19,dividend,1.8,final,10,EQ,Dividend-18%             Purpose Revised,nse-filing
INE093A01017,APTECH,2000-04-26,bonus,0.5,1:1,10,EQ,Div-30%/Bonus 1:1        Bc Date Revised,nse-filing
INE051C01011,TOLANIBULK,2000-04-26,dividend,0.6,interim,10,EQ,Interim Dividend-6%,nse-filing
INE223B01026,MALCO,2000-05-03,dividend,1.4,interim,2,EQ,Interim Dividend-70%     Bc Dates Revised,nse-filing
INE639B01015,TANFAC,2000-05-10,dividend,1.1,final,10,EQ,Agm/Dividend-11%,nse-filing
INE223C01016,GESTETNER,2000-05-31,dividend,1.0,final,10,EQ,Agm/Dividend 10%         Purpose Revised,nse-filing
INE005A01011,ICICI,2000-06-07,dividend,1.0,final,10,EQ,Dividend-10%,nse-filing
INE046B01013,SIERRAOPT,2000-06-14,dividend,2.0,final,10,EQ,Dividend-20%             Purpose Revised,nse-filing
INE906A01010,AVERY,2000-06-28,dividend,0.75,final,10,EQ,Dividend-7.5%,nse-filing
INE466A01015,BHARATHOT,2000-07-05,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE247A01019,ANDRAVALLY,2000-07-12,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE246A01011,TATAHYDRO,2000-07-12,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE221B01012,DYNAMATECH,2000-07-19,dividend,1.0,final,10,EQ,Agm/Dividend-10%         Purpose Revised,nse-filing
INE277B01014,PUNJABCHEM,2000-07-19,dividend,1.5,final,10,EQ,Agm/Dividend-15%,nse-filing
INE696A01017,UNITEDBREW,2000-08-02,dividend,2.0,final,10,EQ,Agm/Dividend-20%,nse-filing
INE059401013,DAICHIKARK,2000-08-09,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE205B01023,ELECON,2000-08-09,dividend,0.18,final,1,EQ,Dividend-18%,nse-filing
INE811A01012,KGKHOSLA,2000-08-09,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE224B01024,BIRLAPOWER,2000-08-16,dividend,0.11,final,1,EQ,Agm/Dividend-11%,nse-filing
INE223A01010,RHONEPOULN,2000-08-16,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE910C01018,TTKPHARMA,2000-08-16,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE146B01011,UNIFLEX,2000-08-16,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE199C01026,ADVANIHOTR,2000-08-23,dividend,0.1,final,2,EQ,Agm/Dividend-5%          Bc End Date Rev/Purpose Revised,nse-filing
INE436A01026,ANSALAPI,2000-08-23,dividend,0.5,final,5,EQ,Agm/Dividend-10%         Purpose Revised/Bc End Date Revised,nse-filing
INE508401010,BANKMADURA,2000-08-23,dividend,1.0,final,10,EQ,Agm/Dividend-10%         Purpose Revised/Bc End Date Revised,nse-filing
INE081801016,FALCONTYRE,2000-08-23,dividend,2.0,final,10,EQ,Agm/Dividend-20%,nse-filing
INE826C01016,GUJAPOLLO,2000-08-23,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE887A01012,MCDOWELL,2000-08-23,dividend,2.5,final,10,EQ,Agm/Dividend-25%         Bc Dates Revised,nse-filing
INE455A01018,BALAJIIND,2000-08-30,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE869A01010,SHAWGELTIN,2000-08-30,dividend,2.0,final,10,EQ,Agm/Dividend-20%,nse-filing
INE442A01024,ASSAMCO,2000-09-06,dividend,0.1,final,1,EQ,Agm/Dividend-10%         Purpose Revised,nse-filing
INE071A01013,BINANIZINC,2000-09-06,dividend,3.0,final,10,EQ,Agm/Dividend-30%,nse-filing
INE743A01017,ROOFITIND,2000-09-13,dividend,1.0,final,10,EQ,Dividend-10%             Purpose Revised,nse-filing
INE368A01013,SILVERLINE,2000-09-13,dividend,1.75,final,10,EQ,Agm/Dividend-17.5%       Purpose Revised,nse-filing
INE687A01016,TRANSPEK,2000-09-13,dividend,0.8,final,10,EQ,Dividend-8%,nse-filing
INE268A01023,STERLITIND,2000-09-27,demerger,,,5,EQ,Capital Red./Demerger,nse-filing
INE326A01011,LUPINCHEM,2000-10-11,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE244401019,PORRITSPEN,2000-11-01,dividend,3.3,final,10,EQ,Agm/Dividend-33%         Purpose Revisesd,nse-filing
INE744A01015,SUNEARTH,2000-11-22,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE450401018,FAZETHREE,2000-11-29,dividend,2.0,final,10,EQ,Agm/Dividend-20%         Purpose Revised,nse-filing
INE626B01012,SHAMKNSPIN,2000-11-29,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE730A01014,ORIENTCONT,2000-12-06,dividend,1.5,final,10,EQ,Agm/Dividend-15%         Purpose Revised,nse-filing
INE218A01010,SHREEKRPOL,2000-12-06,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE143B01018,HITECHIJEW,2000-12-13,dividend,0.5,final,10,EQ,Agm/Dividend-5%          Purpose Revised,nse-filing
INE144B01016,CABOTINDIA,2001-01-03,dividend,3.0,final,10,EQ,Agm/Dividend-30%,nse-filing
INE826A01010,SKUPOWER,2001-01-31,dividend,0.1,final,10,EQ,Agm/Dividend-1%,nse-filing
INE536A01015,GRINWELNOR,2001-02-07,dividend,3.0,final,10,EQ,Agm/Dividend-30%         Purpose Revised,nse-filing
INE255B01010,ALBRMORARJ,2001-02-21,dividend,1.0,final,10,EQ,Agm/Dividend-10%         Purpose Revised,nse-filing
INE266A01019,SMITHKLPHA,2001-02-28,dividend,4.0,final,10,EQ,Agm/Dividend-40%,nse-filing
INE300A01016,GOODRICKE,2001-03-14,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE223C01016,GESTETNER,2001-03-21,dividend,1.0,final,10,EQ,Agm/Dividend-10%         Purpose Revised,nse-filing
INE381B01014,RADICOKHAI,2001-04-18,dividend,1.4,final,10,EQ,Agm/Dividend-14%,nse-filing
INE014A01013,RELPETRO,2001-04-25,dividend,0.5,final,10,EQ,Agm/Dividend-5%          Purpose Revised,nse-filing
INE445A01019,ATLASCOPCO,2001-05-09,dividend,3.75,final,10,EQ,Agm/Dividend-37.5%       Purpose Revised/Bc Dates Revised,nse-filing
INE172A01019,CASTROL,2001-05-09,dividend,5.0,final,10,EQ,Agm/Dividend-50%,nse-filing
INE093A01017,APTECH,2001-05-16,dividend,3.0,final,10,EQ,Agm/Dividend-30%         Purpose Revised,nse-filing
INE184A01014,CADBURY,2001-05-16,dividend,5.0,final,10,EQ,Agm/Dividend-50%,nse-filing
INE527A01014,INVELTRANS,2001-05-16,dividend,1.0,final,10,EQ,Agm/Dividend- 10%,nse-filing
INE639B01015,TANFAC,2001-05-16,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE380A01018,TVSELEC,2001-05-16,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE005A01011,ICICI,2001-05-23,dividend,5.5,final,10,EQ,Dividend-55%             Purpose Revised,nse-filing
INE276B01016,PUNANDLAMP,2001-05-23,dividend,1.25,final,10,EQ,Agm/Dividend-12.5%,nse-filing
INE297C01010,SULZER,2001-05-30,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE895C01011,TATAYODOGA,2001-05-30,dividend,3.25,final,10,EQ,Agm/Dividend-32.5%       Purpose Revised,nse-filing
INE223A01010,RHONEPOULN,2001-06-13,dividend,27.0,final,10,EQ,Agm/Dividend-270%        Bc Dates Changed/Bc End Date Changed,nse-filing
INE795A01017,LAKHNNATNL,2001-06-20,dividend,2.0,final,10,EQ,Agm/Dividend-20%,nse-filing
INE368A01013,SILVERLINE,2001-06-20,dividend,1.25,final,10,EQ,Agm/Dividend-12.5%,nse-filing
INE204B01018,VANADYCHEM,2001-06-20,dividend,4.0,final,10,EQ,Dividend-40%,nse-filing
INE908A01016,CIBASPEC,2001-07-02,dividend,6.0,final,10,EQ,Agm/Dividend-60%,nse-filing
INE518A01013,FORBESGOK,2001-07-02,dividend,3.0,final,10,EQ,Dividend-30%,nse-filing
INE535A01017,GRAPHIT,2001-07-02,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE267A01017,HINDZINC,2001-07-02,dividend,0.25,final,2,EQ,Agm/Dividend-12.5%       Purpose Revised,nse-filing
INE022A01016,INDOGULF,2001-07-02,dividend,2.4,final,10,EQ,Agm/Dividend-24%         Purpose Revised,nse-filing
INE794A01010,NEULANDLAB,2001-07-02,dividend,1.5,final,10,EQ,Dividend-15%             Purpose Revised,nse-filing
INE051C01011,TOLANIBULK,2001-07-02,dividend,0.8,final,10,EQ,Agm/Dividend-8%,nse-filing
INE274C01019,WENDT,2001-07-02,dividend,10.0,final,10,EQ,Agm/Dividend-100%        Book Closure Date Revised,nse-filing
INE213C01025,BANCOINDIA,2001-07-04,dividend,0.6,final,2,EQ,Agm/Dividend-30%,nse-filing
INE795B01015,CITURGIBIO,2001-07-05,dividend,1.5,final,10,EQ,Agm/Dividend-15%         Purpose Revised,nse-filing
INE194A01013,TATAUNISYS,2001-07-09,dividend,6.0,final,10,EQ,Agm/Dividend-60%,nse-filing
INE256C01016,TEIL,2001-07-09,dividend,1.5,final,10,EQ,Agm/Dividend-15%,nse-filing
INE712A01012,WARRENTEA,2001-07-12,dividend,4.0,final,10,EQ,Agm/Dividend-40%,nse-filing
INE417A01018,ASSAMFRONT,2001-07-13,dividend,5.0,final,10,EQ,Agm/Dividend-50%,nse-filing
INE583C01013,DECCANCE,2001-07-13,dividend,1.25,final,5,EQ,Agm/Dividend-25%,nse-filing
INE288B01011,DEEPAKNITR,2001-07-16,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE227C01017,MMFL,2001-07-16,dividend,4.0,final,10,EQ,Agm/Dividend-40%,nse-filing
INE573A01018,JKIND,2001-07-20,dividend,2.0,final,10,EQ,Agm/Dividend-20%,nse-filing
INE421C01016,TVSSRICHAK,2001-07-20,dividend,3.5,final,10,EQ,Agm/Dividend-35%         Purpose Revised,nse-filing
INE502A01017,NIPPONDENS,2001-07-25,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE254A01015,PARKEDAVIS,2001-07-27,dividend,10.0,final,10,EQ,Agm/Dividend-100%,nse-filing
INE076B01010,SIYSIL,2001-07-30,dividend,0.7,final,2,EQ,Agm/Dividend-35%,nse-filing
INE046B01013,SIERRAOPT,2001-08-01,dividend,2.0,final,10,EQ,Agm/Dividend-20%,nse-filing
INE283A01014,PRECOT,2001-08-06,dividend,3.0,final,10,EQ,Agm/Dividend-30%         Purpose Revised,nse-filing
