symbol,effective_from,effective_to,note
ABB,2005-01-03,2010-10-01,ABB Ltd. [token-exact]
ABB,2016-04-01,2019-09-27,ABB India Ltd. [current-list]
ABB,2023-03-31,,ABB India Ltd. [press-release]
ABBOTINDIA,2003-03-18,2003-04-01,Abbott India Ltd. [current-list]
ABBOTINDIA,2020-06-26,2021-09-30,Abbott India Ltd. [press-release]
ABCAPITAL,2018-04-02,2019-03-29,Aditya Birla Capital Ltd. [current-list]
ABIRLANUVO,2007-12-12,2015-10-19,Aditya Birla Nuvo Ltd. [norm-exact]
ACC,2003-03-18,2023-09-29,ACC Ltd. [press-release]
ADANIENSOL,2020-03-19,,Adani Transmission Ltd. [survivor-rename]
ADANIENT,2009-03-27,2015-05-29,Adani Enterprises Ltd. [current-list]
ADANIENT,2021-03-31,,Adani Enterprises Ltd. [press-release]
ADANIGREEN,2020-09-25,,Adani Green Energy Ltd. [press-release]
ADANIPORTS,2008-09-10,,Adani Ports and Special Economic Zone Ltd. [current-list]
ADANIPOWER,2024-03-28,,Adani Power Ltd. [press-release]
ALKEM,2020-09-25,2021-09-30,Alkem Laboratories Ltd. [press-release]
AMBUJACEM,2003-03-18,,Ambuja Cements Ltd. [current-list]
ANDHRABANK,2005-01-03,2012-09-28,Andhra Bank [norm-exact]
APOLLOHOSP,2012-09-28,2017-03-31,Apollo Hospitals Enterprises Ltd. [survivor-rename]
APOLLOHOSP,2021-03-31,,Apollo Hospitals Enterprise Ltd. [press-release]
APOLLOTYRE,2003-03-18,2009-10-22,Apollo Tyres Ltd. [current-list]
ASHOKLEY,2003-03-18,2013-09-27,Ashok Leyland Ltd. [current-list]
ASHOKLEY,2015-09-28,2020-06-26,Ashok Leyland Ltd. [current-list]
ASIANPAINT,2003-04-01,,Asian Paints Ltd. [current-list]
ATGL,2022-09-30,2025-03-28,Adani Total Gas Ltd. [press-release]
AUROPHARMA,2003-03-18,2008-09-10,Aurobindo Pharma Ltd. [current-list]
AUROPHARMA,2014-09-19,2022-03-31,Aurobindo Pharma Ltd. [press-release]
AWL,2023-03-31,2024-03-28,AWL Agri Business Ltd. [press-release]
AXISBANK,2003-05-02,,Axis Bank Ltd. [current-list]
BAJAJ-AUTO,2009-10-22,,Bajaj Auto Ltd. [current-list]
BAJAJFINSV,2013-04-01,,Bajaj Finserv Ltd. [current-list]
BAJAJHFL,2025-03-28,2026-03-30,Bajaj Housing Finance Ltd. [press-release]
BAJAJHLDNG,2003-03-18,2008-03-14,Bajaj Auto Ltd. [current-list] [line-override<2008-05-26]
BAJAJHLDNG,2012-09-28,2016-04-01,Bajaj Holdings & Investment Ltd. [current-list]
BAJAJHLDNG,2019-03-29,,Bajaj Holdings & Investment Ltd. [current-list]
BAJFINANCE,2016-04-01,,Bajaj Finance Ltd. [current-list]
BANDHANBNK,2018-09-28,2023-03-31,Bandhan Bank Ltd. [press-release]
BANKBARODA,2003-03-18,2021-03-31,Bank of Baroda [press-release]
BANKBARODA,2021-09-30,,Bank of Baroda [press-release]
BANKINDIA,2003-03-18,2016-04-01,Bank of India [current-list]
BEL,2003-03-18,2012-09-28,Bharat Electronics Ltd. [current-list]
BEL,2016-04-01,2019-03-29,Bharat Electronics Ltd. [current-list]
BEL,2022-09-30,,Bharat Electronics Ltd. [press-release]
BERGEPAINT,2019-09-27,2024-09-30,Berger Paints India Ltd. [press-release]
BHARATFORG,2004-03-01,2017-03-31,Bharat Forge Ltd. [current-list]
BHARTIARTL,2003-08-04,,Bharti Airtel Ltd. [current-list]
BHEL,2003-03-18,2019-09-27,Bharat Heavy Electricals Ltd. [current-list]
