symbol,effective_from,effective_to,note
20MICRONS,2013-07-17,2013-09-27,20 Microns Ltd [kite-dump]
360ONE,2020-06-26,,IIFL Wealth Management Ltd. [survivor-rename]
3IINFOLTD,2009-12-22,2012-09-28,3i Infotech Ltd. [kite-dump]
3IINFOLTD,2013-06-21,2013-09-27,3i Infotech Ltd. [kite-dump]
3MINDIA,1998-08-01,2026-09-30,3M India Ltd. [press-release]
63MOONS,2005-12-08,2016-09-30,Financial Technologies (India) Ltd. [manual-isin]
AADHARHFC,2024-09-30,,Aadhar Housing Finance Ltd. [press-release]
AARTIDRUGS,2016-04-01,2016-09-30,Aarti Drugs Ltd. [kite-dump]
AARTIDRUGS,2020-09-25,2024-03-28,Aarti Drugs Ltd. [press-release]
AARTIIND,2005-04-20,2019-03-29,Aarti Industries Ltd. [current-list]
AARTIIND,2019-12-27,2022-05-04,Aarti Industries Ltd. [press-release]
AARTIIND,2023-03-31,,Aarti Industries Ltd. [press-release]
AAVAS,2019-03-29,,Aavas Financiers Ltd. [current-list]
ABAN,1998-08-01,2018-09-28,Aban Offshore Ltd. [kite-dump]
ABB,1998-08-01,2019-09-27,ABB India Ltd. [current-list]
ABB,2020-06-26,,ABB India Ltd. [current-list]
ABBOTINDIA,1998-08-01,2003-04-01,Abbott India Ltd. [current-list]
ABBOTINDIA,2019-09-27,,Abbott India Ltd. [current-list]
ABCAPITAL,2018-04-02,,Aditya Birla Capital Ltd. [current-list]
ABDL,2026-03-30,,Allied Blenders and Distillers Ltd. [press-release]
ABFRL,2016-04-01,2026-09-30,Aditya Birla Fashion and Retail Ltd. [press-release]
ABGSHIP,2008-02-15,2016-09-30,ABG Shipyard Ltd. [norm-exact]
ABIRLANUVO,2005-01-03,2015-10-19,Aditya Birla Nuvo Ltd. [norm-exact]
ABIRLANUVO,2016-09-30,2017-05-26,Aditya Birla Nuvo Ltd. [norm-exact]
ABLBL,2025-09-30,2026-09-30,Aditya Birla Lifestyle Brands Ltd. [press-release]
ABREL,1998-08-01,2018-12-28,Century Textile & Industries Ltd. [survivor-rename]
ABREL,2020-06-26,,Century Textile & Industries Ltd. [survivor-rename]
ABSLAMC,2022-03-31,2023-03-31,Aditya Birla Sun Life AMC Ltd. [press-release]
ABSLAMC,2024-09-30,,Aditya Birla Sun Life AMC Ltd. [press-release]
ACC,1998-08-01,,ACC Ltd. [current-list]
ACCELYA,2005-01-03,2008-09-10,Accelya Kale Solutions Ltd. [manual-symbol]
ACE,2024-03-28,,Action Construction Equipment Ltd. [press-release]
ACI,2023-03-31,2025-03-28,Archean Chemical Industries Ltd. [press-release]
ACLGATI,2012-09-28,2018-09-28,Gati Ltd. [manual-isin]
ACMESOLAR,2025-03-28,,ACME Solar Holdings Ltd. [press-release]
ACUTAAS,2026-03-30,,Acutaas Chemicals Ltd. [press-release]
ADANIENSOL,2016-04-01,,Adani Transmission Ltd. [survivor-rename]
ADANIENT,1998-08-01,2015-05-29,Adani Enterprises Ltd. [current-list]
