symbol,ex_date,type,factor,note
AARTIIND,2019-07-03,demerger,0.9736,ignored:<5%
AARTIIND,2022-10-19,demerger,0.91737,measured
ABB,2019-12-20,demerger,0.85501,measured
ABFRL,2025-05-22,demerger,0.33408,measured
ABIRLANUVO,2016-01-20,demerger,0.42708,measured
ABREL,2019-10-11,demerger,0.44644,measured
ADANIENT,2015-06-03,demerger,0.17229,measured
ADANIENT,2018-04-05,demerger,0.97623,ignored:<5%
ADANIENT,2018-09-06,demerger,0.77601,measured
ADANIEXPO,2015-06-03,demerger,0.17229,measured
ADANIEXPO,2018-04-05,demerger,0.97623,ignored:<5%
ADANIEXPO,2018-09-06,demerger,0.77601,measured
ADLABSFILM,2009-07-31,demerger,1.01387,ignored:<5%
AGI,2019-08-19,demerger,0.26293,measured
AHLEAST,2022-10-06,demerger,0.50164,measured
AJMERA,2024-08-02,demerger,0.96877,ignored:<5%
ALEMBICLTD,2011-04-11,demerger,0.35394,measured
ALEMBICLTD,2019-08-26,demerger,0.77358,measured
ALLCARGO,2023-04-18,demerger,0.78994,measured
ALLCARGO,2025-11-12,demerger,0.35075,measured
ALOKINDS,2013-02-15,rights,,rights:no-price
ALOKTEXT,2013-02-15,rights,,rights:no-price
ALSTOMT&D,2011-12-14,demerger,0.76166,measured
ANANTRAJ,2020-10-06,demerger,0.56138,measured
ANDHRAPAP,2010-02-23,rights,,rights:no-price
APPAPER,2010-02-23,rights,,rights:no-price
AREVAT&D,2011-12-14,demerger,0.76166,measured
ARSHIYA,2022-03-03,demerger,0.8724,measured
ARVIND,2015-05-28,demerger,1.06316,ignored:<5%
ARVIND,2018-11-28,demerger,0.34914,measured
ARVINDMILL,2015-05-28,demerger,1.06316,ignored:<5%
ARVINDMILL,2018-11-28,demerger,0.34914,measured
AURIONPRO,2018-08-14,demerger,0.91994,measured
AVENTIS,2024-06-13,demerger,0.64661,measured
BAJAJAUTO,2008-03-14,demerger,0.37046,measured
BAJAJELEC,2023-09-14,demerger,0.93105,measured
BAJAJHLDNG,2008-03-14,demerger,0.37046,measured
BAJAUTOFIN,2006-11-13,rights,,rights:no-price
BAJFINANCE,2006-11-13,rights,,rights:no-price
BALKRISIND,2015-03-24,demerger,0.98261,ignored:<5%
BANG,2011-08-24,demerger,0.87544,measured
BEML,2022-09-08,demerger,0.83591,measured
BFUTILITIE,2010-03-11,demerger,0.85172,measured
BILPOWER,2010-11-03,demerger,0.89143,measured
BLUEDART,2014-11-17,demerger,0.9977,ignored:<5%
BOROLTD,2023-12-05,demerger,0.84334,measured
BORORENEW,2020-03-06,demerger,0.26404,measured
BOROSIL,2020-03-06,demerger,0.26404,measured
BRITANNIA,2019-08-22,demerger,1.02359,ignored:<5%
BRITANNIA,2021-05-25,demerger,1.01787,ignored:<5%
BSOFT,2019-01-24,demerger,0.5952,measured
CADILAHC,2008-12-29,demerger,0.94736,measured
CAREERP,2025-05-09,demerger,0.62489,measured
CCAVENUE,2020-12-10,demerger,0.97074,ignored:<5%
CCAVENUE,2024-09-11,demerger,0.96254,ignored:<5%
CELEBRITY,2010-10-26,demerger,0.51908,measured
CENTURYPLY,2013-07-18,demerger,0.86586,measured
CENTURYTEX,2019-10-11,demerger,0.44644,measured
CESC,2018-10-30,demerger,0.82598,measured
CGCL,2017-07-05,dividend,,dividend:unparsed-or-implausible
CGPOWER,2016-03-15,demerger,0.28332,measured
COROMANDEL,2012-07-13,demerger,0.963,ignored:<5%
COX&KINGS,2018-10-25,demerger,0.92069,measured
CPIL,2025-05-09,demerger,0.62489,measured
CROMPGREAV,2016-03-15,demerger,0.28332,measured
D-LINK,2009-06-18,demerger,0.74449,measured
DALMIACEM,2010-09-24,demerger,0.2906,measured
DALMIACEM,2025-10-31,demerger,0.9935,ignored:<5%
DALMIASUG,2010-09-24,demerger,0.2906,measured
