symbol,date,move_pct,revert_pct,kite_agrees
20MICRONS,2008-10-14,-10.1,9.9,True
20MICRONS,2009-04-22,10.0,-8.5,True
20MICRONS,2010-12-09,-9.0,9.0,True
20MICRONS,2015-08-07,13.3,-9.6,True
20MICRONS,2020-12-18,8.9,-8.2,True
20MICRONS,2020-12-21,-8.2,9.6,True
20MICRONS,2022-02-23,8.1,-10.0,True
360ONE,2020-03-23,-9.6,9.1,True
3IINFOLTD,2024-03-13,-9.6,9.6,True
3IINFOTECH,2006-05-17,8.7,-9.3,
3IINFOTECH,2006-06-08,-11.0,10.8,
3IINFOTECH,2018-06-19,-8.0,8.7,
3IINFOTECH,2020-02-07,9.1,-8.3,
3MINDIA,2006-04-24,10.0,-8.1,True
3MINDIA,2009-04-16,-8.2,9.5,True
3MINDIA,2010-10-28,10.7,-8.5,True
63MOONS,2005-07-20,11.8,-12.4,
63MOONS,2008-10-10,-11.3,9.8,True
63MOONS,2008-10-27,-9.4,8.9,True
63MOONS,2015-09-04,-11.1,11.2,True
8KMILES,2018-11-01,-9.9,8.4,
8KMILES,2022-02-23,10.0,-10.0,
8KMILES,2026-03-30,-8.8,9.0,
A2ZINFRA,2013-02-07,11.8,-9.5,
A2ZINFRA,2020-03-06,-11.5,14.5,
A2ZINFRA,2020-12-10,-9.4,9.2,
A2ZMES,2013-02-07,11.8,-9.5,
A2ZMES,2020-03-06,-11.5,14.5,
A2ZMES,2020-12-10,-9.4,9.2,
AANJANEYA,2011-10-20,-17.5,19.3,
AANJANEYA,2012-05-09,-16.3,13.3,
AANJANEYA,2014-05-07,9.9,-10.0,
AANJANEYA,2015-05-05,-9.9,9.6,
AARTIDRUGS,2008-01-22,-18.2,17.4,True
AARTIDRUGS,2008-01-24,-8.4,9.2,True
AARTIDRUGS,2009-01-29,8.2,-9.8,True
AARTIIND,2006-05-31,10.8,-9.4,True
AARTIIND,2008-01-22,-17.3,20.1,True
AASTHA,2026-07-21,20.0,-20.0,
AASTHA,2026-08-05,10.0,-10.0,
AASTHA,2026-08-27,10.0,-9.9,
ABAN,2009-06-05,8.4,-8.5,True
