symbol,ex_date,source,factor,clean_ratio,err
AARTIIND,2005-02-09,kite-observed,0.333905,0.3333333333333333,0.0017
AARTIIND,2006-01-13,kite-observed,0.500105,0.5,0.0002
ABIRLANUVO,2016-01-20,bhavcopy-observed,0.427078,0.42857142857142855,0.0035
ADANIENT,2015-06-03,kite-observed,0.296819,,0.0106
AGI,2005-12-30,kite-observed,0.400038,0.4,0.0001
ALEMBICLTD,2011-04-11,kite-observed,0.460733,0.46153846153846156,0.0017
ALLCARGO,2009-11-19,kite-observed,0.200143,0.2,0.0007
AMBUJACEM,2005-06-20,kite-observed,0.133333,,0.0667
AMTEKAUTO,2015-08-19,bhavcopy-observed,0.694044,0.6923076923076923,0.0025
AMTEKINDIA,2011-11-21,bhavcopy-observed,0.525295,0.5263157894736842,0.0019
ANSALAPI,2026-06-15,kite-observed,0.815266,0.8181818181818182,0.0036
ASAHIINDIA,2005-09-01,kite-observed,0.500031,0.5,0.0001
ASHIMASYN,2015-01-01,kite-observed,0.77976,0.7777777777777778,0.0025
BAJAJHLDNG,2008-03-14,kite-observed,0.368863,,0.0144
BAJFINANCE,2005-04-26,kite-observed,0.816306,0.8181818181818182,0.0023
BALRAMCHIN,2005-03-23,kite-observed,0.099993,0.1,0.0001
BATAINDIA,2005-04-13,kite-observed,0.911334,0.9090909090909091,0.0025
BHUSANSTL,2007-11-26,bhavcopy-observed,1.45015,1.4444444444444444,0.0039
BIRLAPOWER,2013-12-09,bhavcopy-observed,0.666667,0.6666666666666666,0.0
BIRLAPOWER,2014-07-25,bhavcopy-observed,2.0,2.0,0.0
BIRLAPOWER,2014-08-06,bhavcopy-observed,0.666667,0.6666666666666666,0.0
BIRLAPOWER,2014-08-07,bhavcopy-observed,0.5,0.5,0.0
BIRLAPOWER,2014-08-08,bhavcopy-observed,2.0,2.0,0.0
BIRLAPOWER,2014-08-11,bhavcopy-observed,0.5,0.5,0.0
BIRLAPOWER,2014-08-12,bhavcopy-observed,2.0,2.0,0.0
BIRLAPOWER,2014-08-22,bhavcopy-observed,0.5,0.5,0.0
BIRLAPOWER,2014-08-25,bhavcopy-observed,2.0,2.0,0.0
BIRLAPOWER,2014-09-29,bhavcopy-observed,0.5,0.5,0.0
BIRLAPOWER,2014-10-13,bhavcopy-observed,2.0,2.0,0.0
BIRLAPOWER,2014-10-20,bhavcopy-observed,0.5,0.5,0.0
BIRLAPOWER,2014-10-27,bhavcopy-observed,2.0,2.0,0.0
BIRLAPOWER,2014-11-17,bhavcopy-observed,0.5,0.5,0.0
BIRLAPOWER,2014-11-24,bhavcopy-observed,2.0,2.0,0.0
BIRLAPOWER,2014-12-15,bhavcopy-observed,0.5,0.5,0.0
BIRLAPOWER,2015-02-23,bhavcopy-observed,2.0,2.0,0.0
BIRLAPOWER,2015-03-16,bhavcopy-observed,0.5,0.5,0.0
BPCL,2007-11-15,kite-observed,0.910281,0.9090909090909091,0.0013
BSOFT,2005-03-03,kite-observed,0.499762,0.5,0.0005
BSOFT,2019-01-24,kite-observed,0.566378,0.5625,0.0069
CASTROLIND,2010-04-09,kite-observed,0.500028,0.5,0.0001
CASTROLIND,2012-09-04,kite-observed,0.500019,0.5,0.0
CEATLTD,2005-12-02,kite-observed,0.907134,0.9090909090909091,0.0022
CEMPRO,2007-10-30,kite-observed,0.752342,0.75,0.0031
CENTURYPLY,2013-07-18,kite-observed,0.911423,0.9090909090909091,0.0026
CESC,2018-10-30,kite-observed,0.875039,0.875,0.0
CGPOWER,2015-01-01,kite-observed,0.341263,,0.0238
CMC,2009-04-15,bhavcopy-observed,1.502695,1.5,0.0018
COHANCE,2020-03-24,kite-observed,2.0,2.0,0.0
CONCOR,2015-01-01,kite-observed,0.800082,0.8,0.0001
COREEDUTEC,2008-10-13,bhavcopy-observed,0.416058,0.4166666666666667,0.0015
COREEDUTEC,2013-02-25,bhavcopy-observed,0.376042,0.375,0.0028
COREPROTEC,2008-10-13,bhavcopy-observed,0.416058,0.4166666666666667,0.0015
