symbol,p99,max,max_2006plus
20MICRONS,0.058,0.1,0.1
360ONE,0.015,0.0,0.0
3IINFOLTD,1.288,1.8,1.8
3MINDIA,0.0,0.0,0.0
63MOONS,0.0,0.6,0.6
AADHARHFC,0.0,0.0,0.0
AARTIDRUGS,0.388,0.6,0.6
AARTIIND,45.615,81.9,45.6
AAVAS,0.0,0.0,0.0
ABAN,1.317,2.1,2.1
ABB,8.558,8.6,8.6
ABBOTINDIA,2.458,2.6,2.6
ABCAPITAL,0.0,0.0,0.0
ABDL,0.0,0.0,0.0
ABFRL,126.571,126.6,126.6
ABLBL,0.0,0.0,0.0
ABREL,123.994,124.0,124.0
ABSLAMC,2.456,2.5,2.5
ACC,0.0,0.0,0.0
ACCELYA,6.006,6.3,6.3
ACE,0.0,1.3,1.3
ACI,0.0,0.0,0.0
ACMESOLAR,0.0,0.0,0.0
ACUTAAS,0.0,0.0,0.0
ADANIENSOL,0.0,0.0,0.0
ADANIENT,70.529,71.1,71.1
ADANIGREEN,0.0,0.0,0.0
ADANIPORTS,0.0,0.0,0.0
ADANIPOWER,0.398,0.6,0.6
ADOR,0.0,0.0,0.0
ADSL,0.0,0.1,0.1
ADVENZYMES,0.0,0.7,0.7
AEGISLOG,0.09,0.1,0.1
AEGISVOPAK,0.0,0.0,0.0
AETHER,0.0,0.0,0.0
AFCONS,0.0,0.0,0.0
AFFLE,0.009,0.0,0.0
AGARWALEYE,0.0,0.0,0.0
AGI,214.824,215.0,215.0
AHLUCONT,0.0,0.0,0.0
AIAENG,1.112,1.1,1.1
AIIL,0.023,0.0,0.0
AJANTPHARM,0.388,0.6,0.6
AKSHOPTFBR,2.652,7.4,7.4
AKUMS,0.0,0.0,0.0
ALEMBICLTD,42.063,42.1,42.1
ALIVUS,0.0,0.0,0.0
ALKEM,0.0,0.0,0.0
ALKYLAMINE,0.147,4.0,4.0
ALLCARGO,217.847,218.3,218.3
ALOKINDS,0.0,0.0,0.0
AMBER,0.0,0.0,0.0
AMBUJACEM,86.667,86.7,0.0
ANANDRATHI,0.039,0.0,0.0
ANANTRAJ,3.441,3.6,3.6
ANDHRAPAP,22.249,22.3,12.4
ANDHRSUGAR,0.127,0.2,0.2
ANGELONE,0.138,0.2,0.2
ANSALAPI,4.328,30.3,30.3
ANTHEM,0.0,0.0,0.0
ANURAS,0.0,0.0,0.0
APARINDS,0.215,0.2,0.2
APLAPOLLO,0.2,0.3,0.3
APLLTD,0.0,0.0,0.0
APOLLOHOSP,0.003,0.0,0.0
APOLLOTYRE,0.019,0.0,0.0
APTECHT,4.135,5.1,5.1
APTUS,0.0,0.0,0.0
ARCHIES,0.0,0.1,0.1
ARE&M,0.046,0.1,0.0
ARSHIYA,16.668,22.9,22.9
ARVIND,129.345,129.6,129.6
ARVINDFASN,10.839,10.8,10.8
ASAHIINDIA,50.001,50.0,0.0
ASHIANA,0.0,0.0,0.0
ASHIMASYN,41.071,41.3,41.3
ASHOKA,0.013,0.0,0.0
ASHOKLEY,65.333,75.8,75.8
ASIANHOTNR,0.0,0.0,0.0
ASIANPAINT,0.013,0.0,0.0
ASTERDM,0.0,0.0,0.0
ASTRAL,1.142,3.0,3.0
ASTRAZEN,0.0,0.0,0.0
ATGL,0.0,0.0,0.0
ATHERENERG,0.0,0.0,0.0
ATLASCYCLE,100.0,100.0,100.0
ATUL,0.0,0.0,0.0
AUBANK,0.01,1.5,1.5
AUROPHARMA,0.029,0.0,0.0
AUTOAXLES,0.0,0.0,0.0
AUTOIND,0.0,0.0,0.0
AVANTIFEED,0.004,0.0,0.0
AWL,0.0,0.0,0.0
AXISBANK,0.0,0.0,0.0
AZAD,0.0,0.0,0.0
BAJAJ-AUTO,2.528,2.6,2.6
BAJAJCON,0.0,0.0,0.0
BAJAJELEC,27.999,28.1,28.1
BAJAJFINSV,0.12,0.3,0.3
BAJAJHFL,0.0,0.0,0.0
BAJAJHIND,0.009,0.1,0.1
BAJAJHLDNG,63.114,63.1,63.1
BAJFINANCE,37.401,60.0,60.0
BALAJITELE,0.384,0.4,0.4
BALAMINES,0.0,0.0,0.0
BALKRISIND,0.418,0.4,0.4
BALMLAWRIE,5.973,6.1,6.1
BALRAMCHIN,89.999,90.0,0.0
BANARISUG,0.0,5.3,5.3
BANCOINDIA,0.22,0.3,0.3
BANDHANBNK,0.0,0.0,0.0
BANKBARODA,24.677,27.1,26.4
BANKINDIA,6.566,6.6,6.6
BASF,0.0,0.0,0.0
BATAINDIA,11.876,12.0,3.4
BAYERCROP,0.0,0.0,0.0
BBL,0.015,0.0,0.0
BBOX,0.221,0.3,0.3
BBTC,0.0,0.0,0.0
BCG,1.73,2.3,2.3
BDL,0.022,0.0,0.0
BEL,0.307,0.5,0.5
BELRISE,0.0,0.0,0.0
BEML,19.671,19.7,19.7
BEPL,0.25,0.5,0.5
BERGEPAINT,0.244,0.4,0.3
BFUTILITIE,15.261,15.3,15.3
BGRENERGY,1.736,4.1,4.1
BHARATFORG,0.009,0.0,0.0
BHARATRAS,5.46,6.9,6.9
BHARTIARTL,8.924,8.9,8.9
BHARTIHEXA,0.0,0.0,0.0
BHEL,0.006,0.0,0.0
BIKAJI,0.0,0.0,0.0
BIOCON,0.085,0.2,0.2
BIRLACABLE,0.0,0.0,0.0
BIRLACORPN,0.0,0.0,0.0
BLISSGVS,1.568,6.0,6.0
BLKASHYAP,0.023,0.1,0.1
BLS,0.339,0.5,0.5
BLUEDART,0.084,0.1,0.1
BLUEJET,0.0,0.0,0.0
BLUESTARCO,0.056,0.1,0.1
BOMDYEING,0.0,0.0,0.0
BORORENEW,28.818,28.8,28.8
BOSCH-HCIL,0.0,1.6,1.6
BOSCHLTD,0.0,0.0,0.0
BPCL,48.6,63.6,63.6
BPL,0.0,0.0,0.0
BRIGADE,0.118,0.2,0.2
BRITANNIA,0.005,0.0,0.0
BSE,0.432,0.7,0.7
BSL,0.0,0.0,0.0
BSOFT,77.374,88.7,77.4
CAMLINFINE,0.01,0.0,0.0
CAMPUS,0.0,0.0,0.0
CAMS,0.014,0.0,0.0
CANBK,23.476,26.4,26.4
CANFINHOME,8.104,8.2,8.2
CAPLIPOINT,0.0,0.0,0.0
CARBORUNIV,0.011,0.4,0.4
CARERATING,4.118,4.1,4.1
CARTRADE,0.0,0.0,0.0
CASTROLIND,8.035,8.1,8.1
CCAVENUE,2.005,2.3,2.3
CCL,0.051,3.5,3.5
CDSL,0.024,0.0,0.0
CEATLTD,9.294,9.3,0.2
CELLO,0.0,0.0,0.0
CEMPRO,27.018,27.0,27.0
CENTENKA,0.654,0.7,0.7
CENTRALBK,14.944,15.0,15.0
CENTURYPLY,8.87,8.9,8.9
CERA,0.009,0.0,0.0
CESC,20.913,21.0,21.0
CGCL,0.696,5.5,5.5
CGPOWER,65.879,65.9,65.9
CHALET,0.0,0.0,0.0
CHAMBLFERT,0.0,0.0,0.0
CHEMPLASTS,0.0,0.0,0.0
CHENNPETRO,4.234,4.3,4.3
CHOICEIN,0.038,0.0,0.0
CHOLAFIN,8.923,9.0,9.0
CHOLAHLDNG,0.0,0.0,0.0
CIEINDIA,0.0,2.7,2.7
CINEVISTA,0.0,0.2,0.2
CIPLA,0.0,0.0,0.0
CLEAN,0.0,0.0,0.0
COALINDIA,6.929,6.9,6.9
COCHINSHIP,0.02,0.0,0.0
COFFEEDAY,0.0,0.0,0.0
COFORGE,1.352,2.3,2.3
COHANCE,0.018,100.0,100.0
COLPAL,0.004,0.0,0.0
CONCOR,20.018,20.0,20.0
CONCORDBIO,0.0,0.0,0.0
COROMANDEL,80.004,80.0,0.0
COSMOFIRST,0.05,0.1,0.1
CPPLUS,0.0,0.0,0.0
CRAFTSMAN,0.0,0.0,0.0
CREATIVEYE,0.0,1.2,1.2
CREDITACC,0.0,0.0,0.0
CRISIL,0.857,0.9,0.9
CROMPTON,0.0,0.7,0.7
CSBBANK,0.0,0.0,0.0
CUB,16.323,16.5,16.5
CUMMINSIND,0.004,0.0,0.0
CUPID,1.72,2.2,2.2
CYBERTECH,12.381,22.2,22.2
CYIENT,50.263,50.3,50.3
DABUR,50.005,50.0,50.0
