index,date,size,resolved,traded_that_day,coverage_pct
nse500,2006-01-06,500,490,462,92.4
nse500,2006-02-03,500,490,462,92.4
nse500,2006-03-02,500,490,463,92.6
nse500,2006-03-23,500,490,463,92.6
nse500,2006-04-10,500,490,463,92.6
nse500,2006-04-13,500,490,463,92.6
nse500,2006-05-17,500,490,462,92.4
nse500,2006-07-10,500,490,464,92.8
nse500,2006-07-14,500,490,463,92.6
nse500,2006-07-25,500,490,463,92.6
nse500,2006-08-02,500,490,465,93.0
nse500,2006-08-10,500,490,467,93.4
nse500,2006-09-13,500,490,465,93.0
nse500,2006-09-21,500,490,466,93.2
nse500,2006-09-22,500,490,465,93.0
nse500,2006-09-28,500,490,467,93.4
nse500,2006-10-05,500,490,467,93.4
nse500,2006-11-08,500,490,468,93.6
nse500,2006-11-17,500,490,468,93.6
nse500,2006-12-15,500,490,467,93.4
nse500,2007-01-24,500,490,470,94.0
nse500,2007-03-06,500,490,470,94.0
nse500,2007-03-15,500,491,471,94.2
nse500,2007-03-29,500,492,470,94.0
nse500,2007-04-04,500,492,473,94.6
nse500,2007-04-30,500,492,473,94.6
nse500,2007-06-04,500,492,473,94.6
nse500,2007-09-10,500,492,472,94.4
nse500,2007-09-24,500,493,474,94.8
nse500,2007-10-05,500,493,474,94.8
nse500,2007-10-25,500,494,475,95.0
nse500,2007-11-29,500,494,476,95.2
nse500,2007-12-07,500,495,477,95.4
nse500,2007-12-26,500,495,478,95.6
nse500,2008-01-01,500,495,478,95.6
nse500,2008-01-28,500,495,478,95.6
nse500,2008-02-15,500,495,479,95.8
nse500,2008-02-29,500,496,479,95.8
nse500,2008-03-14,500,496,481,96.2
nse500,2008-04-23,500,496,481,96.2
nse500,2008-04-24,500,497,482,96.4
nse500,2008-05-21,500,497,481,96.2
nse500,2008-09-10,500,496,481,96.2
nse500,2008-09-22,500,496,478,95.6
nse500,2008-10-31,500,496,480,96.0
nse500,2008-11-05,500,496,482,96.4
nse500,2008-12-03,500,496,481,96.2
nse500,2008-12-29,500,496,480,96.0
nse500,2009-01-12,500,496,480,96.0
nse500,2009-02-25,500,496,478,95.6
nse500,2009-03-27,500,497,482,96.4
nse500,2009-04-17,500,497,482,96.4
nse500,2009-04-21,500,497,481,96.2
nse500,2009-05-11,500,497,482,96.4
nse500,2009-06-17,500,497,482,96.4
nse500,2009-06-19,500,497,481,96.2
nse500,2009-06-23,500,497,482,96.4
nse500,2009-07-31,500,497,482,96.4
nse500,2009-08-14,500,497,482,96.4
nse500,2009-10-22,500,497,482,96.4
nse500,2009-12-22,500,497,481,96.2
nse500,2010-02-24,500,497,481,96.2
nse500,2010-03-09,500,497,483,96.6
nse500,2010-04-06,500,497,483,96.6
nse500,2010-04-08,500,497,483,96.6
nse500,2010-04-15,500,497,484,96.8
nse500,2010-05-26,500,497,484,96.8
nse500,2010-07-08,500,497,484,96.8
nse500,2010-08-31,500,497,484,96.8
nse500,2010-09-17,500,497,484,96.8
nse500,2010-09-24,500,497,484,96.8
nse500,2010-10-07,500,497,484,96.8
nse500,2010-11-25,500,497,484,96.8
nse500,2011-01-20,500,497,485,97.0
nse500,2011-02-08,500,497,485,97.0
nse500,2011-03-24,500,497,485,97.0
nse500,2011-03-25,500,497,485,97.0
nse500,2011-04-11,500,497,485,97.0
nse500,2011-04-21,500,497,485,97.0
nse500,2011-05-03,500,497,485,97.0
nse500,2011-05-18,500,498,486,97.2
nse500,2011-06-21,500,498,486,97.2
nse500,2011-08-29,500,498,486,97.2
nse500,2011-10-10,500,497,486,97.2
nse500,2011-12-07,500,496,485,97.0
nse500,2012-03-07,500,495,484,96.8
nse500,2012-03-09,500,496,485,97.0
nse500,2012-04-09,500,496,485,97.0
nse500,2012-04-12,500,496,485,97.0
nse500,2012-04-27,500,496,485,97.0
nse500,2012-06-18,500,495,485,97.0
nse500,2012-09-28,500,495,486,97.2
nse500,2013-01-23,500,495,486,97.2
nse500,2013-03-07,500,495,486,97.2
nse500,2013-03-19,500,495,486,97.2
nse500,2013-04-01,500,496,487,97.4
nse500,2013-04-17,500,496,487,97.4
nse500,2013-06-11,500,497,488,97.6
nse500,2013-06-21,500,497,486,97.2
nse500,2013-07-17,500,497,487,97.4
nse500,2013-08-07,500,498,487,97.4
nse500,2013-09-27,500,497,488,97.6
nse500,2013-11-01,500,497,487,97.4
nse500,2013-11-18,500,496,487,97.4
nse500,2014-02-28,500,496,488,97.6
nse500,2014-03-28,500,495,487,97.4
nse500,2014-05-12,500,495,487,97.4
nse500,2014-06-30,500,495,487,97.4
nse500,2014-07-28,500,495,487,97.4
nse500,2014-09-19,500,494,486,97.2
nse500,2014-11-28,500,494,486,97.2
nse500,2015-02-02,500,494,486,97.2
nse500,2015-03-24,500,494,486,97.2
nse500,2015-03-27,500,494,486,97.2
nse500,2015-05-29,500,494,486,97.2
nse500,2015-06-15,500,494,486,97.2
nse500,2015-09-28,500,495,488,97.6
nse500,2015-10-19,500,495,488,97.6
nse500,2015-12-14,500,496,489,97.8
nse500,2016-01-18,500,496,489,97.8
nse500,2016-04-01,500,498,491,98.2
nse500,2016-04-29,500,498,491,98.2
nse500,2016-09-30,500,498,491,98.2
nse500,2016-11-15,500,498,491,98.2
nse500,2017-01-23,500,498,491,98.2
nse500,2017-03-16,500,498,490,98.0
nse500,2017-03-31,500,498,491,98.2
nse500,2017-05-26,500,498,492,98.4
nse500,2017-06-23,500,498,492,98.4
nse500,2017-09-05,500,498,492,98.4
nse500,2017-09-29,500,500,493,98.6
nse500,2017-10-30,500,500,493,98.6
nse500,2017-11-13,500,500,493,98.6
nse500,2017-11-20,500,500,493,98.6
nse500,2018-02-05,500,500,493,98.6
nse500,2018-03-13,500,500,493,98.6
nse500,2018-04-02,500,500,495,99.0
nse500,2018-06-29,500,500,495,99.0
nse500,2018-08-08,500,500,495,99.0
nse500,2018-09-28,500,500,496,99.2
nse500,2018-12-28,500,500,496,99.2
nse500,2019-01-28,500,499,495,99.0
nse500,2019-03-29,500,498,494,98.8
nse500,2019-04-15,500,498,493,98.6
nse500,2019-06-28,500,498,494,98.8
nse500,2019-09-24,500,498,494,98.8
nse500,2019-09-27,500,499,496,99.2
nse500,2019-12-26,500,500,497,99.4
nse500,2019-12-27,500,501,499,99.8
nse500,2020-01-16,500,501,499,99.8
nse500,2020-03-19,500,501,499,99.8
nse500,2020-06-26,500,501,500,100.0
nse500,2020-07-31,500,501,500,100.0
nse500,2020-09-14,500,501,500,100.0
nse500,2020-09-25,500,501,500,100.0
nse500,2020-11-02,500,501,500,100.0
nse500,2020-11-25,500,501,500,100.0
nse500,2021-03-31,500,501,500,100.0
nse500,2021-04-29,500,501,500,100.0
nse500,2021-06-30,500,501,500,100.0
nse500,2021-09-30,500,501,500,100.0
nse500,2021-10-29,500,501,500,100.0
nse500,2022-03-31,500,501,500,100.0
nse500,2022-04-07,500,501,500,100.0
nse500,2022-04-12,500,501,500,100.0
nse500,2022-05-04,500,501,500,100.0
nse500,2022-05-31,500,501,500,100.0
nse500,2022-08-08,500,501,501,100.2
nse500,2022-09-30,500,501,501,100.2
nse500,2022-12-30,500,501,501,100.2
nse500,2023-02-17,500,501,501,100.2
nse500,2023-03-31,500,501,500,100.0
nse500,2023-04-28,500,501,500,100.0
nse500,2023-07-13,500,501,500,100.0
nse500,2023-09-29,500,501,500,100.0
nse500,2023-10-26,500,501,500,100.0
nse500,2024-03-28,500,501,500,100.0
nse500,2024-09-30,500,500,499,99.8
nse500,2024-10-10,500,500,499,99.8
nse500,2024-10-16,500,500,499,99.8
nse500,2025-03-21,500,500,499,99.8
nse500,2025-03-28,500,500,499,99.8
nse500,2025-04-11,500,500,499,99.8
nse500,2025-09-23,500,500,500,100.0
nse500,2025-09-30,500,500,500,100.0
nse500,2025-12-31,500,500,499,99.8
nse500,2026-03-30,500,500,500,100.0
nse500,2026-05-12,500,500,500,100.0
nse500,2026-07-17,500,500,500,100.0
nifty50,2006-06-27,50,49,48,96.0
nifty50,2006-09-01,50,50,49,98.0
nifty50,2007-04-04,50,50,49,98.0
nifty50,2007-09-24,50,50,49,98.0
nifty50,2007-10-05,50,50,49,98.0
nifty50,2007-12-12,50,50,49,98.0
nifty50,2008-03-14,50,50,50,100.0
nifty50,2008-09-10,50,50,50,100.0
nifty50,2009-01-12,50,50,50,100.0
nifty50,2009-03-27,50,50,50,100.0
nifty50,2009-06-17,50,50,50,100.0
nifty50,2009-10-22,50,50,50,100.0
nifty50,2010-04-08,50,50,50,100.0
nifty50,2010-10-01,50,50,50,100.0
nifty50,2011-03-25,50,50,50,100.0
nifty50,2011-10-10,50,50,50,100.0
nifty50,2012-04-27,50,50,50,100.0
nifty50,2012-09-28,50,50,50,100.0
nifty50,2013-04-01,50,50,50,100.0
nifty50,2013-09-27,50,50,50,100.0
