index,company_name,spell_from,spell_to,isin,symbol,symbol_from,symbol_to,method,candidates
nse500,Ballarpur Industries Ltd.,1998-08-01,2008-02-29,INE294A01037,BALLARPUR,,,isin-only,
nse500,Corporation Bank,2019-01-28,2019-12-27,INE112A01015,CORPBANK,,,isin-only,
nse500,Cox & Kings Ltd.,2019-03-29,2019-12-26,INE008I01018,COX&KINGS,,,isin-only,
nse500,Essar Ports Ltd.,2008-09-10,2011-05-18,INE282A01024,ESSARPORTS,,,isin-only,
nse500,Essar Steel Ltd.,2005-12-14,2007-12-07,,,,,unresolved,
nse500,Future Consumer Enterprise Ltd.,2011-11-22,2013-06-11,,,,,unresolved,
nse500,Future Retail Ltd.,2013-11-18,2015-12-14,,,,,unresolved,
nse500,Gruh Finance Ltd.,2013-04-01,2019-09-27,INE580B01011,GRUH,,,isin-only,
nse500,Hinduja Ventures Ltd.,2001-10-11,2007-03-29,,,,,unresolved,
nse500,JMT Auto Ltd.,2016-04-01,2017-09-29,INE988E01010,JMTAUTOLTD,,,isin-only,
nse500,MVL Ltd.,2011-12-14,2013-04-01,INE744I01026,MVL,,,isin-only,
nse500,Narmada Chematur Petrochemicals Ltd.,2005-09-26,2007-03-15,,,,,unresolved,
nse500,Nitin Fire Protection Industries Ltd.,2014-09-19,2017-09-29,INE489H01012,NITINFIRE,,,isin-only,
nse500,Pudumjee Pulp & Paper Mills Ltd.,1998-08-01,2007-09-24,,,,,unresolved,
nse500,Rasoya Proteins Ltd.,2013-09-27,2015-09-28,INE904G01020,RASOYPR,,,isin-only,
nse500,S.E. Investments Ltd.,2012-05-21,2016-04-01,INE420C01026,SEINVEST,,,isin-only,
nse500,Sona Koyo Steering Systems Ltd.,2004-12-10,2013-04-01,,,,,unresolved,
nse500,Sri Adhikari Brothers Television Network Ltd.,2000-05-24,2007-10-25,,,,,unresolved,
nse500,Styrolution ABS (India) Ltd.,1998-08-01,2009-03-27,,,,,unresolved,
nse500,Sujana Towers Ltd.-old,2011-10-10,2013-08-07,,,,,unresolved,
nse500,Sundaram Clayton Ltd.- OLD,1998-08-01,2008-04-24,,,,,unresolved,
nse500,UTV Software Communication Ltd.,2009-03-27,2012-03-09,,,,,unresolved,
nifty50,Tata Motors Ltd DVR,2016-04-01,2017-09-29,IN9155A01012,TATAMTRDVR,,,isin-only,
nifty50,Tata Tea Limited,1996-09-17,2006-09-01,,,,,unresolved,
nifty100,Aventis Pharma Ltd.,2003-03-18,2009-03-27,,,,,unresolved,
nifty100,Piramal Healthcare Ltd.,2003-03-18,2008-02-15,,,,,unresolved,
nifty100,Polaris Software Lab Ltd.,2003-03-18,2007-12-12,,,,,unresolved,
nifty100,Tata Motors Ltd DVR,2016-04-01,2020-06-26,IN9155A01012,TATAMTRDVR,,,isin-only,
nifty250,Alstom India Ltd.,2005-09-25,2013-04-01,,,,,unresolved,
nifty250,Ballarpur Industries Ltd.,2005-09-25,2007-09-24,INE294A01037,BALLARPUR,,,isin-only,
nifty250,Bombay Dyeing & Manufacturing Co. Ltd.,2005-09-25,2009-10-22,,,,,unresolved,
nifty250,Castrol (India) Ltd.-Old,2009-03-27,2013-09-27,,,,,unresolved,
nifty250,Corporation Bank,2019-09-27,2019-12-27,INE112A01015,CORPBANK,,,isin-only,
nifty250,DCM Shriram Consolidated Ltd.,2005-09-25,2007-09-24,,,,,unresolved,
nifty250,Essar Ports Ltd.,2008-09-10,2011-03-25,INE282A01024,ESSARPORTS,,,isin-only,
nifty250,Essar Steel Ltd.,2006-03-02,2007-09-24,,,,,unresolved,
nifty250,Gruh Finance Ltd.,2013-04-01,2019-09-27,INE580B01011,GRUH,,,isin-only,
nifty250,Hinduja Ventures Ltd.,2005-09-25,2006-09-01,,,,,unresolved,
nifty250,Lakshmi Machine Works Ltd.,2005-09-25,2009-03-27,,,,,unresolved,
nifty250,Merck Ltd.,2005-09-25,2006-03-02,,,,,unresolved,
nifty250,Sundaram Clayton Ltd.- OLD,2005-09-25,2008-03-14,,,,,unresolved,
nifty250,Tata Motors Ltd DVR,2016-04-01,2020-06-26,IN9155A01012,TATAMTRDVR,,,isin-only,
