index,company_name,spell_from,spell_to,isin,symbol,symbol_from,symbol_to,method,candidates
nse500,20th Century Finance Corporation Ltd.,1998-08-01,1999-02-03,,,,,unresolved,
nse500,8K Miles Soft Services Ltd.,2016-04-01,2019-03-29,INE650K01013,8KMILES,2016-04-01,2016-10-10,manual-symbol+isin-set,
nse500,8K Miles Soft Services Ltd.,2016-04-01,2019-03-29,INE650K01021,8KMILES,2016-10-13,2019-03-29,manual-symbol+isin-set,
nse500,ABG Shipyard Ltd.,2008-02-15,2016-09-30,INE067H01016,ABGSHIP,2008-02-15,2016-09-30,norm-exact,
nse500,ADC India Communications Ltd.,1999-09-08,2003-04-01,,,,,unresolved,
nse500,AGC Networks Ltd.,1998-08-01,2011-03-25,INE676A01019,AVAYAGCL,2005-01-03,2010-06-07,manual-symbol,
nse500,AGC Networks Ltd.,1998-08-01,2011-03-25,INE676A01019,AGCNET,2010-06-08,2011-03-25,manual-symbol,
nse500,AP Paper Mills Ltd.,1998-08-01,2002-04-23,,,,,unresolved,
nse500,APR Ltd.,1998-08-01,2000-09-03,,,,,unresolved,
nse500,ARSS Infrastructure Projects Ltd.,2011-05-18,2012-09-28,INE267I01010,ARSSINFRA,2011-05-18,2012-09-28,norm-exact,
nse500,AXIS IT&T Ltd.,2002-09-19,2004-12-10,,,,,unresolved,
nse500,Accelya Kale Solutions Ltd.,2001-04-25,2008-09-10,INE793A01012,KALECONSUL,2005-01-03,2008-09-10,manual-symbol,
nse500,Aditya Birla Nuvo Ltd.,1998-08-01,2015-10-19,INE069A01017,INDRAYON,2005-01-03,2005-12-06,norm-exact,
nse500,Aditya Birla Nuvo Ltd.,1998-08-01,2015-10-19,INE069A01017,ABIRLANUVO,2005-12-07,2015-10-19,norm-exact,
nse500,Aditya Birla Nuvo Ltd.,2016-09-30,2017-05-26,INE069A01017,ABIRLANUVO,2016-09-30,2017-05-26,norm-exact,
nse500,Adlabs Entertainment Ltd.,2015-09-28,2016-04-01,INE172N01012,ADLABS,2015-09-28,2016-04-01,manual-isin,
nse500,Advanta Ltd.,2009-03-27,2016-04-29,INE517H01010,ADVANTA,2009-03-27,2013-07-05,norm-exact,
nse500,Aftek Ltd.,2002-03-29,2011-10-10,INE796A01023,AFTEKINFO,2005-01-03,2006-11-24,norm-exact,
nse500,Aftek Ltd.,2002-03-29,2011-10-10,INE796A01023,AFTEK,2006-11-27,2011-10-10,norm-exact,
nse500,Agro Dutch Industries Ltd.,2002-09-19,2009-10-22,INE135B01014,AGRODUTCH,2005-01-03,2009-10-22,norm-exact,
nse500,Agro Tech Foods Ltd.,1998-08-01,2016-04-01,INE209A01019,ATFL,2005-01-03,2016-04-01,manual-symbol,
nse500,Ahluwalia Contracts (India) Ltd.,2016-04-01,2018-04-02,INE758C01029,AHLUCONT,2016-04-01,2018-04-02,norm-exact,
nse500,Ahmednagar Forgings Ltd.,1998-08-01,1999-09-08,,,,,unresolved,
nse500,Alfa Laval (India) Ltd.,1998-08-01,2012-04-12,INE427A01017,ALFALAVAL,2005-01-03,2012-04-11,norm-exact,
nse500,Allahabad Bank,2003-08-11,2019-12-27,INE428A01015,ALBK,2005-01-03,2019-12-27,norm-exact,
nse500,Alpic Finance Ltd.,1998-08-01,2002-01-17,INE429A01013,,,,isin-only,
nse500,Alpine Industries Ltd.,1998-08-01,1999-05-26,,,,,unresolved,
