isin,symbol,first_seen,last_seen,n_days
IN9110D01011,GUJNREDVR,2010-05-26,2018-02-09,1911
IN9155A01012,TATAMTRDVR,2008-11-05,2011-09-12,638
IN9155A01020,TATAMTRDVR,2011-09-13,2024-08-29,3198
IN9175A01010,JISLDVREQS,2011-11-30,2026-09-09,3646
IN9623B01058,PRETAILDVR,2009-02-13,2013-04-10,1028
IN9623B01058,FRLDVR,2013-04-11,2016-05-12,756
IN9623B01058,FELDVR,2016-05-13,2026-09-09,2481
INE001A01028,HDFC,2005-01-03,2011-06-21,1604
INE001A01036,HDFC,2011-06-22,2023-07-12,2991
INE001B01026,KRBL,2005-01-03,2026-09-09,5354
INE001E01012,PREMCO,2026-04-20,2026-09-09,100
INE002A01018,RELIANCE,2005-01-03,2026-09-09,5401
INE002A20018,RIL-RE,2020-05-20,2020-05-29,7
INE002L01015,SJVN,2010-05-20,2026-09-09,4031
INE002S01010,MGL,2016-07-01,2026-09-09,2519
INE003A01024,SIEMENS,2005-01-03,2026-09-09,5360
INE004A01022,PROTEAN,2025-02-06,2026-09-09,392
INE004H01019,SRICHAMUND,2010-10-04,2015-01-23,451
INE004I01017,AML,2007-03-19,2008-06-25,318
INE004I01017,ABHISHEK,2008-06-26,2013-06-04,1179
INE005B01027,AVANTEL,2024-07-31,2026-09-09,523
INE005B20019,AVANTEL-RE,2025-05-15,2025-05-23,7
INE005C01017,RTSPOWR,2026-08-17,2026-09-09,18
INE005D01015,RAMSARUP,2007-07-09,2021-07-19,3004
INE005I01014,AMDMET,2007-03-19,2008-02-22,237
INE005I01014,AMDIND,2008-02-25,2026-09-09,4521
INE006A01019,IPCL,2005-01-03,2007-10-04,685
INE006I01012,ASTRAL,2007-03-20,2011-06-21,1051
INE006I01020,ASTRAL,2011-06-22,2013-09-05,548
INE006I01038,ASTRAL,2013-09-06,2014-09-25,259
INE006I01046,ASTRAL,2014-09-26,2026-09-09,2951
INE006Z01016,ARVEE,2018-02-22,2026-09-09,1416
INE007A01017,CRISIL,2005-01-03,2011-09-29,1670
INE007A01025,CRISIL,2011-09-30,2026-09-09,3686
INE007B01023,GEOJIT,2005-07-01,2009-06-04,966
INE007B01023,GEOJITBNPP,2009-06-05,2017-03-01,1912
INE007B01023,GEOJITFSL,2017-03-02,2026-09-09,2352
INE007B20015,GEOJIT-RE,2024-10-15,2024-10-17,3
INE007N01010,FEDFINA,2023-11-30,2026-09-09,686
INE008A01015,IDBI,2005-01-03,2026-09-09,5355
INE008I01018,COX&KINGS,2009-12-11,2011-06-21,381
INE008I01026,COX&KINGS,2011-06-22,2022-02-10,2625
INE008Z01012,SRPL,2018-02-05,2023-05-18,775
INE008Z01020,SRPL,2023-05-19,2026-08-10,677
INE008Z20012,SRPL-RE,2023-07-17,2023-08-09,18
INE009A01021,INFOSYSTCH,2005-01-03,2011-06-28,1607
INE009A01021,INFY,2011-06-29,2026-09-09,3770
INE009C01019,SRIKPRIND,2026-08-18,2026-09-09,17
INE00C401011,MAL,2023-10-04,2026-09-09,685
INE00C501018,AMBANIORG,2018-07-18,2024-07-31,402
INE00C501018,AMBANIORGO,2024-08-01,2026-09-08,187
INE00CA01015,TREJHARA,2018-12-28,2026-09-09,1901
INE00CE01017,SVLL,2018-06-04,2026-09-09,1469
INE00CO01016,ARTEDZ,2019-03-29,2020-02-20,89
INE00D001018,REXPIPES,2021-08-10,2026-08-24,919
INE00E101023,BIKAJI,2022-11-16,2026-09-09,943
INE00EM01016,MEGASTAR,2022-02-16,2026-09-09,1126
INE00ER01015,ONDOOR,2023-11-01,2026-09-09,672
INE00EV01017,HARIOMPIPE,2022-04-13,2026-09-09,1088
INE00F201020,PRUDENT,2022-05-20,2026-09-09,1064
INE00F301010,UWCSL,2018-10-26,2026-09-09,424
INE00FF01017,AMIORG,2021-09-14,2025-04-24,894
INE00FF01025,AMIORG,2025-04-25,2025-05-30,26
INE00FF01025,ACUTAAS,2025-06-02,2026-09-09,317
INE00GO01025,LEAPIND,2026-08-14,2026-09-09,19
INE00H001014,SWIGGY,2024-11-13,2026-09-09,453
INE00HZ01011,BNAGROCHEM,2026-04-20,2026-09-08,99
INE00IK01011,OSWALSEEDS,2018-06-20,2023-08-17,817
INE00IK01029,OSWALSEEDS,2023-08-18,2026-09-09,754
INE00IN01015,STOVEKRAFT,2021-02-05,2026-09-09,1381
INE00IT01020,MILKYMIST,2026-08-18,2026-09-09,17
INE00IY01012,DEEP,2026-08-17,2026-09-09,18
INE00KV01014,RAJMET,2018-10-08,2022-11-29,603
INE00KV01022,RAJMET,2022-11-30,2026-09-09,932
