Symbol,Company Name,Industry,ISIN Code,source
360ONE,360 ONE WAM Ltd.,Financial Services,INE466L01038,nifty500_fresh
3MINDIA,3M India Ltd.,Diversified,INE470A01017,nifty500_fresh
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,INE883F01010,nifty500_fresh
AARTIDRUGS,Aarti Drugs Ltd.,Healthcare,INE767A01016,nifty_microcap_250
AARTIIND,Aarti Industries Ltd.,Chemicals,INE769A01020,nifty500_fresh
AARTIPHARM,Aarti Pharmalabs Ltd.,Healthcare,INE0LRU01027,nifty_microcap_250
AAVAS,Aavas Financiers Ltd.,Financial Services,INE216P01012,nifty500_fresh
ABB,ABB India Ltd.,Capital Goods,INE117A01022,nifty500_fresh
ABBOTINDIA,Abbott India Ltd.,Healthcare,INE358A01014,nifty500_fresh
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,INE674K01013,nifty500_fresh
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,INE552Z01027,nifty500_fresh
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,INE647O01011,nifty500_fresh
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,INE14LE01019,nifty500_fresh
ABREL,Aditya Birla Real Estate Ltd.,Realty,INE055A01016,nifty500_fresh
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,INE404A01024,nifty500_fresh
ACC,ACC Ltd.,Construction Materials,INE012A01025,nifty500_fresh
ACE,Action Construction Equipment Ltd.,Capital Goods,INE731H01025,nifty500_fresh
ACI,Archean Chemical Industries Ltd.,Chemicals,INE128X01021,nifty_microcap_250
ACMESOLAR,ACME Solar Holdings Ltd.,Power,INE622W01025,nifty500_fresh
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,INE00FF01025,nifty500_fresh
ADANIENSOL,Adani Energy Solutions Ltd.,Power,INE931S01010,nifty500_fresh
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,INE423A01024,nifty500_fresh
ADANIGREEN,Adani Green Energy Ltd.,Power,INE364U01010,nifty500_fresh
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,INE742F01042,nifty500_fresh
ADANIPOWER,Adani Power Ltd.,Power,INE814H01029,nifty500_fresh
ADVENZYMES,Advanced Enzyme Tech Ltd.,Healthcare,INE837H01020,nifty_microcap_250
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,INE208C01025,nifty500_fresh
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,INE0INX01018,nifty500_fresh
AEQUS,Aequs Ltd.,Capital Goods,INE947N01017,nifty_microcap_250
AETHER,Aether Industries Ltd.,Chemicals,INE0BWX01014,nifty_microcap_250
AFCONS,Afcons Infrastructure Ltd.,Construction,INE101I01011,nifty500_fresh
AFFLE,Affle 3i Ltd.,Information Technology,INE00WC01027,nifty500_fresh
AGARWALEYE,Dr. Agarwal's Health Care Ltd.,Healthcare,INE943P01029,nifty_microcap_250
AHLUCONT,Ahluwalia Contracts (India) Ltd.,Construction,INE758C01029,nifty_microcap_250
AIAENG,AIA Engineering Ltd.,Capital Goods,INE212H01026,nifty500_fresh
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,INE206F01022,nifty500_fresh
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,INE031B01049,nifty500_fresh
AKUMS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare,INE09XN01023,nifty_microcap_250
AKZOINDIA,Akzo Nobel India Ltd.,Consumer Durables,INE133A01011,nse500_pre_2026_drop
ALIVUS,Alivus Life Sciences Ltd.,Healthcare,INE03Q201024,nifty_microcap_250
ALKEM,Alkem Laboratories Ltd.,Healthcare,INE540L01014,nifty500_fresh
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,Chemicals,INE150B01039,nifty_microcap_250
ALOKINDS,Alok Industries Ltd.,Textiles,INE270A01029,nifty_microcap_250
AMBER,Amber Enterprises India Ltd.,Consumer Durables,INE371P01015,nifty500_fresh
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,INE079A01024,nifty500_fresh
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,INE463V01026,nifty500_fresh
ANANTRAJ,Anant Raj Ltd.,Realty,INE242C01024,nifty500_fresh
ANGELONE,Angel One Ltd.,Financial Services,INE732I01021,nifty500_fresh
ANTHEM,Anthem Biosciences Ltd.,Healthcare,INE0CZ201020,nifty500_fresh
ANUP,The Anup Engineering Ltd.,Capital Goods,INE294Z01018,nifty_microcap_250
ANURAS,Anupam Rasayan India Ltd.,Chemicals,INE930P01018,nifty500_fresh
APARINDS,Apar Industries Ltd.,Capital Goods,INE372A01015,nifty500_fresh
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,INE702C01027,nifty500_fresh
APLLTD,Alembic Pharmaceuticals Ltd.,Healthcare,INE901L01018,nifty_microcap_250
APOLLO,Apollo Micro Systems Ltd.,Capital Goods,INE713T01028,nifty_microcap_250
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,INE437A01024,nifty500_fresh
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,INE438A01022,nifty500_fresh
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,INE852O01025,nifty500_fresh
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,INE885A01032,nifty500_fresh
ARVIND,Arvind Ltd.,Textiles,INE034A01011,nifty_microcap_250
ARVINDFASN,Arvind Fashions Ltd.,Consumer Services,INE955V01021,nifty_microcap_250
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,INE439A01020,nifty500_fresh
ASHAPURMIN,Ashapura Minechem Ltd.,Metals & Mining,INE348A01023,nifty_microcap_250
ASHOKA,Ashoka Buildcon Ltd.,Construction,INE442H01029,nifty_microcap_250
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,INE208A01029,nifty500_fresh
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,INE021A01026,nifty500_fresh
ASKAUTOLTD,ASK Automotive Ltd.,Automobile and Auto Components,INE491J01022,nifty_microcap_250
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,INE914M01019,nifty500_fresh
ASTRAL,Astral Ltd.,Capital Goods,INE006I01046,nifty500_fresh
ASTRAMICRO,Astra Microwave Products Ltd.,Capital Goods,INE386C01029,nifty_microcap_250
ASTRAZEN,AstraZenca Pharma India Ltd.,Healthcare,INE203A01020,nse500_pre_2026_drop
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,INE399L01023,nifty500_fresh
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,INE0LEZ01016,nifty500_fresh
ATLANTAELE,Atlanta Electricals Ltd.,Capital Goods,INE0Z4F01028,nifty_microcap_250
ATUL,Atul Ltd.,Chemicals,INE100A01010,nifty500_fresh
AUBANK,AU Small Finance Bank Ltd.,Financial Services,INE949L01017,nifty500_fresh
