symbol,effective_from,effective_to,note
ADANIENT,1900-01-01,,nifty50 initial seed 2026-07-15
ADANIPORTS,1900-01-01,,nifty50 initial seed 2026-07-15
APOLLOHOSP,1900-01-01,,nifty50 initial seed 2026-07-15
ASIANPAINT,1900-01-01,,nifty50 initial seed 2026-07-15
AXISBANK,1900-01-01,,nifty50 initial seed 2026-07-15
BAJAJ-AUTO,1900-01-01,,nifty50 initial seed 2026-07-15
BAJAJFINSV,1900-01-01,,nifty50 initial seed 2026-07-15
BAJFINANCE,1900-01-01,,nifty50 initial seed 2026-07-15
BEL,1900-01-01,,nifty50 initial seed 2026-07-15
BHARTIARTL,1900-01-01,,nifty50 initial seed 2026-07-15
CIPLA,1900-01-01,,nifty50 initial seed 2026-07-15
COALINDIA,1900-01-01,,nifty50 initial seed 2026-07-15
DRREDDY,1900-01-01,,nifty50 initial seed 2026-07-15
EICHERMOT,1900-01-01,,nifty50 initial seed 2026-07-15
ETERNAL,1900-01-01,,nifty50 initial seed 2026-07-15
GRASIM,1900-01-01,,nifty50 initial seed 2026-07-15
HCLTECH,1900-01-01,,nifty50 initial seed 2026-07-15
HDFCBANK,1900-01-01,,nifty50 initial seed 2026-07-15
HDFCLIFE,1900-01-01,,nifty50 initial seed 2026-07-15
HINDALCO,1900-01-01,,nifty50 initial seed 2026-07-15
HINDUNILVR,1900-01-01,,nifty50 initial seed 2026-07-15
ICICIBANK,1900-01-01,,nifty50 initial seed 2026-07-15
INDIGO,1900-01-01,,nifty50 initial seed 2026-07-15
INFY,1900-01-01,,nifty50 initial seed 2026-07-15
ITC,1900-01-01,,nifty50 initial seed 2026-07-15
JIOFIN,1900-01-01,,nifty50 initial seed 2026-07-15
JSWSTEEL,1900-01-01,,nifty50 initial seed 2026-07-15
KOTAKBANK,1900-01-01,,nifty50 initial seed 2026-07-15
LT,1900-01-01,,nifty50 initial seed 2026-07-15
M&M,1900-01-01,,nifty50 initial seed 2026-07-15
MARUTI,1900-01-01,,nifty50 initial seed 2026-07-15
MAXHEALTH,1900-01-01,,nifty50 initial seed 2026-07-15
NESTLEIND,1900-01-01,,nifty50 initial seed 2026-07-15
NTPC,1900-01-01,,nifty50 initial seed 2026-07-15
ONGC,1900-01-01,,nifty50 initial seed 2026-07-15
POWERGRID,1900-01-01,,nifty50 initial seed 2026-07-15
RELIANCE,1900-01-01,,nifty50 initial seed 2026-07-15
SBILIFE,1900-01-01,,nifty50 initial seed 2026-07-15
SBIN,1900-01-01,,nifty50 initial seed 2026-07-15
SHRIRAMFIN,1900-01-01,,nifty50 initial seed 2026-07-15
SUNPHARMA,1900-01-01,,nifty50 initial seed 2026-07-15
TATACONSUM,1900-01-01,,nifty50 initial seed 2026-07-15
TATASTEEL,1900-01-01,,nifty50 initial seed 2026-07-15
TCS,1900-01-01,,nifty50 initial seed 2026-07-15
TECHM,1900-01-01,,nifty50 initial seed 2026-07-15
TITAN,1900-01-01,,nifty50 initial seed 2026-07-15
TMPV,1900-01-01,,nifty50 initial seed 2026-07-15
TRENT,1900-01-01,,nifty50 initial seed 2026-07-15
ULTRACEMCO,1900-01-01,,nifty50 initial seed 2026-07-15
WIPRO,1900-01-01,,nifty50 initial seed 2026-07-15
