symbol,effective_from,effective_to,note
360ONE,1900-01-01,,
3MINDIA,1900-01-01,,
AADHARHFC,1900-01-01,,
AARTIIND,1900-01-01,,
AAVAS,1900-01-01,,
ABB,1900-01-01,,
ABBOTINDIA,1900-01-01,,
ABCAPITAL,1900-01-01,,
ABDL,2026-07-15,,added in 2026-07-15 nse500 refresh (Allied Blenders and Distillers Ltd.)
ABFRL,1900-01-01,,
ABLBL,1900-01-01,,
ABREL,1900-01-01,,
ABSLAMC,1900-01-01,,
ACC,1900-01-01,,
ACE,1900-01-01,,
ACMESOLAR,1900-01-01,,
ACUTAAS,2026-07-15,,added in 2026-07-15 nse500 refresh (Acutaas Chemicals Ltd.)
ADANIENSOL,1900-01-01,,
ADANIENT,1900-01-01,,
ADANIGREEN,1900-01-01,,
ADANIPORTS,1900-01-01,,
ADANIPOWER,1900-01-01,,
AEGISLOG,1900-01-01,,
AEGISVOPAK,1900-01-01,,
AFCONS,1900-01-01,,
AFFLE,1900-01-01,,
AGARWALEYE,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
AIAENG,1900-01-01,,
AIIL,1900-01-01,,
AJANTPHARM,1900-01-01,,
AKUMS,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
AKZOINDIA,1900-01-01,,NSE ticker now JSWDULUX (fetch alias)
ALKEM,1900-01-01,,
ALKYLAMINE,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
ALOKINDS,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
AMBER,1900-01-01,,
AMBUJACEM,1900-01-01,,
ANANDRATHI,1900-01-01,,
ANANTRAJ,1900-01-01,,
ANGELONE,1900-01-01,,
ANTHEM,2026-07-15,,added in 2026-07-15 nse500 refresh (Anthem Biosciences Ltd.)
ANURAS,2026-07-15,,added in 2026-07-15 nse500 refresh (Anupam Rasayan India Ltd.)
APARINDS,1900-01-01,,
APLAPOLLO,1900-01-01,,
APLLTD,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
APOLLOHOSP,1900-01-01,,
APOLLOTYRE,1900-01-01,,
APTUS,1900-01-01,,
ARE&M,1900-01-01,,
ASAHIINDIA,1900-01-01,,
ASHOKLEY,1900-01-01,,
ASIANPAINT,1900-01-01,,
ASTERDM,1900-01-01,,
ASTRAL,1900-01-01,,
ASTRAZEN,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
ATGL,1900-01-01,,
ATHERENERG,1900-01-01,,
ATUL,1900-01-01,,
AUBANK,1900-01-01,,
AUROPHARMA,1900-01-01,,
AWL,1900-01-01,,
AXISBANK,1900-01-01,,
BAJAJ-AUTO,1900-01-01,,
BAJAJFINSV,1900-01-01,,
BAJAJHFL,1900-01-01,,
BAJAJHLDNG,1900-01-01,,
BAJFINANCE,1900-01-01,,
BALKRISIND,1900-01-01,,
BALRAMCHIN,1900-01-01,,
BANDHANBNK,1900-01-01,,
BANKBARODA,1900-01-01,,
BANKINDIA,1900-01-01,,
BASF,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
BATAINDIA,1900-01-01,,
BAYERCROP,1900-01-01,,
BBTC,1900-01-01,,
BDL,1900-01-01,,
BEL,1900-01-01,,
BELRISE,2026-07-15,,added in 2026-07-15 nse500 refresh (Belrise Industries Ltd.)
BEML,1900-01-01,,
BERGEPAINT,1900-01-01,,
BHARATFORG,1900-01-01,,
BHARTIARTL,1900-01-01,,
BHARTIHEXA,1900-01-01,,
BHEL,1900-01-01,,
BIKAJI,1900-01-01,,
BIOCON,1900-01-01,,
BLS,1900-01-01,,
BLUEDART,1900-01-01,,
BLUEJET,1900-01-01,,
BLUESTARCO,1900-01-01,,
BOSCHLTD,1900-01-01,,
BPCL,1900-01-01,,
BRIGADE,1900-01-01,,
BRITANNIA,1900-01-01,,
BSE,1900-01-01,,
BSOFT,1900-01-01,,
CAMPUS,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
CAMS,1900-01-01,,
CANBK,1900-01-01,,
CANFINHOME,1900-01-01,,
CANHLIFE,2026-07-15,,added in 2026-07-15 nse500 refresh (Canara HSBC Life Insurance Company Ltd.)
CAPLIPOINT,1900-01-01,,
CARBORUNIV,1900-01-01,,
CARTRADE,2026-07-15,,added in 2026-07-15 nse500 refresh (Cartrade Tech Ltd.)
CASTROLIND,1900-01-01,,
CCL,1900-01-01,,
CDSL,1900-01-01,,
CEATLTD,1900-01-01,,
CEMPRO,2026-07-15,,added in 2026-07-15 nse500 refresh (Cemindia Projects Ltd.)
CENTRALBK,1900-01-01,,
CENTURYPLY,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
CERA,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
CESC,1900-01-01,,
CGCL,1900-01-01,,
CGPOWER,1900-01-01,,
CHALET,1900-01-01,,
CHAMBLFERT,1900-01-01,,
CHENNPETRO,1900-01-01,,
CHOICEIN,1900-01-01,,
CHOLAFIN,1900-01-01,,
CHOLAHLDNG,1900-01-01,,
CIEINDIA,2026-07-15,,added in 2026-07-15 nse500 refresh (CIE Automotive India Ltd.)
CIPLA,1900-01-01,,
CLEAN,1900-01-01,,
COALINDIA,1900-01-01,,
COCHINSHIP,1900-01-01,,
COFORGE,1900-01-01,,
COHANCE,1900-01-01,,
COLPAL,1900-01-01,,
CONCOR,1900-01-01,,
CONCORDBIO,1900-01-01,,
COROMANDEL,1900-01-01,,
CPPLUS,2026-07-15,,added in 2026-07-15 nse500 refresh (Aditya Infotech Ltd.)
CRAFTSMAN,1900-01-01,,
CREDITACC,1900-01-01,,
CRISIL,1900-01-01,,
CROMPTON,1900-01-01,,
CUB,1900-01-01,,
CUMMINSIND,1900-01-01,,
CYIENT,1900-01-01,,
DABUR,1900-01-01,,
DALBHARAT,1900-01-01,,
DATAPATTNS,1900-01-01,,
DBREALTY,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
DCMSHRIRAM,1900-01-01,,
DEEPAKFERT,1900-01-01,,
DEEPAKNTR,1900-01-01,,
DELHIVERY,1900-01-01,,
DEVYANI,1900-01-01,,
DIVISLAB,1900-01-01,,
DIXON,1900-01-01,,
DLF,1900-01-01,,
DMART,1900-01-01,,
DOMS,1900-01-01,,
DRREDDY,1900-01-01,,
ECLERX,1900-01-01,,
EICHERMOT,1900-01-01,,
EIDPARRY,1900-01-01,,
EIHOTEL,1900-01-01,,
ELECON,1900-01-01,,
ELGIEQUIP,1900-01-01,,
EMAMILTD,1900-01-01,,
EMCURE,1900-01-01,,
EMMVEE,2026-07-15,,added in 2026-07-15 nse500 refresh (Emmvee Photovoltaic Power Ltd.)
ENDURANCE,1900-01-01,,
ENGINERSIN,1900-01-01,,
ENRIN,1900-01-01,,
ERIS,1900-01-01,,
ESCORTS,1900-01-01,,
ETERNAL,1900-01-01,,
EXIDEIND,1900-01-01,,
FACT,1900-01-01,,
FEDERALBNK,1900-01-01,,
FINCABLES,1900-01-01,,
FINPIPE,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
FIRSTCRY,1900-01-01,,
FIVESTAR,1900-01-01,,
FLUOROCHEM,1900-01-01,,
FORCEMOT,1900-01-01,,
FORTIS,1900-01-01,,
FSL,1900-01-01,,
GABRIEL,2026-07-15,,added in 2026-07-15 nse500 refresh (Gabriel India Ltd.)
GAIL,1900-01-01,,
GALLANTT,2026-07-15,,added in 2026-07-15 nse500 refresh (Gallantt Ispat Ltd.)
GESHIP,1900-01-01,,
GICRE,1900-01-01,,
GILLETTE,1900-01-01,,
GLAND,1900-01-01,,
GLAXO,1900-01-01,,
GLENMARK,1900-01-01,,
GMDCLTD,1900-01-01,,
GMRAIRPORT,1900-01-01,,
GODFRYPHLP,1900-01-01,,
GODIGIT,1900-01-01,,
GODREJAGRO,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
GODREJCP,1900-01-01,,
GODREJIND,1900-01-01,,
GODREJPROP,1900-01-01,,
GPIL,1900-01-01,,
GRANULES,1900-01-01,,
GRAPHITE,1900-01-01,,
GRASIM,1900-01-01,,
GRAVITA,1900-01-01,,
GROWW,2026-07-15,,added in 2026-07-15 nse500 refresh (Billionbrains Garage Ventures Ltd.)
GRSE,1900-01-01,,
GSPL,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
GUJGASLTD,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
GVT&D,1900-01-01,,
HAL,1900-01-01,,
HAPPSTMNDS,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
HAVELLS,1900-01-01,,
HBLENGINE,1900-01-01,,
HCLTECH,1900-01-01,,
HDBFS,2026-07-15,,added in 2026-07-15 nse500 refresh (HDB Financial Services Ltd.)
HDFCAMC,1900-01-01,,
HDFCBANK,1900-01-01,,
HDFCLIFE,1900-01-01,,
HEG,1900-01-01,,
HEROMOTOCO,1900-01-01,,
HEXT,1900-01-01,,
HFCL,1900-01-01,,
HINDALCO,1900-01-01,,
HINDCOPPER,1900-01-01,,
HINDPETRO,1900-01-01,,
HINDUNILVR,1900-01-01,,
HINDZINC,1900-01-01,,
HOMEFIRST,1900-01-01,,
HONASA,1900-01-01,,
HONAUT,1900-01-01,,
HSCL,1900-01-01,,
HUDCO,1900-01-01,,
HYUNDAI,1900-01-01,,
ICICIAMC,2026-07-15,,added in 2026-07-15 nse500 refresh (ICICI Prudential Asset Management Company Ltd.)
ICICIBANK,1900-01-01,,
ICICIGI,1900-01-01,,
ICICIPRULI,1900-01-01,,
IDBI,1900-01-01,,
IDEA,1900-01-01,,
IDFCFIRSTB,1900-01-01,,
IEX,1900-01-01,,
IFCI,1900-01-01,,
IGIL,1900-01-01,,
IGL,1900-01-01,,
IIFL,1900-01-01,,
IKS,1900-01-01,,
INDGN,1900-01-01,,
INDHOTEL,1900-01-01,,
INDIACEM,1900-01-01,,
INDIAMART,1900-01-01,,
INDIANB,1900-01-01,,
INDIGO,1900-01-01,,
INDUSINDBK,1900-01-01,,
INDUSTOWER,1900-01-01,,
INFY,1900-01-01,,
INOXINDIA,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
INOXWIND,1900-01-01,,
INTELLECT,1900-01-01,,
IOB,1900-01-01,,
IOC,1900-01-01,,
IPCALAB,1900-01-01,,
IRB,1900-01-01,,
IRCON,1900-01-01,,
IRCTC,1900-01-01,,
IREDA,1900-01-01,,
IRFC,1900-01-01,,
ITC,1900-01-01,,
ITCHOTELS,1900-01-01,,
ITI,1900-01-01,,
J&KBANK,1900-01-01,,
JAINREC,2026-07-15,,added in 2026-07-15 nse500 refresh (Jain Resource Recycling Ltd.)
JBCHEPHARM,1900-01-01,,
JBMA,1900-01-01,,
JINDALSAW,1900-01-01,,
JINDALSTEL,1900-01-01,,
JIOFIN,1900-01-01,,
JKCEMENT,1900-01-01,,
JKTYRE,1900-01-01,,
JMFINANCIL,1900-01-01,,
JPPOWER,1900-01-01,,
JSL,1900-01-01,,
JSWCEMENT,2026-07-15,,added in 2026-07-15 nse500 refresh (JSW Cement Ltd.)
JSWENERGY,1900-01-01,,
JSWINFRA,1900-01-01,,
JSWSTEEL,1900-01-01,,
JUBLFOOD,1900-01-01,,
JUBLINGREA,1900-01-01,,
JUBLPHARMA,1900-01-01,,
JWL,1900-01-01,,
JYOTHYLAB,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
JYOTICNC,1900-01-01,,
KAJARIACER,1900-01-01,,
KALYANKJIL,1900-01-01,,
KARURVYSYA,1900-01-01,,
KAYNES,1900-01-01,,
KEC,1900-01-01,,
KEI,1900-01-01,,
KFINTECH,1900-01-01,,
KIMS,1900-01-01,,
KIRLOSBROS,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
KIRLOSENG,1900-01-01,,
KOTAKBANK,1900-01-01,,
KPIL,1900-01-01,,
KPITTECH,1900-01-01,,
KPRMILL,1900-01-01,,
