symbol,company,zerodha_sector,zerodha_sector_slug,source_exchange
360ONE,360 ONE WAM Ltd.,Financial Services,financial-services,NSE
3MINDIA,3M India Ltd.,Diversified,diversified,NSE
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,financial-services,NSE
AARTIIND,Aarti Industries Ltd.,Chemicals,chemicals,NSE
AAVAS,Aavas Financiers Ltd.,Financial Services,financial-services,NSE
ABB,ABB India Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
ABBOTINDIA,Abbott India Ltd.,Healthcare,healthcare,NSE
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,financial-services,NSE
ABDL,Allied Blenders and Distillers Ltd.,FMCG,fmcg,NSE
ABFRL,Aditya Birla Fashion and Retail Ltd.,Retail,retail,NSE
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Retail,retail,NSE
ABREL,Aditya Birla Real Estate Ltd.,Diversified,diversified,NSE
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,financial-services,NSE
ACC,ACC Ltd.,Building Materials,building-materials,NSE
ACE,Action Construction Equipment Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
ACMESOLAR,ACME Solar Holdings Ltd.,Energy,energy,NSE
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,healthcare,NSE
ADANIENSOL,Adani Energy Solutions Ltd.,Energy,energy,NSE
ADANIENT,Adani Enterprises Ltd.,Trading,trading,NSE
ADANIGREEN,Adani Green Energy Ltd.,Energy,energy,NSE
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Logistics,logistics,NSE
ADANIPOWER,Adani Power Ltd.,Energy,energy,NSE
AEGISLOG,Aegis Logistics Ltd.,Logistics,logistics,NSE
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Logistics,logistics,NSE
AFCONS,Afcons Infrastructure Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
AFFLE,Affle 3i Ltd.,Software Services,software-services,NSE
AIAENG,AIA Engineering Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,financial-services,NSE
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,healthcare,NSE
AKZOINDIA,JSW Dulux Ltd.,Building Materials,building-materials,NSE
ALKEM,Alkem Laboratories Ltd.,Healthcare,healthcare,NSE
AMBER,Amber Enterprises India Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
AMBUJACEM,Ambuja Cements Ltd.,Building Materials,building-materials,NSE
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,financial-services,NSE
ANANTRAJ,Anant Raj Ltd.,Real Estate,real-estate,NSE
ANGELONE,Angel One Ltd.,Financial Services,financial-services,NSE
ANTHEM,Anthem Biosciences Ltd.,Healthcare,healthcare,NSE
ANURAS,Anupam Rasayan India Ltd.,Chemicals,chemicals,NSE
APARINDS,Apar Industries Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
