symbol,shares,avg_cost,entry_date,entry_rank,holding_days,last_price,pnl_pct,notional,contribution_pct
LTF,2075.044120927984,223.558725,2025-08-22,,150,299.15,0.33812715204919863,620749.4487756063,0.050745776882711265
NETWEB,162.99950495006877,2886.9123000000004,2025-09-05,,136,3449.9,0.19501378687534077,562331.9921272423,0.04597019596680303
ATHERENERG,695.8408518742258,645.100125,2025-11-07,,73,618.8,-0.04076905891159155,430586.3191397709,0.03520009131367493
NATIONALUM,1702.7526645091898,263.93431499999997,2025-11-14,,66,365.8,0.3859508946383121,622866.9246774616,0.050918878864327215
PAYTM,344.3052353631599,1305.28035,2025-11-14,,66,1311.4,0.004688379779868912,451521.88565524796,0.03691155733173273
MUTHOOTFIN,121.95772367590834,3685.0053000000003,2025-11-14,,66,3956.6,0.07370266197446163,482537.92949609895,0.03944709440492177
IDEA,41722.58813736785,10.7715,2025-11-14,,66,10.61,-0.014993269275402676,442676.66013747285,0.03618846713570013
HINDCOPPER,1211.1591620136069,366.99502500000006,2025-12-05,,45,546.9,0.49021093678313465,662382.9457052415,0.054149282355338814
ASHOKLEY,2814.4063501951387,162.77991,2025-12-12,,38,187.47,0.1516777469652122,527616.7584710827,0.04313225304954161
HBLENGINE,563.8704860590136,812.4717,2025-12-12,,38,763.35,-0.06045958277685248,430430.53553314804,0.035187356126943375
M&MFIN,1418.1871192609328,371.31615000000005,2025-12-19,,31,361.9,-0.02535884851763137,513241.91846053157,0.04195712123856873
JKTYRE,983.7194541685321,511.79654999999997,2025-12-24,15.0,26,505.5,-0.012302837914792475,497270.184082193,0.04065144457499414
SHRIRAMFIN,518.8819168719286,970.2866999999999,2025-12-24,17.0,26,1009.0,0.03989882578005055,523551.854123776,0.04279995033148869
HINDZINC,805.965920845221,624.6718500000001,2025-12-24,18.0,26,651.45,0.04286754717696972,525046.4991346193,0.042922136379963984
GPIL,1968.2288587380065,255.79557,2025-12-24,22.0,26,250.8,-0.019529540718785654,493631.79777149204,0.040354009369372744
GMDCLTD,832.9818193598871,613.09875,2026-01-02,,17,540.4,-0.1185759227204427,450143.375182083,0.03679886518993592
HEROMOTOCO,85.88617179076667,5946.243750000001,2026-01-02,,17,5746.0,-0.03367567130089488,493501.9431097453,0.040343393853394145
VEDL,806.2475138890486,608.84025,2026-01-09,,10,675.8,0.10997917762500098,544862.069886219,0.04454204362941489
INDIACEM,1051.7588935444448,466.71907500000003,2026-01-09,,10,470.65,0.008422464841403743,495010.32324669295,0.04046670273757413
MCX,205.73084370923803,2367.225,2026-01-14,10.0,5,2423.0,0.023561342922620465,498485.83430748375,0.04075082302022949
HINDALCO,512.6859716390126,949.92105,2026-01-14,16.0,5,939.45,-0.01102307397019997,481642.8360562704,0.03937392122357411
CANBK,3186.410451785327,152.84007,2026-01-14,20.0,5,156.13,0.0215253107382114,497494.2638372431,0.04066976291788777
INDIANB,584.743886264527,832.8624000000001,2026-01-14,23.0,5,851.55,0.02243780004956375,497938.6563485579,0.040706091654501245
