date,signal_date,rank,symbol,score
2026-01-30,2026-01-29,1,HINDCOPPER,8.648007129621856
2026-01-30,2026-01-29,2,NATIONALUM,5.513574674279171
2026-01-30,2026-01-29,3,ATHERENERG,3.7045182827995493
2026-01-30,2026-01-29,4,VEDL,3.67205169802242
2026-01-30,2026-01-29,5,MCX,3.145474345153454
2026-01-30,2026-01-29,6,SHRIRAMFIN,3.1036708318593824
2026-01-30,2026-01-29,7,HINDZINC,2.96273513097631
2026-01-30,2026-01-29,8,NETWEB,2.8047172227026405
2026-01-30,2026-01-29,9,ASHOKLEY,2.8012168554233137
2026-01-30,2026-01-29,10,MUTHOOTFIN,2.568686758250377
2026-01-30,2026-01-29,11,M&MFIN,2.3032914103930637
2026-01-30,2026-01-29,12,HINDALCO,2.302563335501877
2026-01-30,2026-01-29,13,JKTYRE,2.235977838040208
2026-01-30,2026-01-29,14,BANKINDIA,2.2191128147138293
2026-01-30,2026-01-29,15,INDIANB,2.084091674688207
2026-01-30,2026-01-29,16,GMDCLTD,2.0706106858975097
2026-01-30,2026-01-29,17,LTF,2.0168530999502323
2026-01-30,2026-01-29,18,IDEA,1.9503696470932856
2026-01-30,2026-01-29,19,CUB,1.9474377126375875
2026-01-30,2026-01-29,20,KARURVYSYA,1.9372361352861407
2026-01-30,2026-01-29,21,FEDERALBNK,1.8891221929047444
2026-01-30,2026-01-29,22,GPIL,1.8078176148806
2026-01-30,2026-01-29,23,CANBK,1.7820729027615483
2026-01-30,2026-01-29,24,AUBANK,1.7378720836825832
