date,portfolio_value,cash,invested,benchmark,drawdown,exposure
2020-07-10,1000000.0,1000000.0,0.0,10919.7,0.0,1.0
2020-07-13,999176.9416226024,0.0,999176.9416226024,10953.75,-0.0008230583773976008,1.0
2020-07-14,984691.4111944234,0.0,984691.4111944234,10768.6,-0.015308588805576506,1.0
2020-07-15,984119.6062394946,0.0,984119.6062394946,10769.6,-0.015880393760505318,1.0
2020-07-16,982121.9977199602,0.0,982121.9977199602,10879.9,-0.017878002280039884,1.0
2020-07-17,1003102.9046582101,0.0,1003102.9046582101,11045.85,0.0,1.0
2020-07-20,1015542.1082127575,0.0,1015542.1082127575,11159.45,0.0,1.0
2020-07-21,1014770.7090416796,0.0,1014770.7090416796,11283.9,-0.0007595934869066845,1.0
2020-07-22,1028182.0239374083,0.0,1028182.0239374083,11249.45,0.0,1.0
2020-07-23,1032231.0876691577,0.0,1032231.0876691577,11334.3,0.0,1.0
2020-07-24,1040189.3808569754,0.0,1040189.3808569754,11297.75,0.0,1.0
2020-07-27,1032133.7902752913,0.0,1032133.7902752913,11231.3,-0.007744349951974483,1.0
2020-07-28,1033482.8483399337,0.0,1033482.8483399337,11388.4,-0.006447414903924975,1.0
2020-07-29,1043458.788409657,0.0,1043458.788409657,11310.85,0.0,1.0
2020-07-30,1042633.8369424957,0.0,1042633.8369424957,11231.3,-0.0007905932427083595,1.0
2020-07-31,1070518.1200855162,0.0,1070518.1200855162,11222.95,0.0,1.0
2020-08-03,1089684.414934617,0.0,1089684.414934617,11056.0,0.0,1.0
2020-08-04,1102721.0307401759,0.0,1102721.0307401759,11244.1,0.0,1.0
2020-08-05,1108836.7225500976,0.0,1108836.7225500976,11248.4,0.0,1.0
2020-08-06,1121223.2957851905,0.0,1121223.2957851905,11345.45,0.0,1.0
2020-08-07,1125488.5846593706,0.0,1125488.5846593706,11361.4,0.0,1.0
2020-08-10,1163460.8174814142,0.0,1163460.8174814142,11433.0,0.0,1.0
2020-08-11,1144961.2113847854,0.0,1144961.2113847854,11471.25,-0.015900497738012054,1.0
2020-08-12,1128482.4951466084,0.0,1128482.4951466084,11458.25,-0.030064031215528697,1.0
2020-08-13,1125973.5772324447,0.0,1125973.5772324447,11458.9,-0.03222045786648797,1.0
2020-08-14,1120953.3824354124,0.0,1120953.3824354124,11337.55,-0.0365353387130124,1.0
2020-08-17,1119578.6422805428,3.637978807091713e-12,1119578.6422805428,11402.85,-0.03771693428908485,1.0
2020-08-18,1124760.6093581263,3.637978807091713e-12,1124760.6093581263,11541.95,-0.033263009412782485,1.0
2020-08-19,1130546.3999470784,3.637978807091713e-12,1130546.3999470784,11564.5,-0.028290095411710348,1.0
2020-08-20,1126747.6131256612,3.637978807091713e-12,1126747.6131256612,11479.0,-0.03155517040550404,1.0
2020-08-21,1139426.4607235957,3.637978807091713e-12,1139426.4607235957,11535.8,-0.020657641750107647,1.0
2020-08-24,1159385.562597046,0.0,1159385.562597046,11619.15,-0.0035027005835831515,1.0
2020-08-25,1153674.1104806643,0.0,1153674.1104806643,11625.6,-0.008411720320702809,1.0
2020-08-26,1156739.181197658,0.0,1156739.181197658,11694.35,-0.005777277741339626,1.0
2020-08-27,1159776.9768616362,0.0,1159776.9768616362,11709.45,-0.003166278197277439,1.0
2020-08-28,1165361.0583053613,0.0,1165361.0583053613,11791.5,0.0,1.0
2020-08-31,1123386.619638662,7.275957614183426e-12,1123386.619638662,11496.05,-0.03601839821877817,1.0
2020-09-01,1111562.0618117007,7.275957614183426e-12,1111562.0618117007,11586.6,-0.046165088587989844,1.0
2020-09-02,1148058.4702175239,7.275957614183426e-12,1148058.4702175239,11660.6,-0.014847405415278292,1.0
2020-09-03,1184511.2952636753,7.275957614183426e-12,1184511.2952636753,11663.35,0.0,1.0
2020-09-04,1177788.7248692145,7.275957614183426e-12,1177788.7248692145,11464.95,-0.005675395769834668,1.0
2020-09-07,1180850.5264040676,0.0,1180850.5264040676,11478.4,-0.0030905309845886686,1.0
2020-09-08,1164454.496017812,0.0,1164454.496017812,11434.9,-0.016932552121757927,1.0
2020-09-09,1148168.9993224982,0.0,1148168.9993224982,11397.95,-0.030681257398298745,1.0
2020-09-10,1169534.338676484,0.0,1169534.338676484,11562.65,-0.012643996428803428,1.0
2020-09-11,1168611.1594407621,0.0,1168611.1594407621,11589.65,-0.013423372057734362,1.0
2020-09-14,1211547.1565280226,0.0,1211547.1565280226,11566.45,0.0,1.0
2020-09-15,1229847.3508136538,0.0,1229847.3508136538,11652.85,0.0,1.0
2020-09-16,1224606.2501098446,0.0,1224606.2501098446,11732.7,-0.004261586367073744,1.0
2020-09-17,1214342.8791735936,0.0,1214342.8791735936,11646.15,-0.012606826066505428,1.0
2020-09-18,1215920.067068332,0.0,1215920.067068332,11640.2,-0.011324400329933204,1.0
2020-09-21,1166953.9930339602,0.0,1166953.9930339602,11367.25,-0.05113915782969647,1.0
2020-09-22,1135718.2529170723,0.0,1135718.2529170723,11264.55,-0.07653722052115386,1.0
2020-09-23,1127474.7389872496,0.0,1127474.7389872496,11241.6,-0.0832400962271258,1.0
2020-09-24,1090393.56703116,0.0,1090393.56703116,10922.25,-0.11339113239560394,1.0
2020-09-25,1127070.8303832475,0.0,1127070.8303832475,11176.3,-0.08356851796477871,1.0
2020-09-28,1164856.63819183,0.0,1164856.63819183,11365.25,-0.052844536014023835,1.0
2020-09-29,1168952.1416193924,0.0,1168952.1416193924,11353.65,-0.04951444514961445,1.0
2020-09-30,1174182.358306017,0.0,1174182.358306017,11385.2,-0.04526170867531598,1.0
2020-10-01,1185223.9011071294,0.0,1185223.9011071294,11545.9,-0.03628373039711141,1.0
2020-10-05,1202590.099271168,0.0,1202590.099271168,11625.6,-0.022163117662084342,1.0
2020-10-06,1210761.4202276971,0.0,1210761.4202276971,11770.75,-0.015518942715394446,1.0
2020-10-07,1191157.510697066,0.0,1191157.510697066,11833.9,-0.03145905879375266,1.0
2020-10-08,1188464.3762306832,0.0,1188464.3762306832,11925.4,-0.03364887077700507,1.0
2020-10-09,1187742.0085662827,0.0,1187742.0085662827,11990.7,-0.03423623445585722,1.0
2020-10-12,1162966.155719943,0.0,1162966.155719943,11999.05,-0.054381704403772435,1.0
2020-10-13,1158698.356327043,0.0,1158698.356327043,11995.7,-0.057851890675326034,1.0
2020-10-14,1160681.607589746,0.0,1160681.607589746,12039.05,-0.056239291143041936,1.0
2020-10-15,1137437.5169034766,0.0,1137437.5169034766,11758.2,-0.07513927142993793,1.0
2020-10-16,1152373.1202935989,0.0,1152373.1202935989,11843.35,-0.06299499728059654,1.0
2020-10-19,1164006.3687140308,3.637978807091713e-12,1164006.3687140308,11952.9,-0.05353589781371104,1.0
2020-10-20,1180362.8014560933,3.637978807091713e-12,1180362.8014560933,11976.85,-0.04023633447258479,1.0
2020-10-21,1195466.4285150713,3.637978807091713e-12,1195466.4285150713,12009.0,-0.02795543875899431,1.0
2020-10-22,1211506.3692225807,3.637978807091713e-12,1211506.3692225807,11971.8,-0.014913217952568614,1.0
2020-10-23,1225568.7726948461,3.637978807091713e-12,1225568.7726948461,12006.1,-0.003478950551039528,1.0
2020-10-26,1215560.804278378,0.0,1215560.804278378,11842.7,-0.011616520152540888,1.0
2020-10-27,1222681.0053048595,0.0,1222681.0053048595,11971.9,-0.005827020324150944,1.0
2020-10-28,1226829.3442030686,0.0,1226829.3442030686,11819.05,-0.0024539684608732015,1.0
2020-10-29,1234926.5977242407,0.0,1234926.5977242407,11774.4,0.0,1.0
2020-10-30,1236546.5118118776,0.0,1236546.5118118776,11748.95,0.0,1.0
2020-11-02,1216861.7133806658,0.0,1216861.7133806658,11777.85,-0.015919173474815973,1.0
2020-11-03,1221731.3693757374,0.0,1221731.3693757374,11913.35,-0.011981063627305,1.0
2020-11-04,1227909.2602598977,0.0,1227909.2602598977,12007.1,-0.00698497910873086,1.0
2020-11-05,1240038.9977996668,0.0,1240038.9977996668,12217.9,0.0,1.0
2020-11-06,1234514.0834756913,0.0,1234514.0834756913,12349.15,-0.004455435944981545,1.0
2020-11-09,1233874.7891879764,0.0,1233874.7891879764,12545.45,-0.004970979640663065,1.0
2020-11-10,1226172.7071823631,0.0,1226172.7071823631,12683.35,-0.01118214075678925,1.0
2020-11-11,1251614.1260327986,0.0,1251614.1260327986,12805.6,0.0,1.0
2020-11-12,1278973.1742466579,0.0,1278973.1742466579,12764.05,0.0,1.0
2020-11-13,1302779.380452026,0.0,1302779.380452026,12804.25,0.0,1.0
2020-11-14,1327315.1104633661,0.0,1327315.1104633661,12864.6,0.0,1.0
2020-11-17,1347030.2678436146,0.0,1347030.2678436146,12960.9,0.0,1.0
2020-11-18,1366482.757959268,0.0,1366482.757959268,13022.75,0.0,1.0
2020-11-19,1351073.8666069654,0.0,1351073.8666069654,12864.85,-0.011276315974388607,1.0
2020-11-20,1357945.9987805241,0.0,1357945.9987805241,12962.45,-0.006247249831013546,1.0
2020-11-23,1396987.7989729994,0.0,1396987.7989729994,13036.65,0.0,1.0
2020-11-24,1411499.6308942754,0.0,1411499.6308942754,13158.3,0.0,1.0
2020-11-25,1402575.5827746082,0.0,1402575.5827746082,12959.8,-0.006322387852140787,1.0
2020-11-26,1412766.301987238,0.0,1412766.301987238,13087.75,0.0,1.0
2020-11-27,1452564.522296838,0.0,1452564.522296838,13080.3,0.0,1.0
2020-12-01,1468555.4505963558,0.0,1468555.4505963558,13225.7,0.0,1.0
2020-12-02,1497236.137481624,0.0,1497236.137481624,13244.35,0.0,1.0
2020-12-03,1516311.8580764187,0.0,1516311.8580764187,13280.5,0.0,1.0
2020-12-04,1533123.5878727955,0.0,1533123.5878727955,13396.5,0.0,1.0
2020-12-07,1543693.9188950586,0.0,1543693.9188950586,13497.85,0.0,1.0
2020-12-08,1534672.3566030064,0.0,1534672.3566030064,13529.85,-0.0058441392957676586,1.0
2020-12-09,1532944.9972062998,0.0,1532944.9972062998,13649.6,-0.0069631172068440605,1.0
2020-12-10,1519675.5917514209,0.0,1519675.5917514209,13612.35,-0.015558995763117034,1.0
2020-12-11,1519623.024344912,0.0,1519623.024344912,13647.9,-0.015593048761490147,1.0
2020-12-14,1530425.479092272,0.0,1530425.479092272,13693.2,-0.008595253009925585,1.0
2020-12-15,1528560.1720200481,0.0,1528560.1720200481,13697.7,-0.009803592985481724,1.0
2020-12-16,1555062.3329188304,0.0,1555062.3329188304,13808.05,0.0,1.0
2020-12-17,1553780.7324099601,0.0,1553780.7324099601,13852.55,-0.000824147355215521,1.0
2020-12-18,1538458.3401635336,0.0,1538458.3401635336,13872.8,-0.010677380837931683,1.0
2020-12-21,1470666.864823258,0.0,1470666.864823258,13431.3,-0.054271437426667846,1.0
2020-12-22,1477100.1560712638,0.0,1477100.1560712638,13577.35,-0.05013443847053556,1.0
2020-12-23,1519443.8611273617,0.0,1519443.8611273617,13725.55,-0.022904851488887545,1.0
2020-12-24,1528487.7618453132,0.0,1528487.7618453132,13862.1,-0.017089071293777125,1.0
2020-12-28,1548983.6739486072,0.0,1548983.6739486072,13986.7,-0.003908948755008246,1.0
