date,rank,symbol,score,score_6m,mom_6m,vol_6m
2020-07-09,1,ALKYLAMINE,4.161183554266159,4.161183554266159,1.1022105493543446,0.05
2020-07-09,2,LTFOODS,3.8752003222573266,3.8752003222573266,1.021978021978022,0.05
2020-07-09,3,GRANULES,3.3664673635815596,3.3664673635815596,0.879253112033195,0.05
2020-07-09,4,ADANIGREEN,3.306441112761734,3.306441112761734,0.8624127617148556,0.05
2020-07-09,5,ESCORTS,3.29738318645354,3.29738318645354,0.859871562654372,0.05
2020-07-09,6,AUROPHARMA,3.1965790436628203,3.1965790436628203,0.8329199549041713,0.050079905292233724
2020-07-09,7,NAVINFLUOR,2.9448178023549945,2.9448178023549945,0.7609594284256187,0.05
2020-07-09,8,INDIACEM,2.734386856692316,2.734386856692316,0.7019230769230771,0.05
2020-07-09,9,TTML,2.6879274051142263,2.6879274051142263,0.6888888888888889,0.05
2020-07-09,10,APLLTD,2.540473510753151,2.540473510753151,0.647520734074466,0.05
2020-07-09,11,SUZLON,2.5281657566756524,2.5281657566756524,0.6440677966101693,0.05
2020-07-09,12,IRB,2.5067299074890896,2.5067299074890896,0.6666666666666667,0.05224218432738716
2020-07-09,13,JBCHEPHARM,2.504050023800485,2.504050023800485,0.6373021335168618,0.05
2020-07-09,14,BAYERCROP,2.3072493660066873,2.3072493660066873,0.5820897560176399,0.05
2020-07-09,15,DIXON,2.2681872759966053,2.2681872759966053,0.5711308960030308,0.05
2020-07-09,16,TARIL,2.21319896016002,2.21319896016002,0.6249999999999998,0.05623498037612607
2020-07-09,17,IRCTC,2.186990051559557,2.186990051559557,0.548351034097261,0.05
2020-07-09,18,TATACOMM,2.029856806736281,2.029856806736281,0.5042673398244983,0.05
2020-07-09,19,LAURUSLABS,2.019323902140436,2.019323902140436,0.5013123359580052,0.05
2020-07-09,20,AJANTPHARM,1.942447900472146,1.942447900472146,0.47974479206703036,0.05
2020-07-09,21,POLYMED,1.940298704028313,1.940298704028313,0.47914183551847445,0.05
2020-07-09,22,DEEPAKNTR,1.8246564696548324,1.8246564696548324,0.44669843430905365,0.05
2020-07-09,23,IPCALAB,1.8158582457780192,1.8158582457780192,0.44423009470361263,0.05
2020-07-09,24,MUTHOOTFIN,1.7975558350781111,1.7975558350781111,0.43909535775691033,0.05
2020-07-16,1,GRANULES,3.5645557373992145,3.5645557373992145,0.869912514263979,0.05
2020-07-16,2,ALKYLAMINE,3.3851108302375814,3.3851108302375814,0.8200521878763549,0.05
2020-07-16,3,AUROPHARMA,3.3640078941764706,3.3640078941764706,0.8170864090316978,0.05017795971577486
