date,open,high,low,close,volume
2009-03-05,6.76,7.03,6.76,6.78,25472
2009-03-06,6.53,6.89,6.53,6.82,16572
2009-03-09,6.75,6.86,6.68,6.78,23640
2009-03-12,6.72,7.09,6.72,7.01,48940
2009-03-13,6.94,7.19,6.94,7.03,38184
2009-03-16,6.82,7.19,6.82,7.18,17576
2009-03-17,6.88,7.25,6.88,7.2,37104
2009-03-18,7.05,7.43,7.05,7.34,26280
2009-03-19,7.09,7.44,7.09,7.38,19344
2009-03-20,7.1,7.38,7.1,7.26,13488
2009-03-23,7.13,7.44,7.13,7.18,51644
2009-03-24,7.15,7.3,7.03,7.1,44000
2009-03-25,6.91,7.11,6.91,7.03,7896
2009-03-26,6.95,7.18,6.95,7.11,26444
2009-03-27,6.89,7.5,6.89,7.03,23644
2009-03-30,6.78,7.28,6.78,7.0,52608
2009-03-31,6.84,7.13,6.84,7.09,25380
2009-04-01,6.89,7.35,6.89,7.32,17540
2009-04-02,7.15,7.63,7.15,7.53,60744
2009-04-06,8.11,8.13,7.63,7.82,43900
2009-04-08,7.75,7.97,7.6,7.93,55036
2009-04-09,8.0,8.06,7.84,7.97,80928
2009-04-13,8.0,8.63,7.89,8.36,224696
2009-04-15,8.27,8.61,8.25,8.35,260768
2009-04-16,8.59,8.59,8.16,8.21,132716
2009-04-17,8.25,8.36,8.02,8.06,59228
2009-04-20,8.0,8.36,8.0,8.15,52444
2009-04-21,7.97,8.63,7.9,8.45,68664
2009-04-22,8.61,8.63,8.05,8.48,422548
2009-04-23,8.5,8.5,8.13,8.26,165100
2009-04-24,8.13,9.0,8.07,8.69,308568
2009-04-27,8.63,10.13,8.5,9.76,1212224
2009-04-28,10.1,10.35,9.5,9.7,2027100
2009-04-29,9.95,9.95,9.04,9.15,152792
2009-05-04,9.73,10.02,9.25,9.81,309376
2009-05-05,9.76,9.88,9.35,9.39,174268
2009-05-06,9.4,9.56,9.04,9.13,92836
2009-05-07,9.13,9.44,9.02,9.32,66256
2009-05-08,9.4,9.99,9.2,9.57,219372
2009-05-11,9.48,9.71,9.23,9.25,78592
2009-05-12,9.06,9.36,8.94,9.27,69620
2009-05-13,9.52,9.52,9.02,9.1,47288
2009-05-14,8.8,9.13,8.79,9.0,46092
2009-05-15,9.06,9.61,9.06,9.26,108744
2009-05-19,9.75,9.81,9.34,9.39,166364
2009-05-20,9.5,10.63,9.44,10.15,441412
2009-05-21,10.5,11.0,10.27,10.63,444440
2009-05-22,10.63,11.15,10.38,10.95,288800
2009-05-25,11.0,11.75,11.0,11.36,752928
2009-05-26,11.48,11.88,10.85,10.98,396436
2009-05-27,11.25,11.63,10.75,11.07,441380
2009-05-28,11.46,11.86,11.1,11.51,817396
2009-05-29,11.5,11.74,10.8,11.27,1235268
2009-06-01,11.88,11.88,11.27,11.38,497304
2009-06-02,11.65,11.98,11.2,11.51,553072
2009-06-03,11.5,11.63,11.36,11.52,271808
2009-06-04,11.5,13.06,11.2,12.55,3704220
2009-06-05,12.88,13.0,11.66,11.81,3094528
2009-06-08,11.95,11.95,10.63,10.93,869356
2009-06-09,10.75,11.73,10.34,11.56,766616
2009-06-10,11.73,11.85,11.2,11.48,335764
2009-06-11,11.25,11.5,11.01,11.16,380596
2009-06-12,11.24,12.69,10.81,11.64,1473140
2009-06-15,11.25,11.68,11.0,11.07,187056
2009-06-16,10.85,11.16,10.85,11.05,227400
2009-06-17,11.07,11.61,10.66,10.84,248552
2009-06-18,10.63,10.99,10.25,10.31,184728
2009-06-19,10.29,10.63,9.75,10.3,141236
2009-06-22,10.5,10.61,10.02,10.1,102524
2009-06-23,9.64,10.19,9.64,9.81,153948
2009-06-24,10.0,10.2,9.82,10.04,111116
2009-06-25,10.13,10.5,9.91,9.98,218688
2009-06-26,10.0,10.18,10.0,10.04,120088
2009-06-29,10.04,10.27,9.88,10.14,207424
2009-06-30,10.35,10.35,9.79,9.85,131200
2009-07-01,9.93,9.95,9.61,9.66,130516
2009-07-02,9.9,9.9,9.54,9.64,169688
2009-07-03,9.6,9.7,9.5,9.6,56712
2009-07-06,9.69,9.74,9.25,9.39,127892
2009-07-07,9.27,9.55,9.14,9.43,72356
2009-07-08,9.38,9.46,9.05,9.25,63536
2009-07-09,9.19,9.4,8.9,9.06,94432
2009-07-10,9.13,9.24,8.85,9.06,63116
2009-07-13,8.96,8.98,8.55,8.66,68888
2009-07-14,8.94,9.23,8.84,9.07,49376
2009-07-15,9.06,9.74,9.01,9.63,211288
2009-07-16,9.59,9.88,9.44,9.73,125684
2009-07-17,10.0,10.0,9.38,9.55,102244
2009-07-20,9.85,9.93,9.6,9.77,100508
2009-07-21,9.7,9.75,9.48,9.65,62312
2009-07-22,9.5,9.89,9.39,9.45,92492
2009-07-23,9.5,9.84,9.5,9.75,75360
2009-07-24,10.25,10.25,9.65,9.82,57792
2009-07-27,9.9,10.13,9.85,10.01,82208
2009-07-28,10.0,10.25,9.86,10.11,88996
2009-07-29,9.95,10.48,9.88,9.91,124732
2009-07-30,9.89,10.1,9.71,9.81,159312
2009-07-31,9.96,10.61,9.88,10.41,361452
2009-08-03,10.6,11.13,10.5,10.81,570804
2009-08-04,10.94,11.4,10.8,10.94,711288
2009-08-05,10.95,11.1,10.75,10.86,122040
2009-08-06,10.9,11.0,10.52,10.61,93972
2009-08-07,10.35,10.56,9.79,10.15,95716
2009-08-10,10.6,11.38,10.13,10.99,2880876
2009-08-11,11.07,11.49,10.69,10.94,1511312
2009-08-12,10.65,10.95,10.01,10.49,403200
2009-08-13,10.49,10.95,10.49,10.69,169204
2009-08-14,10.65,11.23,10.38,10.61,564352
2009-08-17,10.56,10.63,10.09,10.23,165168
2009-08-18,10.24,10.48,10.01,10.3,142600
2009-08-19,10.52,10.71,10.1,10.26,98184
2009-08-20,10.25,10.43,9.65,9.8,422204
2009-08-21,9.8,10.18,9.7,10.02,121720
2009-08-24,9.91,10.45,9.91,10.27,147320
2009-08-25,10.15,11.68,10.05,10.96,2962112
2009-08-26,11.04,11.25,10.0,10.23,1718920
2009-08-27,10.21,10.88,10.21,10.59,603204
2009-08-28,10.69,11.06,10.44,10.95,688816
2009-08-31,11.0,11.13,10.68,10.77,978580
2009-09-01,10.88,11.06,10.56,10.7,535888
2009-09-02,10.7,10.75,10.52,10.57,157688
2009-09-03,10.81,10.81,10.5,10.59,228532
2009-09-04,10.75,10.93,10.64,10.82,400052
2009-09-07,11.13,11.38,10.88,11.16,1145224
2009-09-08,11.29,11.36,10.88,10.93,458472
2009-09-09,11.0,11.93,10.63,11.5,3668568
2009-09-10,11.64,11.93,11.15,11.29,1046088
2009-09-11,11.46,11.59,11.0,11.02,255672
2009-09-14,11.23,11.88,11.23,11.56,1876560
2009-09-15,11.5,12.1,11.5,11.65,899648
2009-09-16,11.75,11.95,11.13,11.24,738728
2009-09-17,11.7,11.91,11.2,11.51,1031952
2009-09-18,11.7,11.98,11.5,11.65,489716
2009-09-22,11.75,13.6,11.68,13.36,8292912
2009-09-23,13.85,14.21,13.02,13.11,7223996
2009-09-24,13.06,13.49,12.76,13.24,1848212
2009-09-25,13.25,14.0,13.05,13.66,2582876
2009-09-29,13.75,14.0,13.52,13.61,1015704
2009-09-30,13.77,13.85,13.27,13.36,569316
2009-10-01,13.38,13.5,12.81,12.93,704728
2009-10-05,12.85,12.85,12.25,12.29,519188
2009-10-06,12.38,12.52,11.88,12.4,460824
2009-10-07,12.6,13.06,12.26,12.39,518600
2009-10-08,12.31,12.63,12.23,12.34,312576
2009-10-09,12.16,12.63,12.13,12.15,359008
2009-10-12,12.25,12.88,11.91,12.49,684516
2009-10-14,12.5,13.05,12.27,12.73,622668
2009-10-15,12.66,12.77,12.25,12.34,256544
2009-10-16,12.57,12.74,12.41,12.46,378616
2009-10-17,12.48,12.99,12.48,12.88,326760
2009-10-20,13.02,13.13,12.75,12.93,520236
2009-10-21,12.98,13.88,12.82,12.98,654048
2009-10-22,12.63,13.13,12.63,12.73,332868
2009-10-23,12.9,13.19,12.64,12.69,186668
2009-10-26,12.65,12.96,12.3,12.39,332348
2009-10-27,12.39,12.4,11.57,11.81,300140
2009-10-28,11.27,11.88,11.27,11.61,180796
2009-10-29,10.68,11.68,10.68,11.27,250432
2009-10-30,11.5,11.85,10.88,10.99,339948
2009-11-03,10.8,10.8,9.82,10.0,645988
2009-11-04,9.82,11.0,9.82,10.48,348396
2009-11-05,10.5,10.5,10.23,10.36,456560
2009-11-06,10.46,10.69,10.27,10.57,202444
2009-11-09,10.5,10.73,10.35,10.54,273452
2009-11-10,10.44,10.9,10.44,10.65,186376
2009-11-11,10.38,11.23,10.38,10.93,532160
2009-11-12,10.88,10.99,10.63,10.66,202056
2009-11-13,10.75,10.98,10.56,10.69,149320
2009-11-16,10.51,10.99,10.51,10.84,134960
2009-11-17,10.63,11.0,10.63,10.84,102292
2009-11-18,10.98,10.99,10.86,10.91,111216
2009-11-19,9.93,11.94,9.93,11.38,1368452
2009-11-20,11.48,11.65,11.13,11.44,297636
2009-11-23,11.26,11.68,11.25,11.43,152280
2009-11-24,11.26,11.95,11.26,11.59,508112
2009-11-25,11.5,11.71,11.38,11.43,239444
2009-11-26,11.24,11.44,10.94,11.0,236244
2009-11-27,10.98,10.98,10.0,10.49,482304
2009-11-30,10.31,10.95,10.29,10.73,101684
2009-12-01,10.75,11.02,10.66,10.93,194744
2009-12-02,11.1,11.23,11.0,11.1,139852
2009-12-03,11.19,11.5,11.1,11.24,305952
2009-12-04,11.04,11.7,11.0,11.31,242008
2009-12-07,11.16,11.8,11.11,11.23,534472
2009-12-08,11.25,11.73,11.25,11.41,316416
2009-12-09,11.3,12.63,11.26,12.1,3406192
2009-12-10,12.25,12.6,11.8,11.98,1459908
2009-12-11,12.18,12.3,11.63,11.7,349128
2009-12-14,11.68,12.13,11.25,11.86,434632
2009-12-15,12.02,12.3,11.77,11.84,353164
2009-12-16,12.0,12.25,11.77,12.11,565588
2009-12-17,12.09,12.09,11.75,11.81,115452
2009-12-18,11.75,12.0,11.5,11.56,165484
2009-12-21,11.59,12.19,11.3,11.76,429984
2009-12-22,11.95,12.0,11.68,11.77,166004
2009-12-23,11.99,11.99,11.7,11.76,143644
2009-12-24,11.75,11.82,11.69,11.75,128768
2009-12-29,12.0,13.18,11.81,12.65,4092868
2009-12-30,12.74,13.07,12.52,12.61,960056
2009-12-31,12.75,12.98,12.23,12.3,597460
2010-01-04,12.44,12.6,12.29,12.44,369084
2010-01-05,12.52,12.73,12.34,12.44,441688
2010-01-06,12.57,12.64,12.32,12.41,444604
2010-01-07,12.43,12.56,12.26,12.32,337832
2010-01-08,12.6,12.63,12.3,12.38,580972
2010-01-11,12.5,13.0,12.35,12.65,878036
2010-01-12,12.75,12.91,12.26,12.35,543428
2010-01-13,12.14,12.43,12.11,12.24,281176
2010-01-14,12.15,12.64,12.15,12.39,407732
2010-01-15,12.46,13.09,12.46,12.64,1099272
2010-01-18,12.63,12.86,12.63,12.73,439124
2010-01-19,12.88,12.88,12.65,12.68,391620
2010-01-20,12.64,12.88,12.55,12.7,427876
2010-01-21,12.55,13.48,12.48,12.56,2241544
2010-01-22,12.4,12.48,11.89,12.26,525280
2010-01-25,12.25,12.93,12.05,12.56,701596
2010-01-27,12.45,12.5,11.75,11.85,490796
2010-01-28,12.13,12.26,11.63,11.8,562880
2010-01-29,11.88,12.07,11.41,11.75,726140
2010-02-01,11.98,12.44,11.88,12.38,588136
2010-02-02,12.61,12.69,12.18,12.25,549420
2010-02-03,12.2,12.2,11.88,11.91,352472
2010-02-04,12.0,12.0,11.5,11.55,182300
2010-02-05,11.13,11.24,10.75,11.05,348748
2010-02-06,11.09,11.32,11.09,11.24,38412
2010-02-08,11.35,11.46,10.98,11.21,169564
2010-02-09,11.4,11.4,11.13,11.19,120476
2010-02-10,11.26,11.6,11.14,11.23,159024
2010-02-11,11.46,11.46,11.24,11.32,124736
2010-02-15,11.5,11.5,11.01,11.32,130892
2010-02-16,11.35,11.39,11.23,11.3,83144
2010-02-17,11.38,11.6,11.31,11.36,139128
2010-02-18,11.38,11.4,11.16,11.25,114060
2010-02-19,11.23,11.25,11.01,11.14,116068
2010-02-22,11.38,11.41,11.19,11.2,194976
2010-02-23,11.13,11.26,11.02,11.07,105924
2010-02-24,11.31,11.31,11.01,11.1,135116
2010-02-25,11.15,11.16,10.96,11.02,80352
2010-02-26,11.21,11.25,10.88,11.13,142876
2010-03-02,11.46,11.46,11.06,11.29,149020
2010-03-03,11.45,11.46,11.23,11.34,267296
2010-03-04,11.29,11.79,11.29,11.44,264756
2010-03-05,11.55,11.63,11.5,11.56,147872
2010-03-08,11.52,11.71,11.5,11.54,137060
2010-03-09,11.69,11.69,11.5,11.55,135652
2010-03-10,11.63,11.8,11.5,11.68,244504
2010-03-11,11.6,13.2,11.55,12.06,6267060
2010-03-12,12.34,12.73,12.04,12.15,1771092
2010-03-15,12.0,12.45,11.9,11.96,341800
2010-03-16,12.18,12.18,11.79,11.91,204044
2010-03-17,12.1,12.1,11.65,11.76,217368
2010-03-18,11.98,12.07,11.75,11.77,338716
2010-03-19,11.8,12.45,11.75,12.13,1128832
2010-03-22,12.0,12.13,11.88,11.89,254572
2010-03-23,11.91,12.35,11.8,11.98,424812
2010-03-25,12.06,12.44,11.88,12.1,677408
2010-03-26,12.19,12.3,11.85,11.89,255980
2010-03-29,12.01,12.18,11.69,11.76,186100
2010-03-30,11.94,12.48,11.81,11.99,367780
2010-03-31,12.2,12.25,11.88,11.93,193676
2010-04-01,11.79,12.25,11.79,12.02,244468
2010-04-05,12.04,12.7,12.04,12.45,1314580
2010-04-06,12.75,12.94,12.54,12.6,980804
2010-04-07,12.63,12.81,12.38,12.49,350044
2010-04-08,12.38,12.73,12.27,12.31,305776
2010-04-09,12.38,12.75,12.11,12.59,337908
2010-04-12,12.63,12.65,12.38,12.5,205792
2010-04-13,12.52,12.59,12.25,12.3,258968
2010-04-15,12.38,12.64,12.02,12.11,289268
2010-04-16,12.13,12.38,12.05,12.18,285096
2010-04-19,12.0,12.21,11.73,11.77,351932
2010-04-20,11.95,12.57,11.88,12.29,599836
2010-04-21,12.38,12.69,12.19,12.29,435684
2010-04-22,12.25,12.36,12.18,12.23,139620
