date,open,high,low,close,volume
2009-03-05,122.1,124.55,119.05,121.75,92998
2009-03-06,120.5,125.0,119.15,122.95,59454
2009-03-09,124.95,124.95,120.5,122.38,23626
2009-03-12,124.75,124.9,120.55,122.18,34828
2009-03-13,122.9,124.88,122.53,124.28,55528
2009-03-16,126.0,126.38,122.75,125.28,52686
2009-03-17,125.45,125.45,122.8,124.03,78556
2009-03-18,125.82,130.5,123.0,123.65,246272
2009-03-19,126.72,127.45,120.25,121.63,102044
2009-03-20,123.5,126.75,121.5,123.13,98734
2009-03-23,125.0,126.5,122.5,123.93,132768
2009-03-24,126.5,127.4,121.0,121.72,102794
2009-03-25,122.5,123.2,121.05,121.95,55708
2009-03-26,124.38,125.25,121.65,123.95,146336
2009-03-27,125.0,139.5,122.5,125.68,684016
2009-03-30,132.0,143.98,126.1,128.88,506402
2009-03-31,131.27,139.5,129.3,133.82,535898
2009-04-01,133.95,146.2,133.55,139.88,549844
2009-04-02,143.48,153.95,140.6,149.2,628558
2009-04-06,152.5,171.5,149.55,167.93,579700
2009-04-08,164.5,167.5,156.65,165.23,334404
2009-04-09,168.5,184.95,167.5,169.07,362726
2009-04-13,172.52,177.9,170.55,172.4,210046
2009-04-15,173.0,187.0,167.0,182.9,593884
2009-04-16,188.2,189.0,172.0,174.77,332834
2009-04-17,175.5,182.5,173.0,175.57,604160
2009-04-20,177.5,179.5,171.02,175.73,396604
2009-04-21,175.0,184.5,172.3,180.1,682802
2009-04-22,184.5,186.95,178.07,182.0,785016
2009-04-23,187.45,199.45,180.1,194.2,1811538
2009-04-24,197.2,229.35,195.1,221.93,2634056
2009-04-27,219.9,231.7,208.1,213.23,1258852
2009-04-28,212.5,218.85,195.0,196.7,541578
2009-04-29,201.0,216.38,197.5,210.52,822282
2009-05-04,213.5,231.6,203.25,231.6,1337008
2009-05-05,237.2,237.2,222.0,226.13,905930
2009-05-06,226.4,232.4,219.0,222.57,530768
2009-05-07,225.0,231.0,222.5,225.4,351790
2009-05-08,226.0,228.5,210.43,215.18,379810
2009-05-11,216.5,219.48,208.05,212.15,170070
2009-05-12,206.5,218.5,206.5,215.75,687784
2009-05-13,219.85,228.4,215.25,222.38,564744
2009-05-14,205.0,228.95,205.0,225.93,442210
2009-05-15,229.43,247.5,228.0,239.3,783320
2009-05-18,262.33,263.25,262.33,263.25,1812
2009-05-19,265.55,289.58,241.0,289.58,785860
2009-05-20,291.0,304.08,287.65,304.08,267030
2009-05-21,307.5,317.5,296.65,300.95,350946
2009-05-22,300.0,314.5,298.5,312.55,315634
2009-05-25,316.7,327.0,315.5,317.73,228500
2009-05-26,322.45,327.45,306.5,308.85,256130
2009-05-27,315.0,323.5,311.0,318.55,211144
2009-05-28,323.15,324.5,315.5,321.4,149016
2009-05-29,325.42,337.48,325.42,337.48,156164
2009-06-01,347.2,354.35,337.5,353.45,551858
2009-06-02,359.7,359.7,335.77,336.92,288222
2009-06-03,341.0,349.5,339.25,346.15,296776
2009-06-04,345.0,363.48,340.0,363.48,448724
2009-06-05,369.85,381.65,369.85,381.45,1275034
2009-06-08,385.0,396.65,362.38,362.42,510664
2009-06-09,359.7,372.5,345.05,360.58,428404
2009-06-10,364.95,372.5,360.0,365.7,290148
2009-06-11,369.95,370.0,350.4,357.95,410188
2009-06-12,360.0,368.5,350.5,362.55,317412
2009-06-15,354.5,368.2,353.67,360.9,92200
2009-06-16,353.0,377.5,353.0,375.0,285000
2009-06-17,378.2,385.0,356.25,358.33,317900
2009-06-18,358.5,370.0,345.55,357.6,373766
2009-06-19,360.0,367.45,342.0,350.73,173692
2009-06-22,362.0,362.0,336.17,344.85,198504
2009-06-23,339.5,345.0,329.0,341.13,271532
2009-06-24,345.0,358.2,345.0,358.2,101750
2009-06-25,376.13,376.13,371.5,376.13,116432
2009-06-26,394.95,394.95,372.6,394.95,1007450
2009-06-29,402.35,414.7,402.35,414.35,2270538
2009-06-30,417.5,434.48,402.55,410.15,602350
2009-07-01,411.0,412.0,390.0,401.1,162716
2009-07-02,409.85,409.85,384.05,390.35,461022
2009-07-03,390.0,409.88,387.5,409.88,165642
2009-07-06,412.5,429.92,397.5,401.6,768354
2009-07-07,406.0,415.0,389.98,397.17,625304
2009-07-08,390.0,390.0,357.48,366.5,657516
2009-07-09,374.0,374.0,352.5,358.7,174406
2009-07-10,364.0,367.0,354.0,356.7,108440
2009-07-13,360.0,362.52,330.7,337.4,445418
2009-07-14,342.9,371.15,342.9,371.15,344374
2009-07-15,386.65,408.27,381.63,399.48,1144722
2009-07-16,400.5,414.23,396.1,401.65,675014
2009-07-17,406.0,412.2,400.52,403.05,256932
2009-07-20,407.0,425.9,405.13,420.65,562484
