date,open,high,low,close,volume
2009-03-05,81.0,85.65,80.0,80.0,1885
2009-03-06,80.0,83.9,80.0,80.0,8105
2009-03-09,78.25,80.0,76.1,78.05,1529
2009-03-12,77.25,80.0,76.0,78.35,686
2009-03-13,77.0,80.0,76.7,77.35,9762
2009-03-16,77.0,81.4,77.0,80.3,4701
2009-03-17,79.45,81.0,75.5,77.75,3348
2009-03-18,80.0,80.0,77.05,77.35,1241
2009-03-19,76.55,87.0,76.55,77.85,812
2009-03-20,77.05,78.5,76.15,77.85,520
2009-03-23,75.1,77.0,75.1,76.25,6230
2009-03-24,79.0,82.9,76.0,78.85,5375
2009-03-25,80.0,80.0,78.05,79.05,10344
2009-03-26,77.75,83.0,77.75,78.7,2075
2009-03-27,87.5,87.5,78.0,79.65,6286
2009-03-30,78.0,82.95,76.65,78.95,1027
2009-03-31,79.95,79.95,78.1,78.1,567
2009-04-01,78.0,79.95,78.0,79.25,625
2009-04-02,80.2,83.35,79.3,81.0,2629
2009-04-06,85.0,85.0,82.5,83.0,3309
2009-04-08,83.0,87.0,80.75,85.7,1122
2009-04-09,86.95,88.5,83.1,85.15,4552
2009-04-13,85.05,91.95,84.6,88.7,42638
2009-04-15,87.8,100.0,87.8,94.15,36048
2009-04-16,97.6,98.85,85.1,87.2,12128
2009-04-17,89.0,103.0,89.0,93.4,24776
2009-04-20,97.0,97.0,90.05,93.25,7119
2009-04-21,92.0,93.0,89.95,90.5,4588
2009-04-22,92.8,95.0,88.05,89.2,4521
2009-04-23,89.0,91.45,88.3,89.7,2630
2009-04-24,90.9,91.95,90.7,91.35,8602
2009-04-27,92.0,95.0,85.5,87.75,6948
2009-04-28,85.85,88.7,83.5,84.25,2347
2009-04-29,88.0,88.0,84.35,85.55,2463
2009-05-04,82.0,90.9,82.0,87.35,4933
2009-05-05,85.5,99.0,85.5,93.6,52320
2009-05-06,94.8,94.8,88.1,90.25,1526
2009-05-07,89.0,98.0,89.0,95.4,6048
2009-05-08,99.0,103.9,96.0,97.45,26382
2009-05-11,96.05,108.0,85.1,98.3,101920
2009-05-12,97.55,101.5,97.55,100.1,8890
2009-05-13,102.4,102.9,100.0,100.0,10112
2009-05-14,98.0,99.0,96.95,98.3,4183
2009-05-15,99.9,103.5,99.0,100.15,8154
2009-05-19,110.0,120.2,110.0,115.45,32240
2009-05-20,111.1,125.0,111.1,121.1,9768
2009-05-21,126.0,130.0,122.0,127.9,13966
2009-05-22,124.0,153.5,124.0,152.95,81928
2009-05-25,153.0,158.75,147.0,150.35,66569
2009-05-26,157.0,157.0,136.6,139.8,5825
2009-05-27,150.0,151.8,140.0,148.35,7727
2009-05-28,145.0,148.95,142.0,144.9,1918
