date,open,high,low,close,volume
2011-12-21,13.85,13.85,13.3,13.35,3030
2011-12-22,13.2,13.44,13.16,13.16,38700
2011-12-23,13.44,13.95,13.31,13.32,40020
2011-12-26,13.7,13.7,13.4,13.69,1260
2011-12-27,13.89,13.9,13.26,13.74,328890
2011-12-28,13.98,13.98,13.44,13.48,90
2011-12-29,13.7,14.0,13.25,13.65,1451140
2011-12-30,13.6,14.4,13.6,14.05,108850
2012-01-02,13.98,13.98,13.94,13.94,6250
2012-01-03,13.95,13.98,13.56,13.75,77520
2012-01-04,13.98,14.78,13.5,13.82,10180
2012-01-05,13.98,13.98,13.64,13.9,5200
2012-01-06,13.27,13.94,13.27,13.9,1940
2012-01-09,13.5,13.8,13.48,13.54,5400
2012-01-10,13.9,14.48,13.65,14.03,276650
2012-01-11,13.56,14.0,13.56,13.98,60770
2012-01-12,11.59,13.9,11.59,13.22,93900
2012-01-13,13.5,13.8,13.5,13.5,13100
2012-01-16,13.85,13.85,13.4,13.4,1010
2012-01-18,13.5,13.5,13.5,13.5,1000
2012-01-19,13.2,13.57,13.2,13.56,1650
2012-01-20,13.25,13.85,13.25,13.85,146130
2012-01-23,13.8,13.8,13.31,13.33,40
2012-01-24,13.8,13.8,13.5,13.65,23020
2012-01-25,12.67,15.84,12.65,14.98,346980
2012-01-27,15.3,16.42,15.3,15.96,252410
2012-01-30,15.5,15.7,14.64,15.69,44660
2012-01-31,15.5,16.0,15.5,15.89,52010
2012-02-01,15.5,15.7,14.81,15.6,5560
2012-02-02,15.3,15.4,15.11,15.2,1880
2012-02-03,15.05,15.29,15.01,15.29,10000
2012-02-06,15.7,16.0,15.1,15.38,187260
2012-02-07,15.4,16.0,14.78,15.61,19780
2012-02-08,15.7,15.99,15.6,15.61,140210
2012-02-09,15.3,15.33,15.15,15.15,16470
2012-02-10,15.35,15.6,14.3,15.01,5920
2012-02-13,14.9,14.9,14.6,14.73,4510
2012-02-14,14.7,14.7,14.65,14.68,36250
2012-02-15,14.55,14.88,14.55,14.62,21820
2012-02-16,14.36,16.8,14.3,16.5,702650
