date,open,high,low,close,volume
2009-03-05,186.15,192.25,181.0,182.32,14788
2009-03-06,184.93,184.93,179.02,183.13,5736
2009-03-09,180.0,185.93,179.45,183.65,23614
2009-03-12,186.0,190.0,182.5,184.82,23014
2009-03-13,185.27,190.0,184.52,188.5,38922
2009-03-16,187.55,188.93,182.63,184.0,20522
2009-03-17,174.8,180.0,173.55,177.6,112346
2009-03-18,179.13,186.0,177.6,183.2,111702
2009-03-19,185.0,186.73,183.05,184.65,70676
2009-03-20,185.0,193.5,180.02,187.43,147688
2009-03-23,199.95,205.0,188.0,198.2,55782
2009-03-24,204.0,204.0,188.5,192.0,30456
2009-03-25,187.5,204.0,187.5,195.55,42108
2009-03-26,200.0,201.0,195.0,197.4,13416
2009-03-27,199.0,205.0,194.0,201.68,47634
2009-03-30,196.05,199.98,195.5,197.45,21332
2009-03-31,197.02,204.85,196.93,203.1,38320
2009-04-01,198.75,202.0,197.0,197.75,16088
2009-04-02,200.0,203.82,195.18,199.88,60744
2009-04-06,203.5,206.85,195.13,196.98,50984
2009-04-08,192.75,200.75,192.75,200.2,19460
2009-04-09,202.5,204.5,198.18,200.1,32410
2009-04-13,204.38,205.0,196.5,198.7,19186
2009-04-15,201.0,202.5,198.5,200.57,29636
2009-04-16,201.0,202.0,197.5,198.88,45162
2009-04-17,201.75,202.35,196.88,198.75,17242
2009-04-20,202.5,217.0,197.0,199.2,245514
2009-04-21,199.2,201.95,196.5,197.3,24016
2009-04-22,200.0,202.95,197.8,198.5,81348
2009-04-23,200.5,200.75,197.5,199.7,20156
2009-04-24,198.52,199.98,197.52,198.9,32720
2009-04-27,199.5,200.0,196.0,198.68,30914
2009-04-28,199.0,199.3,191.02,192.1,69574
2009-04-29,192.1,194.45,190.98,192.02,9176
2009-05-04,199.0,199.0,187.5,193.68,110370
2009-05-05,195.0,199.25,192.5,197.32,43234
2009-05-06,196.0,199.5,191.25,192.75,42656
2009-05-07,195.48,203.45,194.0,198.95,99088
2009-05-08,198.5,202.5,196.02,200.88,36364
2009-05-11,204.45,204.98,196.0,199.88,25354
2009-05-12,198.5,205.0,197.02,203.95,115184
2009-05-13,202.57,203.95,198.68,199.1,32072
2009-05-14,197.93,204.5,196.32,199.77,40976
2009-05-15,200.0,201.45,198.52,199.2,8812
2009-05-18,207.5,215.0,207.5,213.15,128
2009-05-19,215.0,224.48,202.0,221.1,324034
2009-05-20,215.75,240.0,212.0,236.55,89436
2009-05-21,214.0,282.5,201.43,274.88,369990
2009-05-22,272.5,278.0,246.13,259.85,258338
2009-05-25,260.5,267.45,248.5,257.17,269116
2009-05-26,259.0,261.92,253.5,255.38,183488
2009-05-27,256.5,259.0,252.5,254.07,89996
