date,open,high,low,close,volume
2009-03-05,4.12,4.2,4.08,4.12,16661676
2009-03-06,4.0,4.09,3.76,4.0,6749468
2009-03-09,4.04,4.08,4.0,4.04,5261964
2009-03-12,4.12,4.22,4.06,4.15,26316044
2009-03-13,4.28,4.44,4.26,4.36,33639700
2009-03-16,4.42,4.49,4.36,4.4,16205220
2009-03-17,4.41,4.44,4.32,4.38,10272256
2009-03-18,4.44,4.69,4.4,4.52,21705344
2009-03-19,4.6,4.66,4.4,4.44,14862420
2009-03-20,4.38,4.48,4.1,4.15,24710396
2009-03-23,4.25,4.35,4.19,4.28,11226224
2009-03-24,4.32,4.5,4.3,4.38,17910736
2009-03-25,4.5,4.5,4.34,4.38,8214172
2009-03-26,4.28,4.51,4.25,4.44,10651760
2009-03-27,4.44,4.85,4.4,4.7,12898172
2009-03-30,4.38,4.65,4.38,4.42,11540268
2009-03-31,4.46,4.6,4.45,4.54,8767076
2009-04-01,4.56,4.65,4.49,4.62,6767264
2009-04-02,4.62,4.92,4.62,4.72,16956784
2009-04-06,4.75,4.8,4.45,4.62,14827868
2009-04-08,4.62,4.91,4.5,4.88,18978176
2009-04-09,4.94,5.15,4.85,5.09,18288096
2009-04-13,5.12,5.38,5.08,5.34,11834228
2009-04-15,5.19,5.82,5.06,5.72,20688952
2009-04-16,5.62,5.88,5.19,5.28,19548208
2009-04-17,5.28,5.54,5.12,5.19,10733696
2009-04-20,5.19,5.35,4.99,5.22,17249188
2009-04-21,5.22,5.26,5.02,5.19,6897372
2009-04-22,5.14,5.3,5.05,5.12,4955072
2009-04-23,5.2,5.88,5.0,5.72,25429460
2009-04-24,5.75,5.84,5.59,5.66,17724168
2009-04-27,5.62,5.69,5.25,5.28,10891612
2009-04-28,5.2,5.3,5.04,5.06,15552972
2009-04-29,5.12,5.45,5.06,5.34,16617728
2009-05-04,5.38,5.68,5.35,5.58,13455408
2009-05-05,5.56,5.7,5.4,5.5,12736940
2009-05-06,5.46,5.62,5.24,5.28,9488520
2009-05-07,5.25,5.55,5.25,5.32,11624384
2009-05-08,5.5,5.62,5.12,5.51,28045336
2009-05-11,5.5,5.6,5.19,5.24,19514632
2009-05-12,5.18,5.26,5.09,5.22,15608996
2009-05-13,5.26,5.5,5.22,5.34,12525800
2009-05-14,5.3,5.56,5.12,5.32,11675876
2009-05-15,5.38,5.56,5.32,5.49,16018884
2009-05-18,6.45,6.48,6.25,6.4,108188
2009-05-19,6.98,7.68,5.54,7.34,48462456
2009-05-20,7.26,8.0,7.0,7.86,25078448
2009-05-21,8.0,8.12,7.5,7.55,25260224
2009-05-22,7.5,7.92,7.4,7.8,22624068
2009-05-25,7.88,7.95,7.24,7.59,11534152
2009-05-26,7.62,7.62,6.91,7.09,14871224
2009-05-27,7.25,7.66,7.12,7.54,16551460
2009-05-28,7.56,7.62,7.25,7.49,13435380
2009-05-29,7.5,8.21,7.5,8.12,23764860
2009-06-01,8.12,8.54,8.05,8.48,21781292
2009-06-02,8.62,9.32,8.32,9.14,36409176
2009-06-03,9.32,9.49,8.88,9.08,29859680
2009-06-04,9.08,9.25,8.7,8.78,41551616
2009-06-05,8.88,9.58,8.88,9.08,44960444
2009-06-08,9.12,9.2,8.05,8.19,21788264
2009-06-09,7.51,8.45,7.4,8.36,29219444
2009-06-10,8.65,8.74,8.08,8.16,11087316
2009-06-11,8.25,8.36,7.78,8.16,11754200
