date,open,high,low,close,volume
2009-03-05,40.0,42.0,38.5,38.7,13716
2009-03-06,41.0,41.0,38.15,40.45,3312
2009-03-09,36.05,40.5,36.05,39.65,1881
2009-03-12,38.5,39.8,38.5,39.45,1822
2009-03-13,40.0,40.9,40.0,40.55,934
2009-03-16,40.5,40.9,39.3,40.45,3225
2009-03-17,40.05,41.95,40.05,41.6,2781
2009-03-18,40.0,42.5,40.0,41.95,2281
2009-03-19,41.5,42.45,41.0,41.25,2738
2009-03-20,41.2,42.5,40.55,41.05,1992
2009-03-23,38.1,42.75,38.1,42.2,2161
2009-03-24,42.0,43.75,41.25,41.3,10203
2009-03-25,42.1,43.0,41.0,41.7,2996
2009-03-26,41.75,42.75,41.75,42.65,1479
2009-03-27,41.5,44.0,41.0,41.85,7850
2009-03-30,41.3,43.5,41.3,42.8,1385
2009-03-31,42.5,43.9,42.5,43.85,408
2009-04-01,43.5,44.45,43.0,43.5,3750
2009-04-02,43.55,46.2,43.55,45.45,8578
2009-04-06,45.8,48.65,45.0,47.0,14646
2009-04-08,46.6,49.6,45.65,48.05,28903
2009-04-09,50.0,50.0,47.6,48.15,18747
2009-04-13,47.1,49.0,47.0,48.05,30210
2009-04-15,47.05,53.9,47.05,50.8,298115
2009-04-16,51.5,55.0,48.4,49.1,193219
2009-04-17,50.6,51.25,48.1,48.65,51739
2009-04-20,49.0,51.5,48.5,49.75,33767
2009-04-21,48.55,49.55,47.6,48.6,23568
2009-04-22,51.2,54.9,48.8,49.85,260252
2009-04-23,50.0,50.7,48.15,49.4,42189
2009-04-24,49.9,50.9,49.0,49.15,28187
2009-04-27,50.0,50.0,45.55,48.5,16453
2009-04-28,48.9,48.95,46.5,47.0,15483
2009-04-29,47.95,48.75,47.0,47.85,29410
2009-05-04,48.1,50.5,48.1,50.15,41023
2009-05-05,50.5,52.8,49.55,51.75,43723
2009-05-06,52.55,53.6,48.1,48.8,79445
2009-05-07,50.9,50.9,49.15,49.95,12667
2009-05-08,51.0,51.5,49.5,50.75,41078
2009-05-11,51.75,51.75,48.75,49.4,21969
2009-05-12,48.5,49.9,48.0,49.75,12745
2009-05-13,50.1,51.0,48.5,49.95,19989
2009-05-14,49.5,51.0,49.0,50.05,31500
2009-05-15,50.85,52.15,49.6,50.05,27959
2009-05-18,53.0,53.0,53.0,53.0,100
2009-05-19,54.0,55.0,50.0,53.25,108205
2009-05-20,52.5,58.0,52.5,55.55,142051
2009-05-21,56.85,60.0,54.55,55.45,208541
2009-05-22,55.55,58.3,54.25,56.2,165849
2009-05-25,58.45,61.75,57.5,60.25,240157
2009-05-26,62.0,64.0,59.0,59.7,149850
2009-05-27,63.0,63.5,61.0,61.7,62142
2009-05-28,62.0,66.25,62.0,64.1,160076
2009-05-29,65.35,69.9,65.35,66.95,297959
2009-06-01,67.8,72.0,62.5,70.4,815433
2009-06-02,71.0,71.7,65.9,66.75,211211
2009-06-03,67.5,69.5,66.2,66.65,159149
2009-06-04,66.9,68.8,65.5,67.35,119212
2009-06-05,69.0,69.6,65.0,65.5,90265
2009-06-08,66.0,66.75,61.6,62.4,124256
2009-06-09,62.95,65.35,61.2,64.15,110899
2009-06-10,66.0,67.85,64.4,65.0,90650
2009-06-11,66.5,67.0,61.0,62.1,148834
2009-06-12,63.5,63.5,61.05,61.4,61387
2009-06-15,61.5,62.35,59.65,60.2,52823
2009-06-16,58.6,71.0,58.6,69.8,840004
2009-06-17,70.05,70.05,62.0,63.0,321575
2009-06-18,63.1,64.85,61.0,62.95,177824
2009-06-19,64.4,66.75,63.0,65.0,128165
2009-06-22,65.5,71.0,64.5,65.95,408332
2009-06-23,64.75,67.0,64.35,66.05,110827
2009-06-24,66.05,69.4,66.05,67.85,129616
2009-06-25,67.6,68.5,66.5,67.15,74618
2009-06-26,68.3,68.5,67.0,67.65,105703
2009-06-29,66.5,66.5,64.1,64.5,64544
2009-06-30,65.0,65.5,61.1,61.45,45858
2009-07-01,62.0,62.75,60.55,61.5,32676
2009-07-02,61.8,65.25,61.3,62.45,151590
2009-07-03,62.0,63.7,61.5,63.0,46714
2009-07-06,63.0,63.95,60.0,60.15,45202
2009-07-07,60.65,61.75,58.6,59.95,41904
2009-07-08,56.3,59.25,56.3,57.55,33976
2009-07-09,57.2,58.0,56.05,56.75,33402
2009-07-10,56.35,58.9,56.0,56.65,21027
2009-07-13,56.0,56.5,54.05,54.95,18057
2009-07-14,55.35,60.0,55.35,57.0,46990
2009-07-15,58.5,59.6,57.25,58.75,26587
2009-07-16,58.7,61.0,58.7,59.5,40471
2009-07-17,59.05,61.75,59.0,60.65,23620
2009-07-20,59.05,62.0,59.05,60.65,35623
2009-07-21,59.0,60.9,59.0,59.9,25777
2009-07-22,60.35,61.5,59.6,59.85,21779
2009-07-23,60.15,61.0,60.0,60.6,9293
2009-07-24,60.5,67.5,60.0,65.9,208504
2009-07-27,66.15,66.55,63.25,65.3,69094
2009-07-28,66.9,66.95,64.5,64.75,24454
2009-07-29,64.05,65.85,63.0,63.75,35485
2009-07-30,65.0,65.5,64.0,65.1,23094
2009-07-31,65.5,66.5,63.8,64.1,52619
2009-08-03,64.0,68.75,64.0,66.55,111634
2009-08-04,67.6,67.95,65.6,66.65,50598
2009-08-05,66.9,67.95,66.15,67.45,34150
2009-08-06,66.3,69.5,65.55,66.15,80193
2009-08-07,66.0,67.55,64.85,65.05,31317
2009-08-10,67.0,69.0,63.85,64.85,250839
2009-08-11,65.0,66.75,64.45,65.6,22733
2009-08-12,62.5,65.8,58.05,64.0,35065
2009-08-13,65.5,67.8,64.95,65.85,60261
2009-08-14,65.7,67.35,65.2,66.1,46583
2009-08-17,64.05,66.75,64.0,64.45,28544
2009-08-18,63.0,68.5,63.0,66.1,51109
2009-08-19,66.0,67.5,63.25,64.15,21147
2009-08-20,65.9,66.0,64.25,64.7,10973
2009-08-21,65.0,66.25,64.05,65.5,14535
2009-08-24,66.25,67.1,66.0,66.35,33132
2009-08-25,66.95,76.4,66.15,70.35,397806
2009-08-26,71.05,73.0,69.9,70.85,90169
2009-08-27,70.0,81.0,70.0,76.85,629385
2009-08-28,78.0,79.0,75.55,76.5,231342
2009-08-31,76.3,77.25,74.5,75.05,61668
2009-09-01,75.1,77.35,72.3,72.85,78104
2009-09-02,72.1,73.5,71.1,71.75,36929
2009-09-03,72.1,79.2,71.5,75.65,542756
2009-09-04,76.85,79.65,75.5,76.95,256062
2009-09-07,79.0,84.7,77.25,82.1,461787
