date,open,high,low,close,volume
2009-03-05,14.6,15.27,14.05,14.52,39330
2009-03-06,14.98,14.98,13.63,14.23,2309770
2009-03-09,14.1,14.89,14.04,14.81,182150
2009-03-12,14.7,15.18,14.4,14.6,34410
2009-03-13,14.31,15.4,14.31,14.48,766010
2009-03-16,14.98,15.0,14.36,14.87,79610
2009-03-17,14.7,15.0,14.48,14.51,238610
2009-03-18,14.56,15.2,14.56,14.83,131070
2009-03-19,14.61,15.78,14.61,15.1,245310
2009-03-20,14.81,15.4,14.81,15.18,43760
2009-03-23,15.0,16.7,15.0,15.99,275560
2009-03-24,16.65,16.7,16.01,16.46,171890
2009-03-25,16.32,16.5,16.0,16.36,82360
2009-03-26,16.32,17.09,16.22,16.88,102890
2009-03-27,16.5,17.5,16.5,16.95,81720
2009-03-30,16.98,16.98,15.9,16.08,638700
2009-03-31,16.58,17.1,16.1,16.91,137050
2009-04-01,16.8,18.2,16.55,17.91,135530
2009-04-02,18.5,18.8,17.23,17.84,178180
2009-04-06,17.92,18.99,17.92,18.79,229380
2009-04-08,17.58,19.5,17.58,19.13,317080
2009-04-09,19.09,19.6,18.32,18.92,155200
2009-04-13,18.2,19.9,18.2,18.75,92530
2009-04-15,18.8,19.0,18.25,18.89,98820
2009-04-16,19.55,20.09,19.1,19.56,203660
2009-04-17,19.99,20.0,19.49,19.94,170900
2009-04-20,20.0,21.93,19.83,21.7,727970
2009-04-21,21.5,23.33,20.14,22.45,757820
2009-04-22,22.8,24.0,21.7,23.48,513360
2009-04-23,23.5,24.0,22.9,23.33,294300
2009-04-24,23.21,24.0,22.25,23.78,117820
2009-04-27,23.5,23.89,22.9,23.1,48930
2009-04-28,22.88,22.95,22.1,22.36,53820
2009-04-29,22.6,23.3,21.31,21.82,64320
2009-05-04,22.91,22.92,22.13,22.92,104190
2009-05-05,23.0,23.98,22.23,23.01,1051590
2009-05-06,23.01,23.01,22.3,22.56,77630
2009-05-07,22.5,23.69,22.0,23.56,376400
2009-05-08,23.7,24.69,23.7,24.51,451940
