date,open,high,low,close,volume
2009-03-05,216.0,220.9,210.25,213.7,20165
2009-03-06,212.1,217.0,212.1,215.65,11890
2009-03-09,215.65,218.8,211.25,213.6,8903
2009-03-12,222.85,222.85,215.15,220.15,4037
2009-03-13,229.85,229.85,219.0,222.65,17353
2009-03-16,222.65,235.0,220.0,233.6,21875
2009-03-17,237.8,244.75,231.15,239.3,37532
2009-03-18,239.3,246.0,237.0,241.75,11807
2009-03-19,245.95,247.65,244.0,244.75,8704
2009-03-20,249.0,256.0,245.05,250.8,20202
2009-03-23,250.6,299.9,250.6,285.85,135413
2009-03-24,288.0,309.0,286.0,288.9,104257
2009-03-25,289.0,307.0,287.0,303.95,70425
2009-03-26,304.0,340.5,304.0,318.25,58008
2009-03-27,326.0,329.85,310.5,315.95,34403
2009-03-30,310.0,314.85,287.05,289.1,9324
2009-03-31,298.0,305.0,278.3,297.9,121947
2009-04-01,300.0,300.0,292.15,297.05,58559
2009-04-02,300.0,310.0,296.1,298.1,52334
2009-04-06,302.0,355.0,296.75,300.75,44714
2009-04-08,306.0,314.0,290.15,310.3,42156
2009-04-09,310.0,320.9,302.7,315.9,66031
2009-04-13,317.0,320.0,310.0,318.8,17534
2009-04-15,317.0,322.0,315.0,318.7,92982
2009-04-16,319.0,330.0,297.0,311.0,28356
2009-04-17,307.0,320.0,307.0,315.05,30039
2009-04-20,315.15,347.8,312.15,329.65,26478
2009-04-21,320.5,353.8,320.5,350.6,63269
2009-04-22,340.0,432.65,340.0,416.3,457461
2009-04-23,424.8,426.0,367.95,374.55,150960
2009-04-24,376.0,386.9,360.0,365.85,63621
2009-04-27,361.1,389.85,361.1,366.5,39081
2009-04-28,368.0,370.0,342.25,345.9,18687
2009-04-29,355.9,357.65,335.95,339.5,31664
2009-05-04,350.0,387.5,343.25,355.2,86651
2009-05-05,353.0,374.95,351.5,368.4,39221
2009-05-06,360.1,378.0,360.1,367.6,20150
2009-05-07,374.5,377.0,361.0,365.6,20805
2009-05-08,365.6,377.0,362.0,369.3,20554
2009-05-11,370.0,372.7,355.0,363.9,8237
2009-05-12,353.0,362.0,353.0,356.25,19316
2009-05-13,356.0,364.0,348.0,353.0,20918
2009-05-14,353.0,374.8,348.0,363.65,28880
2009-05-15,365.0,379.0,363.0,366.7,31998
2009-05-18,398.0,398.0,398.0,398.0,35
2009-05-19,400.0,425.0,365.1,383.3,61871
2009-05-20,387.0,405.0,376.0,394.8,40733
2009-05-21,395.0,407.0,388.0,397.0,104936
2009-05-22,393.0,408.0,384.05,399.85,58662
2009-05-25,396.0,404.9,381.2,388.1,50944
2009-05-26,390.0,393.9,367.0,373.95,48528
2009-05-27,362.25,384.0,362.25,372.9,37165
2009-05-28,380.0,385.0,365.0,368.9,69652
2009-05-29,372.0,403.9,362.0,364.45,169319
2009-06-01,376.0,408.0,376.0,404.3,248827
2009-06-02,408.5,457.0,408.5,453.25,324397
2009-06-03,465.0,502.0,432.1,440.25,512063
2009-06-04,440.0,490.0,440.0,447.35,445374
2009-06-05,450.0,469.0,436.25,445.5,279099
2009-06-08,438.0,458.4,425.0,431.95,108709
2009-06-09,413.0,459.0,412.0,452.2,122948
2009-06-10,454.9,467.95,450.0,460.8,198120
2009-06-11,461.0,480.0,455.6,470.65,206476
2009-06-12,475.0,479.95,438.3,461.45,117743
2009-06-15,460.0,460.0,437.05,442.45,25770
2009-06-16,430.25,444.0,422.3,439.1,25973
2009-06-17,443.85,443.85,408.85,411.95,44517
2009-06-18,419.0,420.0,360.0,388.95,936822
2009-06-19,401.0,407.85,383.0,390.15,79543
2009-06-22,392.1,403.95,368.0,371.95,68195
2009-06-23,354.0,370.0,351.2,359.75,170798
2009-06-24,359.0,388.0,345.3,355.5,161422
2009-06-25,359.9,370.0,358.0,362.2,122401
2009-06-26,365.0,365.0,360.05,362.9,78558
2009-06-29,363.0,368.65,359.05,364.15,208063
2009-06-30,369.0,374.0,361.0,366.3,342465
2009-07-01,361.4,409.3,360.1,402.0,239746
2009-07-02,402.0,418.95,381.0,415.2,368962
2009-07-03,420.95,436.0,410.0,414.35,209430
2009-07-06,420.5,427.0,393.0,400.5,96260
2009-07-07,400.5,400.5,375.15,380.05,281008
2009-07-08,380.0,383.95,366.7,375.15,45971
2009-07-09,375.0,375.0,364.1,367.9,116616
2009-07-10,370.0,386.0,363.05,369.1,112754
2009-07-13,364.0,373.0,351.0,363.1,90435
2009-07-14,371.0,381.0,370.0,374.35,47209
2009-07-15,380.0,390.0,376.0,384.1,73555
2009-07-16,395.0,406.0,390.05,401.15,96031
2009-07-17,431.1,474.95,411.45,428.2,167113
2009-07-20,439.4,452.85,434.05,439.7,157132
2009-07-21,436.05,448.0,428.0,435.2,185519
2009-07-22,438.8,445.0,420.0,427.05,129542
2009-07-23,426.0,439.25,421.1,426.3,63991
2009-07-24,428.0,438.4,428.0,430.9,101439
2009-07-27,435.0,447.95,433.05,435.9,88452
2009-07-28,439.9,442.0,434.0,436.3,42806
2009-07-29,433.05,442.0,425.2,434.85,57521
2009-07-30,426.25,446.9,426.25,444.05,51296
2009-07-31,445.0,476.8,442.5,468.7,128102
2009-08-03,470.0,526.8,466.0,499.25,248995
2009-08-04,502.0,507.0,465.0,500.7,55168
2009-08-05,500.0,504.8,480.0,489.85,74017
2009-08-06,476.15,490.0,462.25,471.3,33897
2009-08-07,456.6,470.0,445.0,449.85,43944
2009-08-10,456.0,463.85,432.25,453.5,72554
2009-08-11,457.0,458.8,438.1,441.1,31905
2009-08-12,437.15,458.8,435.85,449.05,40754
2009-08-13,459.0,465.0,453.05,458.25,85779
2009-08-14,462.0,462.0,439.3,441.4,43805
2009-08-17,441.0,478.6,432.0,456.8,224039
2009-08-18,464.0,464.5,449.05,450.3,64483
2009-08-19,457.85,457.85,446.0,447.6,29341
2009-08-20,449.5,454.0,442.5,446.35,36621
2009-08-21,448.0,470.0,445.05,467.8,172120
2009-08-24,470.15,478.95,455.15,466.55,51642
2009-08-25,466.55,479.0,457.2,471.6,35102
2009-08-26,474.0,479.7,470.25,476.7,16681
2009-08-27,479.9,479.9,463.95,467.4,32548
2009-08-28,463.25,476.5,463.25,470.95,15079
2009-08-31,470.95,475.0,465.0,469.35,16792
2009-09-01,474.0,475.0,463.0,464.9,22728
2009-09-02,466.0,466.0,453.0,462.95,6371
2009-09-03,477.0,477.5,455.2,469.4,17833
2009-09-04,470.25,475.1,466.5,472.2,10922
2009-09-07,474.0,491.5,470.05,487.45,44674
2009-09-08,495.0,495.0,483.05,485.25,21521
2009-09-09,486.0,488.95,478.0,481.4,10016
2009-09-10,480.0,491.45,480.0,488.75,22681
2009-09-11,485.25,491.45,474.1,478.5,29982
2009-09-14,474.0,479.7,467.05,468.7,24366
2009-09-15,471.3,488.8,471.3,478.9,29966
2009-09-16,485.0,489.0,470.1,473.25,44956
2009-09-17,478.95,484.85,471.0,473.35,33886
2009-09-18,482.9,485.0,472.0,476.95,400455
2009-09-22,480.0,513.85,475.0,487.4,403992
2009-09-23,495.0,508.95,481.0,485.15,603690
2009-09-24,483.0,509.95,480.0,502.45,167587
2009-09-25,500.0,510.0,492.0,498.4,167823
2009-09-29,510.0,518.0,501.0,504.6,52595
2009-09-30,510.0,515.0,505.0,511.7,60075
2009-10-01,510.0,568.85,507.7,539.65,229969
2009-10-05,531.35,560.0,523.2,528.5,83838
2009-10-06,532.0,542.0,514.0,518.8,64574
2009-10-07,518.0,537.6,515.0,519.0,86188
2009-10-08,517.0,529.2,511.0,515.05,48295
2009-10-09,518.1,538.0,511.05,517.35,133572
2009-10-12,528.0,535.0,507.7,517.75,102626
2009-10-14,522.0,533.8,513.05,520.4,320598
2009-10-15,527.4,542.0,515.5,520.25,206257
2009-10-16,535.0,553.95,528.15,532.85,468235
2009-10-17,544.4,554.4,536.0,545.85,78364
2009-10-20,547.5,551.8,535.0,538.3,64060
2009-10-21,535.0,543.0,530.3,531.5,37791
2009-10-22,530.0,535.0,518.0,522.05,37003
2009-10-23,528.0,529.9,518.5,520.4,25907
2009-10-26,525.9,525.9,511.2,513.4,39556
2009-10-27,510.0,516.75,486.35,490.95,51315
2009-10-28,487.0,508.0,482.45,501.0,32344
2009-10-29,497.0,500.0,486.0,492.15,46362
2009-10-30,520.0,590.0,482.4,486.9,53321
2009-11-03,486.9,495.0,463.0,465.4,43800
2009-11-04,470.0,487.4,468.05,481.1,37302
2009-11-05,481.1,497.0,478.0,490.1,78009
2009-11-06,498.85,504.95,492.0,494.3,21658
2009-11-09,489.0,504.0,489.0,500.1,15986
2009-11-10,501.25,518.0,497.0,508.45,80384
2009-11-11,507.0,515.0,500.0,506.55,26057
2009-11-12,506.55,509.85,496.1,500.65,14949
2009-11-13,504.4,505.85,497.0,498.65,12272
2009-11-16,500.0,504.8,494.9,495.85,34259
2009-11-17,507.0,507.0,496.0,503.7,28598
2009-11-18,505.0,505.0,497.0,498.5,20033
