date,open,high,low,close,volume
2009-03-05,0.55,0.55,0.5,0.5,87400
2009-03-06,0.5,0.55,0.5,0.5,493300
2009-03-09,0.5,0.5,0.45,0.5,595500
2009-03-12,0.45,0.5,0.45,0.5,571000
2009-03-13,0.5,0.5,0.5,0.5,227000
2009-03-16,0.5,0.55,0.5,0.5,1913700
2009-03-17,0.5,0.55,0.5,0.55,745700
2009-03-18,0.5,0.55,0.5,0.55,3024000
2009-03-19,0.55,0.6,0.5,0.55,1090600
2009-03-20,0.55,0.6,0.55,0.6,718800
2009-03-23,0.6,0.7,0.6,0.7,4752300
2009-03-24,0.75,0.85,0.7,0.75,14627800
2009-03-25,0.75,0.85,0.75,0.75,3369700
2009-03-26,0.75,0.75,0.65,0.7,1719500
2009-03-27,0.7,0.7,0.7,0.7,2405000
2009-03-30,0.65,0.7,0.65,0.65,923800
2009-03-31,0.65,0.7,0.65,0.7,2187700
2009-04-01,0.7,0.75,0.7,0.7,630100
2009-04-02,0.7,0.8,0.7,0.75,2440800
2009-04-06,0.75,0.8,0.75,0.75,424800
2009-04-08,0.7,0.85,0.7,0.8,876700
2009-04-09,0.8,0.8,0.75,0.8,440300
2009-04-13,0.85,0.85,0.8,0.8,949800
2009-04-15,0.8,0.95,0.8,0.9,2407500
2009-04-16,1.0,1.0,0.85,0.85,1331600
2009-04-17,0.85,0.95,0.85,0.85,13170500
2009-04-20,0.8,0.85,0.8,0.85,629000
2009-04-21,0.8,0.95,0.8,0.9,1069800
2009-04-22,0.95,0.95,0.9,0.9,541200
2009-04-23,0.85,0.95,0.85,0.9,2992200
2009-04-24,0.9,0.95,0.9,0.95,1053300
2009-04-27,0.9,0.95,0.9,0.95,193700
2009-04-28,0.95,0.95,0.9,0.95,342500
2009-04-29,0.9,0.95,0.9,0.9,589700
2009-05-04,0.95,1.0,0.9,0.95,804300
2009-05-05,0.9,1.05,0.9,0.95,2592700
2009-05-06,0.95,1.0,0.95,0.95,567400
2009-05-07,1.0,1.0,0.95,0.95,498200
2009-05-08,0.95,1.0,0.9,0.95,418100
2009-05-11,0.95,0.95,0.9,0.9,682700
2009-05-12,0.9,0.95,0.9,0.95,432800
2009-05-13,0.95,0.95,0.9,0.9,523100
2009-05-14,0.9,0.95,0.9,0.95,904800
2009-05-15,1.0,1.0,0.9,0.95,472200
2009-05-19,1.0,1.1,0.95,1.1,3341100
2009-05-20,1.2,1.3,1.2,1.25,11321000
2009-05-21,1.35,1.35,1.25,1.3,4869800
2009-05-22,1.25,1.35,1.25,1.3,1971700
2009-05-25,1.35,1.35,1.25,1.3,1304000
2009-05-26,1.3,1.3,1.2,1.2,655300
2009-05-27,1.25,1.35,1.25,1.25,1812900
2009-05-28,1.3,1.3,1.25,1.25,954000
2009-05-29,1.3,1.4,1.25,1.4,4375000
2009-06-01,1.5,1.55,1.45,1.55,4804800
2009-06-02,1.65,1.7,1.65,1.7,1504600
2009-06-03,1.75,1.75,1.75,1.75,2031000
2009-06-04,1.85,1.85,1.7,1.75,4450000
2009-06-05,1.75,1.8,1.65,1.8,57876500
2009-06-08,1.85,1.85,1.7,1.75,17116500
2009-06-09,1.75,1.75,1.7,1.7,6201100
2009-06-10,1.75,1.75,1.6,1.65,1261500
2009-06-11,1.65,1.65,1.55,1.6,2962600
2009-06-12,1.6,1.6,1.5,1.55,1526900
2009-06-15,1.55,1.6,1.55,1.6,3377800
2009-06-16,1.55,1.65,1.55,1.6,5409000
2009-06-17,1.65,1.65,1.6,1.6,1880800
2009-06-18,1.6,1.6,1.55,1.6,3438200
2009-06-19,1.6,1.6,1.5,1.55,873400
2009-06-22,1.5,1.6,1.5,1.55,744900
2009-06-23,1.6,1.6,1.5,1.5,26165100
2009-06-24,1.55,1.55,1.5,1.55,1376900
2009-06-25,1.55,1.6,1.55,1.55,581700
2009-06-26,1.6,1.6,1.55,1.55,317400
2009-06-29,1.6,1.6,1.55,1.55,432800
2009-06-30,1.55,1.55,1.5,1.55,197800
2009-07-01,1.5,1.6,1.45,1.6,1620200
