date,open,high,low,close,volume
2009-03-06,12.0,13.18,12.0,12.6,951930
2009-03-09,12.0,12.32,12.0,12.32,950650
2009-03-12,12.0,13.3,12.0,12.86,955940
2009-03-13,13.0,13.0,12.0,12.18,917190
2009-03-16,12.3,12.6,12.0,12.51,349250
2009-03-17,12.23,12.74,12.23,12.65,330
2009-03-18,12.15,12.93,12.15,12.52,1640
2009-03-19,12.5,12.9,12.5,12.9,190
2009-03-20,13.54,14.98,13.2,13.69,5560
2009-03-23,13.74,14.71,13.74,14.7,6050
2009-03-24,14.95,15.0,14.4,14.4,100
2009-03-25,14.11,14.3,13.9,14.0,4120
2009-03-26,14.0,14.21,13.51,13.75,5720
2009-03-27,15.0,15.0,13.4,13.52,4200
2009-03-30,13.99,14.45,12.86,13.0,7280
2009-03-31,13.01,14.85,12.51,13.59,31810
2009-04-01,13.74,14.98,13.65,14.87,6220
2009-04-02,15.2,15.7,15.2,15.38,1300
2009-04-06,16.69,17.31,16.34,16.69,2490
2009-04-08,16.7,17.47,16.7,17.16,6730
2009-04-09,17.8,18.0,15.45,15.7,10610
2009-04-13,15.76,16.5,15.7,16.4,7060
2009-04-15,17.0,18.48,15.94,18.19,8820
2009-04-16,17.8,18.6,16.61,17.38,4520
2009-04-17,18.38,18.38,17.21,17.31,990
2009-04-20,17.36,18.1,16.7,17.4,3860
2009-04-21,16.49,17.75,16.49,17.39,1100
2009-04-22,17.75,17.75,16.61,17.28,4200
2009-04-23,16.5,17.83,16.5,17.5,880
2009-04-24,17.5,17.5,17.1,17.1,1350
2009-04-27,17.1,17.79,17.1,17.6,2970
2009-04-28,17.61,17.61,17.2,17.5,1990
2009-04-29,17.7,18.89,17.7,18.41,1160
2009-05-04,17.83,19.49,17.82,19.16,12400
2009-05-05,19.0,19.2,18.75,18.9,15210
2009-05-06,19.09,20.0,18.81,19.0,9430
2009-05-07,17.81,19.8,17.81,19.61,28260
2009-05-08,19.6,19.7,19.2,19.5,1830
2009-05-11,19.0,19.2,18.52,18.99,3750
2009-05-12,19.7,19.89,18.7,19.56,24620
2009-05-13,19.59,19.59,18.51,18.51,159200
2009-05-14,19.0,19.8,18.15,19.76,11080
2009-05-15,20.0,20.49,19.6,20.03,11370
2009-05-19,21.0,23.78,21.0,21.8,18880
2009-05-20,23.5,24.9,21.0,23.99,10290
2009-05-21,24.0,28.7,24.0,26.78,31980
2009-05-22,28.5,28.99,26.5,27.03,27000
2009-05-25,29.95,32.44,28.6,32.22,51690
2009-05-26,34.55,35.4,30.51,31.51,23500
2009-05-27,32.5,34.0,31.5,31.68,15140
2009-05-28,32.01,32.99,31.2,31.85,6340
2009-05-29,31.88,32.4,31.5,31.99,2900
2009-06-01,31.99,32.4,29.0,31.58,9690
2009-06-02,32.0,33.1,30.26,31.62,34730
2009-06-03,31.6,34.0,31.6,32.53,10180
2009-06-04,32.6,33.0,32.5,32.64,4870
2009-06-05,31.66,33.0,31.0,31.83,18610
2009-06-08,32.9,32.9,30.86,31.0,81870
2009-06-09,31.2,31.99,30.75,31.0,114290
2009-06-10,30.9,32.9,29.5,32.03,25100
2009-06-11,32.71,32.9,29.85,30.56,6610
2009-06-12,31.3,31.9,30.01,30.01,6720
2009-06-15,28.22,31.0,28.22,28.93,1610
2009-06-16,28.9,29.8,27.5,29.68,7790
2009-06-17,30.0,31.6,29.0,29.41,2260
2009-06-18,28.0,28.0,27.0,27.45,5040
2009-06-19,26.6,27.8,26.0,27.0,3920
2009-06-22,27.0,29.0,27.0,28.4,1610
2009-06-23,26.17,27.0,25.74,27.0,2990
2009-06-24,28.27,28.27,27.3,27.58,1160
2009-06-25,29.7,29.7,27.25,28.0,2530
2009-06-26,28.5,28.5,28.5,28.5,1410
2009-06-29,28.5,28.5,27.6,28.38,950
2009-06-30,27.5,28.73,27.5,27.61,13640
2009-07-01,27.0,28.0,25.7,27.8,8820
