date,open,high,low,close,volume
2009-03-05,43.0,43.72,41.55,42.47,147062
2009-03-06,41.88,43.5,41.33,42.6,231934
2009-03-09,42.47,42.6,41.5,41.7,34544
2009-03-12,42.45,44.25,42.0,43.35,291730
2009-03-13,43.5,43.5,42.4,42.8,106820
2009-03-16,43.33,47.5,43.33,46.83,614472
2009-03-17,45.0,48.0,44.5,45.95,225052
2009-03-18,46.42,46.92,45.3,45.47,135042
2009-03-19,45.25,50.25,44.08,48.78,847978
2009-03-20,50.0,54.7,50.0,53.78,2008036
2009-03-23,55.0,55.92,52.53,54.1,892688
2009-03-24,54.95,56.47,52.5,52.97,621620
2009-03-25,52.97,53.83,51.7,53.15,261634
2009-03-26,53.65,54.85,50.78,51.97,339744
2009-03-27,52.95,53.67,51.58,51.97,194196
2009-03-30,51.5,52.17,47.63,50.92,377502
2009-03-31,52.0,54.0,51.5,51.97,283544
2009-04-01,52.35,58.4,51.3,56.67,809032
2009-04-02,58.45,59.72,55.9,57.47,650130
2009-04-06,58.9,61.5,57.7,58.5,450006
2009-04-08,58.9,60.0,55.0,58.72,295822
2009-04-09,59.15,60.5,56.0,57.47,294154
2009-04-13,59.0,59.25,57.25,57.97,226272
2009-04-15,57.5,63.95,57.1,62.05,991712
2009-04-16,63.0,65.0,58.1,59.22,1027122
2009-04-17,59.92,62.7,57.05,57.65,577452
2009-04-20,58.45,59.75,56.75,57.72,297212
2009-04-21,56.5,65.8,56.5,64.1,1436356
2009-04-22,65.5,66.0,51.3,60.08,859432
2009-04-23,60.5,62.5,57.0,57.92,1093486
2009-04-24,58.92,59.75,58.0,59.42,376020
2009-04-27,59.0,63.5,58.3,62.63,595288
2009-04-28,62.5,63.42,58.5,59.13,410092
2009-04-29,59.65,64.55,59.65,62.17,1030232
2009-05-04,62.17,63.5,60.5,62.15,321534
2009-05-05,66.0,66.0,61.28,61.7,589802
2009-05-06,62.5,62.83,60.0,60.5,236562
2009-05-07,60.53,62.25,55.8,56.9,914902
2009-05-08,57.9,59.2,56.5,57.35,594348
2009-05-11,59.9,61.0,58.03,58.63,848762
2009-05-12,58.5,63.47,58.05,61.42,1467782
2009-05-13,62.45,63.38,59.3,59.83,576814
2009-05-14,59.5,61.95,56.5,60.55,690498
2009-05-15,60.3,62.2,59.5,59.97,179852
2009-05-18,64.5,65.0,64.45,64.75,2426
2009-05-19,70.0,72.15,58.15,69.65,1216966
2009-05-20,71.0,74.95,69.8,74.45,497296
2009-05-21,74.45,76.0,68.03,69.25,254672
2009-05-22,68.18,73.95,68.18,72.22,291304
2009-05-25,74.5,79.0,72.0,76.2,311462
2009-05-26,77.5,82.3,67.05,68.95,889608
2009-05-27,72.88,76.1,71.32,72.43,562598
2009-05-28,73.4,74.25,71.28,72.3,297660
2009-05-29,73.85,76.0,72.28,74.35,309932
2009-06-01,77.5,78.7,75.0,76.45,402564
2009-06-02,76.0,77.95,71.63,73.2,494116
2009-06-03,74.68,76.75,72.75,73.18,622132
2009-06-04,73.25,80.9,72.5,79.68,1521184
2009-06-05,79.75,81.5,75.7,76.35,632738
2009-06-08,76.5,78.0,72.65,73.18,255498
2009-06-09,76.32,79.47,71.53,77.18,379864
2009-06-10,74.0,83.4,74.0,81.53,984862
2009-06-11,84.5,89.9,83.05,84.53,4245402
2009-06-12,84.0,86.5,79.18,80.65,609214
2009-06-15,82.4,88.63,81.55,82.35,1399708
2009-06-16,81.5,84.63,80.0,82.65,527602
2009-06-17,82.45,83.85,76.3,77.88,358220
2009-06-18,78.5,79.7,72.5,73.47,258822
2009-06-19,71.0,76.5,71.0,74.07,233404
2009-06-22,75.45,77.47,73.53,74.82,315446
2009-06-23,73.55,73.97,71.0,72.97,221802
2009-06-24,74.85,75.47,73.25,74.07,157450
2009-06-25,74.45,76.5,71.07,72.1,377726
2009-06-26,73.5,74.2,71.5,73.6,243746
2009-06-29,74.0,75.7,73.0,74.72,320734
2009-06-30,75.45,77.7,72.5,73.2,278410
2009-07-01,75.2,77.5,74.05,76.75,490190
2009-07-02,78.0,79.35,75.0,75.63,402184
2009-07-03,75.63,77.45,74.5,75.72,157888
2009-07-06,75.85,77.38,68.0,74.1,285452
2009-07-07,74.35,77.13,73.5,76.55,238742
2009-07-08,74.28,75.4,72.07,74.03,140112
2009-07-09,74.47,75.5,73.53,75.0,117500
2009-07-10,75.0,75.47,71.28,72.38,70322
2009-07-13,72.5,72.5,70.03,71.63,104128
2009-07-14,72.78,77.0,72.0,76.38,150344
2009-07-15,76.75,77.4,74.57,74.97,193532
2009-07-16,77.4,77.4,74.9,75.5,180310
2009-07-17,75.95,76.9,74.63,75.18,246030
2009-07-20,76.25,78.25,75.78,76.4,219602
2009-07-21,77.18,80.95,75.68,79.32,755284
2009-07-22,81.53,84.97,81.13,83.2,1032824
2009-07-23,84.95,86.5,84.38,85.35,861198
2009-07-24,86.25,87.4,83.57,85.13,301304
2009-07-27,86.0,86.35,83.0,83.65,137916
2009-07-28,84.4,86.32,83.0,85.53,217418
2009-07-29,85.7,85.75,82.0,82.7,104182
2009-07-30,83.5,85.25,83.03,83.75,76042
2009-07-31,84.75,85.3,83.55,83.85,81544
2009-08-03,84.97,87.0,84.85,85.95,209550
2009-08-04,86.05,89.0,84.18,85.0,544874
2009-08-05,85.82,86.47,83.75,84.18,99052
2009-08-06,84.25,85.0,80.07,81.13,344042
2009-08-07,81.5,82.0,78.5,79.03,150200
2009-08-10,79.05,83.5,77.3,78.35,153052
2009-08-11,78.0,80.25,77.5,78.53,106428
2009-08-12,77.7,78.5,76.1,77.75,68936
2009-08-13,78.85,81.7,78.85,80.97,128146
2009-08-14,81.25,82.0,80.03,80.85,92548
2009-08-17,80.75,80.75,77.15,77.75,70542
2009-08-18,78.5,81.0,77.55,79.55,72128
2009-08-19,80.0,80.45,76.5,77.18,89162
2009-08-20,78.47,78.97,77.78,78.07,45480
