date,open,high,low,close,volume
2010-01-08,538.0,572.0,535.0,555.8,9286
2010-01-11,558.95,571.0,545.1,555.75,59841
2010-01-12,556.0,564.0,541.15,543.5,6180
2010-01-13,546.0,550.0,541.0,544.25,2487
2010-01-14,549.0,560.0,545.1,555.45,9078
2010-01-15,549.5,572.0,541.2,562.7,21057
2010-01-18,574.0,600.0,562.7,576.05,22052
2010-01-19,597.9,597.9,560.0,574.75,18238
2010-01-20,580.0,595.0,575.0,577.5,22403
2010-01-21,575.0,584.0,555.0,559.2,22590
2010-01-22,549.9,562.0,530.15,543.25,13994
2010-01-25,515.0,550.0,515.0,539.1,17146
2010-01-27,540.0,544.95,533.0,537.1,19279
2010-01-28,640.0,640.0,532.0,535.8,5837
2010-01-29,534.0,541.4,511.0,538.95,5094
2010-02-01,530.6,554.9,530.6,545.3,6666
2010-02-02,559.8,569.0,544.05,559.45,12666
2010-02-03,575.2,575.2,548.0,558.05,4412
2010-02-04,570.0,570.0,536.5,542.9,4339
2010-02-05,516.5,547.5,516.0,537.95,3048
2010-02-06,559.8,559.8,533.55,539.35,320
2010-02-08,542.0,574.0,537.05,559.1,12741
2010-02-09,555.0,562.95,550.0,557.05,5712
2010-02-10,553.1,564.0,546.05,550.25,5478
2010-02-11,551.55,559.95,548.05,552.75,1476
2010-02-15,555.0,558.75,530.35,541.35,2393
2010-02-16,550.0,563.0,550.0,558.85,2759
2010-02-17,566.0,588.35,560.0,573.65,14740
2010-02-18,594.75,595.0,580.25,591.75,16779
2010-02-19,595.0,595.0,580.0,586.6,8192
2010-02-22,590.1,606.85,580.0,587.1,9270
2010-02-23,595.0,595.0,581.6,586.25,3713
2010-02-24,589.95,591.95,583.35,585.7,4498
2010-02-25,593.5,595.0,585.0,593.55,12324
2010-02-26,595.0,599.0,589.95,590.0,7940
2010-03-02,561.05,615.0,561.05,606.65,17018
2010-03-03,610.7,613.85,596.1,609.6,5470
2010-03-04,610.0,610.0,591.5,603.05,4919
2010-03-05,605.0,621.5,605.0,614.35,11156
2010-03-08,623.0,639.75,616.0,635.0,12790
2010-03-09,641.7,691.0,635.5,676.8,59987
2010-03-10,652.0,680.0,652.0,662.8,7691
2010-03-11,650.0,670.0,650.0,659.65,4616
2010-03-12,670.0,674.45,650.1,658.05,3671
2010-03-15,662.0,662.0,650.1,653.8,4006
2010-03-16,659.8,659.8,635.25,641.65,4030
2010-03-17,641.0,649.8,638.0,646.3,4093
2010-03-18,648.0,648.0,615.25,626.85,3111
2010-03-19,621.05,641.05,621.0,626.75,6082
2010-03-22,616.0,623.9,592.65,618.7,26137
2010-03-23,618.7,622.95,606.5,612.3,5346
2010-03-25,606.5,620.0,605.0,606.0,5560
2010-03-26,607.3,619.9,605.0,613.05,14019
2010-03-29,615.0,618.85,591.0,606.75,12143
