date,open,high,low,close,volume
2009-03-05,110.9,112.85,108.5,109.75,1488
2009-03-06,105.0,111.0,105.0,106.6,64
2009-03-09,102.0,114.8,100.5,104.6,476
2009-03-12,102.5,112.0,100.0,108.0,114
2009-03-13,105.0,105.0,104.0,104.0,20
2009-03-16,99.0,112.0,99.0,107.3,254
2009-03-17,102.3,113.0,102.25,112.0,394
2009-03-18,107.15,117.0,107.15,108.7,1107
2009-03-19,116.0,116.0,108.1,115.45,95
2009-03-20,106.05,120.0,106.05,116.0,211
2009-03-23,120.7,127.0,120.0,124.4,600
2009-03-24,119.0,130.0,113.15,120.0,946
2009-03-25,110.1,124.95,110.1,115.35,610
2009-03-26,115.0,126.9,115.0,126.9,5297
2009-03-27,138.5,138.5,129.1,134.4,413
2009-03-30,137.85,137.85,126.65,126.65,85
2009-03-31,121.0,139.35,121.0,135.6,801
2009-04-01,138.0,149.0,131.2,143.05,416
2009-04-02,140.0,152.0,140.0,148.8,377
2009-04-06,155.5,156.25,152.1,156.25,1036
2009-04-08,164.1,164.1,164.1,164.1,365
2009-04-09,172.35,172.35,172.35,172.35,2586
2009-04-13,181.0,181.0,181.0,181.0,2378
2009-04-15,187.9,190.05,187.9,190.05,3583
2009-04-16,199.5,199.55,199.5,199.55,825
2009-04-17,209.55,209.55,196.1,202.7,12570
2009-04-20,200.0,200.05,192.6,192.6,220
2009-04-21,183.8,195.9,183.5,183.55,198
2009-04-22,177.0,192.75,177.0,187.0,345
2009-04-23,193.0,196.35,185.05,196.35,715
2009-04-24,200.1,206.2,200.1,206.2,180
2009-04-27,215.0,215.0,200.2,200.2,516
2009-04-28,195.0,209.0,195.0,205.75,275
2009-04-29,216.0,216.05,200.0,212.85,1208
2009-05-04,215.8,215.8,211.85,211.85,236
2009-05-05,217.0,218.95,209.05,218.9,659
2009-05-06,210.0,218.3,210.0,210.25,384
2009-05-07,220.5,220.5,210.0,210.0,1550
2009-05-08,208.0,219.9,208.0,216.0,2416
2009-05-11,220.0,220.0,213.65,213.65,115
2009-05-12,219.5,224.0,214.0,221.0,893
2009-05-13,220.0,220.0,214.0,214.0,550
2009-05-14,211.0,215.0,206.5,214.95,430
2009-05-15,225.6,225.6,220.0,220.15,904
2009-05-19,231.2,231.2,230.0,231.2,2200
2009-05-20,242.8,242.8,242.8,242.8,220
2009-05-21,254.95,254.95,254.95,254.95,85
2009-05-22,267.7,267.7,267.7,267.7,34
2009-05-25,281.1,281.1,281.1,281.1,30
2009-05-26,295.2,295.2,280.0,284.35,1088
2009-05-27,290.0,298.6,290.0,298.6,130
2009-05-28,300.0,310.0,293.0,298.6,210
2009-05-29,300.0,307.0,291.0,304.15,432
2009-06-01,294.05,318.95,294.05,307.4,370
2009-06-02,302.0,306.0,296.1,297.1,1021
2009-06-03,309.9,312.0,309.9,310.3,191
2009-06-04,311.2,325.0,305.25,322.5,1226
2009-06-05,337.0,338.65,317.0,322.0,649
2009-06-08,328.0,328.0,305.9,306.0,338
2009-06-09,293.0,304.0,291.2,304.0,712
2009-06-10,293.0,318.7,293.0,308.1,796
2009-06-11,302.0,314.5,301.1,308.05,561
2009-06-12,301.0,308.0,292.65,292.65,3043
2009-06-15,283.0,285.0,278.05,281.3,920
2009-06-16,278.0,295.0,278.0,292.05,1200
2009-06-17,292.5,299.9,278.0,279.05,1246
2009-06-18,275.1,283.3,275.1,278.05,510
2009-06-19,280.0,290.0,280.0,288.4,280
2009-06-22,276.55,280.0,274.0,278.75,675
2009-06-23,275.05,279.9,272.0,279.9,121
2009-06-24,290.0,290.0,278.0,281.85,76
2009-06-25,285.0,285.0,275.1,275.1,270
2009-06-26,284.65,285.0,275.45,282.2,257
2009-06-29,273.0,293.95,270.0,274.65,1754
2009-06-30,280.0,280.0,260.95,261.0,1004
2009-07-01,261.0,261.0,249.0,251.5,932
2009-07-02,254.0,263.0,254.0,260.0,362
2009-07-03,252.1,259.0,251.0,251.95,266
2009-07-06,255.0,255.0,246.0,246.8,1619
2009-07-07,246.0,246.0,245.0,245.5,670
2009-07-08,239.0,250.0,231.0,231.5,1473
2009-07-09,223.15,232.8,223.0,230.2,574
2009-07-10,249.95,249.95,228.0,228.05,342
2009-07-13,230.0,230.0,212.0,216.55,3857
2009-07-14,225.0,230.0,224.0,228.0,1575
2009-07-15,227.0,242.0,227.0,239.7,297
2009-07-16,231.0,233.95,225.0,228.2,3932
2009-07-17,221.4,247.0,221.4,234.3,760
2009-07-20,238.0,245.0,233.0,244.0,742
2009-07-21,236.0,236.0,229.0,231.8,329
2009-07-22,239.9,240.0,225.05,229.0,647
2009-07-23,230.0,234.85,230.0,233.75,673
2009-07-24,226.2,246.0,226.2,243.25,1404
2009-07-27,250.0,267.6,240.0,262.9,2549
2009-07-28,272.0,280.0,255.2,268.55,1233
2009-07-29,280.0,280.0,255.0,257.15,903
2009-07-30,264.95,268.0,257.2,267.3,785
2009-07-31,250.0,268.0,250.0,259.4,1195
2009-08-03,261.0,267.0,258.1,264.8,1221
2009-08-04,263.0,266.0,260.5,261.2,537
2009-08-05,266.0,269.0,263.0,263.05,95
2009-08-06,265.0,279.0,260.0,260.25,680
2009-08-07,250.2,265.0,245.0,257.65,414
2009-08-10,250.0,267.95,249.2,265.0,913
2009-08-11,263.9,275.0,260.0,261.6,362
2009-08-12,250.25,287.8,250.25,282.05,1571
2009-08-13,288.0,310.3,280.05,310.3,12946
2009-08-14,310.0,335.0,305.0,315.7,5121
2009-08-17,306.4,310.0,294.0,299.95,706
2009-08-18,289.1,304.95,289.1,293.15,204
2009-08-19,298.0,298.5,286.0,286.0,667
2009-08-20,292.0,292.0,281.75,283.65,175
