date,open,high,low,close,volume
2009-03-05,8.68,8.68,8.4,8.59,1649142
2009-03-06,8.53,8.74,8.36,8.68,9795654
2009-03-09,8.67,8.79,8.46,8.7,1732698
2009-03-12,8.79,8.79,8.4,8.45,12559437
2009-03-13,8.38,8.57,8.38,8.45,2112660
2009-03-16,8.4,8.56,8.38,8.42,2371149
2009-03-17,8.42,8.52,8.33,8.39,2033163
2009-03-18,8.31,8.46,8.26,8.3,1149786
2009-03-19,8.37,8.43,8.23,8.26,772497
2009-03-20,8.11,8.36,8.11,8.24,1162755
2009-03-23,8.32,8.47,8.21,8.43,13776840
2009-03-24,8.49,8.64,8.33,8.34,3051873
2009-03-25,8.28,8.41,8.28,8.34,302742
2009-03-26,8.36,8.74,8.33,8.64,3782493
2009-03-27,8.75,8.77,8.44,8.47,3678840
2009-03-30,8.42,8.83,8.34,8.75,2207997
2009-03-31,8.77,9.02,8.77,8.93,3362931
2009-04-01,8.96,9.18,8.9,9.04,2857338
2009-04-02,9.07,9.95,9.04,9.19,14217984
2009-04-06,9.09,9.52,8.99,9.48,11594781
2009-04-08,9.2,9.89,9.2,9.43,9262143
2009-04-09,9.5,9.57,9.31,9.4,1383426
2009-04-13,9.53,9.76,9.35,9.41,3107313
2009-04-15,9.31,9.99,9.29,9.82,13507065
2009-04-16,10.05,10.08,9.39,9.44,3312243
2009-04-17,9.6,9.73,9.45,9.48,2416194
2009-04-20,9.58,9.77,8.99,9.08,2160972
2009-04-21,8.58,9.49,8.34,9.39,9877527
2009-04-22,9.49,9.54,9.01,9.2,3083652
2009-04-23,9.19,9.49,8.89,9.38,1790712
2009-04-24,9.45,9.49,9.25,9.34,1051281
2009-04-27,9.1,9.58,9.1,9.39,2645775
2009-04-28,9.29,9.58,9.26,9.46,4044051
2009-04-29,9.48,9.79,9.48,9.65,2401443
2009-05-04,9.85,9.95,9.66,9.75,3335607
2009-05-05,9.82,9.97,9.77,9.9,6888717
2009-05-06,9.73,10.12,9.73,10.02,4403619
2009-05-07,10.09,10.49,10.04,10.28,5169186
2009-05-08,10.35,10.35,9.98,10.08,1117611
2009-05-11,10.1,10.28,9.75,9.78,1919808
2009-05-12,9.57,9.82,9.49,9.8,2275317
2009-05-13,9.82,9.95,9.7,9.85,826947
2009-05-14,9.9,10.09,9.73,9.99,1389168
2009-05-15,10.0,10.1,9.95,10.03,22037896
2009-05-18,10.91,11.12,10.91,11.09,47223
2009-05-19,11.92,12.73,10.22,11.92,13355991
2009-05-20,11.61,12.64,11.46,12.46,26977500
2009-05-21,12.45,13.84,12.24,13.33,26412606
2009-05-22,13.28,13.94,12.88,13.36,13106511
2009-05-25,13.33,14.09,13.24,13.54,5522616
2009-05-26,13.58,13.64,12.83,13.09,5895351
2009-05-27,13.13,13.58,13.13,13.32,14200065
2009-05-28,13.13,13.38,12.71,12.87,5865255
2009-05-29,13.04,13.69,12.63,13.54,4413222
2009-06-01,13.75,13.94,13.15,13.21,5026626
2009-06-02,13.23,13.49,13.03,13.19,1662210
2009-06-03,13.11,13.31,12.96,13.06,3963564
2009-06-04,12.76,13.79,12.67,13.28,4415994
2009-06-05,13.45,14.83,13.15,14.08,30656934
2009-06-08,14.23,14.72,12.83,13.22,13222440
2009-06-09,12.98,13.29,12.76,13.12,8755263
2009-06-10,13.25,13.74,13.15,13.26,7148889
2009-06-11,13.33,13.83,13.08,13.49,7661808
2009-06-12,13.43,14.01,13.14,13.62,5142951
2009-06-15,13.62,14.13,13.18,13.81,4275018
2009-06-16,13.44,14.45,13.39,14.35,10156014
2009-06-17,14.45,14.62,12.98,13.22,14573097
2009-06-18,13.21,13.59,12.78,13.14,22128480
2009-06-19,13.23,13.62,13.08,13.31,4388175
2009-06-22,13.36,13.72,13.23,13.3,2263140
2009-06-23,12.84,13.52,12.73,13.45,2122362
2009-06-24,13.53,13.6,13.14,13.5,1798533
2009-06-25,13.42,13.89,13.23,13.42,8578350
2009-06-26,13.42,13.73,13.23,13.5,1112067
2009-06-29,13.34,14.22,13.34,13.84,8789913
2009-06-30,13.89,14.12,12.9,13.28,6287589
2009-07-01,13.42,14.23,13.23,13.88,4947723
2009-07-02,14.16,14.73,13.79,13.89,21850388
2009-07-03,13.84,14.23,13.54,14.01,7305111
2009-07-06,14.14,14.45,13.18,13.5,17072352
2009-07-07,13.4,13.74,13.23,13.63,6062661
2009-07-08,13.33,14.34,12.96,13.96,6840999
2009-07-09,13.89,14.18,13.8,14.03,6470937
2009-07-10,13.76,14.38,13.56,13.73,3517668
2009-07-13,13.67,13.84,13.14,13.32,1194930
2009-07-14,13.38,14.02,13.38,13.8,2231856
