date,open,high,low,close,volume
2009-03-05,187.5,189.8,174.4,176.1,114606
2009-03-06,176.0,176.0,165.8,170.3,146044
2009-03-09,165.0,180.0,165.0,172.3,168690
2009-03-12,175.4,176.5,167.0,169.9,314254
2009-03-13,172.0,174.5,169.0,170.1,465114
2009-03-16,172.4,174.0,170.0,170.5,117958
2009-03-17,172.5,177.9,171.0,175.9,251294
2009-03-18,178.3,192.0,178.3,189.6,281852
2009-03-19,191.0,197.6,185.0,187.6,179324
2009-03-20,189.3,189.6,180.0,188.0,287090
2009-03-23,189.5,191.9,184.2,186.6,244678
2009-03-24,190.0,192.2,177.0,180.2,246718
2009-03-25,179.2,179.2,174.5,175.3,357246
2009-03-26,179.0,182.5,174.0,178.2,471100
2009-03-27,179.2,192.0,179.2,187.9,314124
2009-03-30,184.9,195.0,181.3,189.6,379144
2009-03-31,192.5,199.0,188.0,190.9,472420
2009-04-01,193.0,214.5,191.5,212.1,974106
2009-04-02,219.0,220.9,211.5,213.0,773150
2009-04-06,214.0,226.0,210.0,218.4,550894
2009-04-08,216.0,233.9,206.0,230.2,457202
2009-04-09,237.2,237.2,221.5,225.8,266694
2009-04-13,225.0,234.0,218.6,229.4,262366
2009-04-15,228.9,238.4,227.0,237.0,246804
2009-04-16,240.0,246.0,222.6,232.3,347302
2009-04-17,235.0,242.0,234.5,237.1,148832
2009-04-20,241.5,247.4,236.0,238.2,130244
2009-04-21,234.5,244.4,231.5,241.8,148454
2009-04-22,242.5,247.4,230.0,232.2,136248
2009-04-23,234.5,249.4,225.5,242.0,147204
2009-04-24,237.0,247.0,237.0,245.6,115768
2009-04-27,240.7,267.4,240.7,263.8,466636
2009-04-28,261.2,271.0,236.0,239.6,328196
2009-04-29,242.5,264.9,239.0,258.4,243838
2009-05-04,260.5,271.8,260.5,268.0,175804
2009-05-05,269.0,279.0,268.0,270.7,169056
2009-05-06,274.8,279.9,257.7,261.9,234582
2009-05-07,270.0,271.0,260.5,264.4,71896
2009-05-08,269.0,269.5,254.8,264.0,188472
2009-05-11,264.0,268.5,252.5,259.4,137520
2009-05-12,250.0,271.0,250.0,257.8,304020
2009-05-13,262.8,267.4,256.5,262.6,133516
2009-05-14,260.0,272.5,253.5,267.2,155992
2009-05-15,272.0,274.7,263.5,270.5,171602
2009-05-18,312.6,325.0,300.0,321.2,932
2009-05-19,325.0,347.5,297.5,342.7,329844
2009-05-20,342.5,394.0,342.5,384.2,206498
2009-05-21,388.5,412.4,382.5,398.8,278678
2009-05-22,395.0,397.0,371.6,388.4,116872
2009-05-25,387.5,404.5,374.0,378.5,163246
2009-05-26,377.5,386.5,355.6,368.0,88006
2009-05-27,377.4,384.0,372.0,374.9,55602
2009-05-28,376.5,389.0,362.0,367.1,289628
2009-05-29,370.0,381.5,370.0,377.5,147990
2009-06-01,381.8,391.5,374.5,389.8,262684
2009-06-02,394.5,396.0,368.5,373.0,215956
2009-06-03,390.0,392.8,369.5,378.6,168076
2009-06-04,373.5,406.9,373.5,400.8,1046630
2009-06-05,420.6,475.0,410.0,454.8,1741926
2009-06-08,459.8,480.0,455.8,463.4,785162
2009-06-09,470.0,480.4,433.0,469.6,475186
2009-06-10,475.0,484.9,455.0,459.3,193358
2009-06-11,462.5,462.5,441.0,452.3,133944
2009-06-12,462.0,479.0,437.5,442.1,299968
2009-06-15,443.0,443.5,417.6,420.0,150570
2009-06-16,405.5,437.5,405.5,430.4,180342
2009-06-17,432.5,437.0,422.5,423.5,170992
2009-06-18,425.0,440.0,416.5,425.0,333776
2009-06-19,426.0,437.4,405.0,425.2,147186
2009-06-22,432.5,461.4,430.0,453.7,395814
2009-06-23,450.0,459.7,432.5,450.2,270542
2009-06-24,455.0,462.5,447.6,450.4,155524
2009-06-25,460.0,465.0,445.0,448.5,142798
2009-06-26,450.6,457.4,435.1,452.6,98758
2009-06-29,455.0,539.9,455.0,531.2,1282694
2009-06-30,540.0,576.5,526.0,534.8,1930656
2009-07-01,537.5,557.0,525.2,549.0,686424
2009-07-02,557.5,565.0,532.5,541.9,485886
2009-07-03,545.8,557.0,501.8,515.5,2834338
2009-07-06,517.5,530.0,480.0,487.9,895244
2009-07-07,488.5,494.5,454.4,475.7,642990
2009-07-08,470.0,522.0,455.0,500.4,1348882
2009-07-09,502.5,529.4,497.6,521.8,895438
2009-07-10,527.5,537.0,487.5,494.2,866656
2009-07-13,501.0,505.5,475.6,480.3,356606
2009-07-14,484.0,520.0,484.0,513.7,468522
2009-07-15,517.5,535.7,503.0,512.6,370980
2009-07-16,517.5,535.0,507.6,512.0,296924
2009-07-17,487.5,527.8,487.5,521.6,241428
2009-07-20,526.0,532.5,518.0,523.0,189098
2009-07-21,528.0,545.0,520.1,530.2,379604
2009-07-22,529.5,539.9,513.5,518.5,191410
2009-07-23,519.5,529.9,501.9,519.3,106950
2009-07-24,523.0,538.0,521.1,530.6,184274
2009-07-27,534.0,541.5,526.5,529.7,97078
2009-07-28,531.0,550.0,526.0,534.6,219604
2009-07-29,529.5,544.0,513.0,520.5,161888
2009-07-30,519.0,532.2,516.2,528.8,288138
2009-07-31,531.0,539.0,527.5,533.1,603932
2009-08-03,532.5,547.5,530.0,543.2,129976
2009-08-04,550.0,592.2,545.6,553.0,393478
2009-08-05,558.8,560.8,540.0,548.0,159786
2009-08-06,549.5,554.3,526.0,531.4,100824
2009-08-07,506.9,546.5,506.9,540.1,238818
2009-08-10,545.0,557.5,530.1,542.0,299568
2009-08-11,528.1,550.0,528.1,539.8,189348
2009-08-12,530.0,540.8,512.5,535.6,237874
2009-08-13,537.5,554.0,536.0,548.4,122604
2009-08-14,550.0,560.0,542.5,548.3,147894
2009-08-17,542.5,542.5,527.6,531.8,66876
2009-08-18,530.0,537.4,519.0,526.6,95988
2009-08-19,534.5,537.0,521.6,530.7,78852
2009-08-20,535.0,543.9,525.0,532.5,70952
2009-08-21,526.0,537.0,526.0,534.7,29626
2009-08-24,540.0,554.5,536.0,550.6,105888
2009-08-25,545.0,555.0,540.1,543.0,63860
2009-08-26,545.5,552.0,535.0,540.1,125596
2009-08-27,542.2,562.5,538.5,551.0,211986
2009-08-28,559.0,573.0,550.5,556.7,185484
2009-08-31,550.0,565.0,547.6,555.7,69020
2009-09-01,514.0,562.4,514.0,542.2,67708
2009-09-02,539.0,549.8,528.1,539.8,48738
2009-09-03,541.0,548.4,523.3,526.5,50148
2009-09-04,536.5,538.5,527.5,531.4,49206
2009-09-07,538.9,545.0,534.5,537.2,54778
2009-09-08,531.0,609.8,531.0,590.2,832534
2009-09-09,585.0,587.0,562.7,569.6,286558
2009-09-10,574.5,579.0,533.5,540.2,311440
2009-09-11,549.0,562.4,541.0,551.4,210926
2009-09-14,572.5,572.5,544.0,548.9,75458
2009-09-15,550.0,552.5,541.0,544.2,163910
2009-09-16,524.0,565.5,524.0,554.7,243112
2009-09-17,561.0,572.2,545.1,551.0,371116
2009-09-18,557.0,557.0,543.5,545.9,131000
2009-09-22,549.9,554.2,545.9,550.8,99600
2009-09-23,552.5,555.0,542.6,547.2,156546
2009-09-24,540.0,549.0,534.0,543.4,328120
2009-09-25,542.5,545.0,537.6,539.3,237882
2009-09-29,543.0,547.4,533.1,535.2,179490
2009-09-30,536.5,544.0,531.0,539.0,333514
2009-10-01,532.6,552.5,532.6,538.0,240236
2009-10-05,534.5,547.9,526.8,535.5,113846
2009-10-06,540.0,546.0,526.0,544.8,147140
2009-10-07,547.6,561.8,538.1,543.0,204792
2009-10-08,552.5,559.5,540.7,546.0,137702
2009-10-09,554.5,557.5,535.0,537.5,114132
