date,open,high,low,close,volume
2009-03-05,10.34,11.31,10.05,11.28,5281519
2009-03-06,10.97,11.01,10.36,10.62,278184
2009-03-09,10.42,10.91,10.42,10.72,100178
2009-03-12,10.51,10.64,10.0,10.41,55630
2009-03-13,10.47,10.7,10.3,10.37,53907
2009-03-16,10.3,10.47,10.3,10.38,36374
2009-03-17,9.98,10.55,9.98,10.42,720696
2009-03-18,10.13,10.57,10.13,10.42,33361
2009-03-19,10.42,10.49,10.34,10.41,22413
2009-03-20,10.34,10.42,10.21,10.28,1719264
2009-03-23,10.15,10.47,10.15,10.38,47019
2009-03-24,10.62,10.62,10.38,10.38,20828
2009-03-25,10.38,10.53,10.36,10.38,30105
2009-03-26,10.57,10.57,10.32,10.38,17659
2009-03-27,10.27,10.49,10.27,10.37,66060
2009-03-30,10.36,10.43,10.28,10.41,38175
2009-03-31,10.28,10.51,10.28,10.38,25814
2009-04-01,10.37,10.53,10.37,10.47,12882
2009-04-02,10.42,10.68,10.37,10.42,94858
2009-04-06,10.05,10.59,10.05,10.53,60846
2009-04-08,10.42,11.25,10.28,10.97,160759
2009-04-09,11.01,11.68,11.01,11.25,153141
2009-04-13,11.34,11.43,11.0,11.13,39435
2009-04-15,11.07,11.63,10.95,11.43,148978
2009-04-16,11.4,11.72,10.28,10.63,126668
2009-04-17,10.72,11.22,10.28,10.59,57700
2009-04-20,10.74,12.73,10.66,12.57,1380324
2009-04-21,12.88,13.09,11.77,12.07,699070
2009-04-22,12.19,12.35,11.41,11.55,228093
2009-04-23,11.46,11.89,11.06,11.62,73869
2009-04-24,11.83,12.95,10.59,11.52,190340
2009-04-27,11.34,11.89,11.16,11.17,78922
2009-04-28,11.22,11.84,10.87,10.91,177572
2009-04-29,11.31,11.36,10.89,11.04,100436
2009-05-04,11.61,12.19,11.12,11.17,288456
2009-05-05,11.34,11.46,11.21,11.3,89930
2009-05-06,11.12,11.61,11.07,11.22,92618
2009-05-07,11.43,11.46,11.22,11.26,44996
2009-05-08,11.38,11.38,11.01,11.04,70045
2009-05-11,11.16,11.16,10.85,10.92,41253
2009-05-12,10.95,10.98,10.76,10.87,56752
2009-05-13,10.76,11.19,10.72,11.13,61014
2009-05-14,11.01,11.15,10.76,11.0,91364
2009-05-15,10.82,11.13,10.82,10.91,57525
2009-05-18,11.61,11.91,11.61,11.68,3427
2009-05-19,12.14,12.34,10.87,11.26,297114
2009-05-20,11.34,11.88,11.31,11.67,280166
2009-05-21,11.82,12.35,11.82,12.01,486608
2009-05-22,11.91,12.6,11.91,12.35,292464
2009-05-25,12.5,13.51,12.28,13.08,676740
2009-05-26,12.88,13.63,12.53,12.74,575416
2009-05-27,12.88,13.3,12.81,12.93,223748
2009-05-28,13.05,13.09,12.66,12.75,161084
2009-05-29,12.84,12.95,12.62,12.68,225277
2009-06-01,12.8,13.66,12.65,13.23,527203
2009-06-02,13.39,14.26,13.39,13.79,1007968
2009-06-03,14.22,14.43,13.69,13.92,659856
2009-06-04,13.69,14.2,13.59,14.03,269421
2009-06-05,14.22,16.3,13.9,15.38,3060028
2009-06-08,15.77,15.77,13.54,13.84,772107
2009-06-09,13.63,13.98,13.13,13.88,278596
2009-06-10,14.11,14.38,13.59,13.6,270351
2009-06-11,13.62,13.72,12.96,13.18,298521
2009-06-12,13.37,13.99,12.97,13.11,322576
2009-06-15,12.95,13.32,12.59,12.7,131456
2009-06-16,12.57,12.97,12.5,12.8,166994
2009-06-17,12.82,13.34,12.74,13.07,347258
2009-06-18,12.74,13.37,11.92,12.04,263937
2009-06-19,12.59,12.65,11.99,12.28,201898
2009-06-22,12.66,12.71,11.91,11.97,172435
2009-06-23,11.93,12.17,11.63,12.07,127286
2009-06-24,12.01,12.29,11.91,12.16,109327
2009-06-25,12.05,12.35,11.91,11.99,122522
2009-06-26,12.05,12.25,11.99,12.13,106680
2009-06-29,11.98,12.5,11.98,12.04,123963
2009-06-30,12.1,12.2,12.02,12.07,81633
