date,open,high,low,close,volume
2009-03-05,400.0,410.0,400.0,400.35,215
2009-03-06,405.0,405.0,395.0,404.0,80
2009-03-09,414.95,414.95,395.0,400.75,70
2009-03-12,413.95,413.95,395.0,402.75,427
2009-03-13,414.95,414.95,392.6,394.4,858
2009-03-16,391.0,410.0,391.0,401.2,103
2009-03-17,405.0,409.8,394.3,407.4,37
2009-03-18,400.15,401.0,393.0,394.55,140
2009-03-19,425.0,425.0,395.0,398.6,276
2009-03-20,448.0,448.0,390.0,403.35,1569
2009-03-23,410.0,412.95,400.05,410.0,212
2009-03-24,420.0,420.0,395.55,395.65,1249
2009-03-25,399.95,436.5,396.7,414.0,474
2009-03-26,422.0,422.0,396.0,400.3,447
2009-03-27,405.0,418.5,399.5,405.45,680
2009-03-30,406.0,419.0,406.0,418.65,80
2009-03-31,405.0,418.0,405.0,405.0,272
2009-04-01,410.0,420.0,410.0,418.1,303
2009-04-02,426.0,450.0,424.5,439.65,601
2009-04-06,450.0,450.0,448.0,448.0,13
2009-04-08,448.0,459.0,441.0,441.85,419
2009-04-09,499.0,499.0,437.0,457.75,681
2009-04-13,465.0,465.0,441.0,444.15,2469
2009-04-15,450.0,455.0,439.0,447.5,8213
2009-04-16,455.0,455.0,425.0,428.35,1239
2009-04-17,414.4,448.0,414.4,420.3,72
2009-04-20,419.0,446.0,410.0,420.7,812
2009-04-21,424.9,435.0,420.0,421.0,441
2009-04-22,440.0,440.0,421.1,429.0,253
2009-04-23,415.05,440.0,415.05,426.75,136
2009-04-24,437.0,503.55,437.0,463.5,22236
2009-04-27,458.0,496.0,458.0,464.2,38309
2009-04-28,475.8,475.8,435.0,440.5,3417
2009-04-29,431.2,448.8,425.0,429.0,1498
2009-05-04,440.0,444.95,430.05,439.3,1724
2009-05-05,425.5,444.95,425.5,437.6,553
2009-05-06,426.05,440.0,426.05,436.5,949
2009-05-07,430.55,444.5,430.55,435.45,648
2009-05-08,444.0,444.0,431.0,437.95,1883
2009-05-11,440.0,442.0,432.5,434.45,938
2009-05-12,435.0,437.5,430.05,432.0,1056
2009-05-13,430.0,434.8,425.05,431.35,914
2009-05-14,418.0,436.0,418.0,435.0,743
2009-05-15,426.2,445.0,426.2,438.2,620
2009-05-19,460.0,489.0,400.2,478.1,2802
2009-05-20,461.0,489.0,456.35,474.55,1955
2009-05-21,470.0,509.8,466.0,483.35,2675
2009-05-22,483.05,494.9,478.05,484.75,999
2009-05-25,498.0,505.0,484.0,496.5,1304
2009-05-26,495.0,510.0,483.05,491.5,851
2009-05-27,496.0,507.9,478.0,489.35,350
2009-05-28,485.0,506.5,470.0,494.0,485
2009-05-29,490.0,505.0,480.0,489.05,1195
2009-06-01,490.0,510.0,485.0,502.85,1793
2009-06-02,497.0,570.0,497.0,541.15,6616
2009-06-03,530.0,550.0,527.0,539.05,1352
2009-06-04,540.0,550.0,535.0,546.0,413
2009-06-05,550.0,550.0,520.1,522.7,579
2009-06-08,539.0,539.0,505.2,511.45,439
2009-06-09,515.0,520.0,492.0,510.0,154
2009-06-10,506.0,540.0,506.0,525.0,989
2009-06-11,539.9,539.9,492.15,500.0,2781
2009-06-12,529.0,529.0,500.0,517.9,540
2009-06-15,525.35,525.35,500.0,503.7,1556
2009-06-16,503.05,508.0,503.0,507.7,681
2009-06-17,502.0,508.0,501.0,501.05,2247
2009-06-18,500.0,507.95,481.0,500.4,401
2009-06-19,486.0,500.0,485.0,485.0,272
2009-06-22,485.35,500.0,485.35,497.2,418
2009-06-23,499.0,499.0,499.0,499.0,5
2009-06-24,490.05,504.0,490.05,502.3,225
2009-06-25,503.0,539.9,503.0,506.65,1395
2009-06-26,512.0,515.0,506.1,515.0,178
2009-06-29,510.05,524.95,501.25,509.3,630
2009-06-30,518.0,520.0,505.05,508.9,355
2009-07-01,505.05,528.0,490.0,516.3,1412
2009-07-02,514.95,515.0,504.0,506.65,170
