date,open,high,low,close,volume
2009-03-05,69.0,70.0,61.38,69.0,34518
2009-03-06,67.5,70.85,66.03,67.6,20966
2009-03-09,67.6,69.5,66.5,68.75,29880
2009-03-12,70.0,70.0,66.3,67.28,664990
2009-03-13,67.5,68.0,62.22,67.5,454636
2009-03-16,67.0,69.85,67.0,68.85,9206
2009-03-17,68.78,69.5,68.78,68.88,9236
2009-03-18,69.25,72.5,69.07,69.57,31500
2009-03-19,69.5,72.5,68.85,70.8,28658
2009-03-20,69.53,73.72,69.0,70.9,41480
2009-03-23,70.0,72.7,69.07,72.18,15544
2009-03-24,72.5,74.95,72.45,73.95,29852
2009-03-25,73.07,74.0,71.53,72.7,15974
2009-03-26,73.25,73.3,70.85,71.75,7016
2009-03-27,71.7,74.85,71.53,73.6,18986
2009-03-30,73.53,79.0,73.5,76.53,90016
2009-03-31,77.25,81.45,73.2,77.7,1460298
2009-04-01,79.5,81.0,77.8,78.35,53814
2009-04-02,79.25,84.47,77.55,81.2,77832
2009-04-06,82.5,87.4,80.03,82.0,261394
2009-04-08,82.75,87.5,80.0,85.32,98366
2009-04-09,86.75,87.47,83.1,85.97,26384
2009-04-13,85.63,89.43,85.05,88.8,43814
2009-04-15,85.47,88.25,83.53,85.5,133348
2009-04-16,87.43,88.25,75.5,77.38,161496
2009-04-17,80.0,82.5,78.97,79.95,542486
2009-04-20,80.5,83.47,80.5,82.47,19442
2009-04-21,81.95,87.45,79.5,82.63,42990
2009-04-22,84.93,84.93,82.0,83.75,35362
2009-04-23,84.0,84.25,82.0,83.35,20096
2009-04-24,84.0,89.72,81.0,82.82,173616
2009-04-27,81.75,86.5,81.75,85.1,48348
2009-04-28,87.5,102.0,85.05,86.47,386038
2009-04-29,89.0,89.0,85.25,86.55,65756
2009-05-04,89.07,89.07,86.5,87.22,51474
2009-05-05,87.5,90.45,86.0,87.18,59732
2009-05-06,86.15,89.0,85.18,86.03,27040
2009-05-07,87.43,91.5,85.32,90.18,175550
2009-05-08,90.0,96.0,90.0,94.82,224870
2009-05-11,95.75,97.75,89.0,89.97,61198
2009-05-12,89.5,92.0,87.0,90.65,66166
2009-05-13,90.65,95.5,90.05,93.15,99268
2009-05-14,91.5,96.25,91.0,94.6,100090
2009-05-15,96.0,113.53,93.0,103.8,284644
2009-05-18,124.57,124.57,115.0,124.57,23634
2009-05-19,132.5,137.5,109.5,120.85,515462
2009-05-20,120.0,137.5,117.53,133.35,180120
2009-05-21,135.5,137.48,130.52,132.6,132450
2009-05-22,132.5,139.4,130.0,136.98,102572
2009-05-25,133.0,138.5,132.0,133.23,71330
2009-05-26,133.98,139.0,131.63,135.0,71278
2009-05-27,136.0,140.48,135.1,137.48,45610
2009-05-28,140.0,140.5,135.5,139.48,98668
2009-05-29,136.63,146.5,136.63,143.27,100836
