date,open,high,low,close,volume
2009-03-05,31.95,31.95,31.25,31.45,2097238
2009-03-06,31.4,32.0,31.3,31.6,3911626
2009-03-09,31.4,31.4,29.2,29.5,4931998
2009-03-12,29.5,30.85,29.2,29.6,9832990
2009-03-13,29.65,29.65,28.5,28.75,5881546
2009-03-16,29.15,30.15,29.15,30.0,9210874
2009-03-17,30.0,30.05,28.85,29.55,10740502
2009-03-18,29.35,29.4,27.95,28.4,10494934
2009-03-19,28.25,28.55,27.7,28.25,5830618
2009-03-20,28.1,28.15,27.45,27.75,6379738
2009-03-23,28.5,28.5,27.6,28.35,6207274
2009-03-24,28.35,29.5,28.15,29.15,14225134
2009-03-25,29.1,29.95,28.9,29.2,6415882
2009-03-26,29.4,30.25,29.15,29.95,10716742
2009-03-27,29.85,30.7,29.65,30.35,7263046
2009-03-30,30.35,31.5,30.25,30.75,7159570
2009-03-31,30.85,31.65,30.7,31.35,17083054
2009-04-01,31.65,31.85,30.2,30.4,5145982
2009-04-02,30.85,31.3,30.5,31.1,4999702
2009-04-06,31.35,31.5,30.2,31.2,10195090
2009-04-08,30.85,32.25,30.85,32.05,11064718
2009-04-09,32.05,32.7,31.7,32.0,5248462
2009-04-13,31.65,32.2,30.4,30.8,13155526
2009-04-15,30.9,31.4,30.1,30.7,18048634
2009-04-16,30.85,32.85,30.4,32.0,11839570
2009-04-17,32.1,33.3,32.0,32.35,11248798
2009-04-20,32.35,33.1,31.55,32.3,5878666
2009-04-21,32.5,33.1,32.05,32.15,3644278
2009-04-22,32.5,32.5,31.45,32.0,4418662
2009-04-23,31.75,32.15,31.35,32.0,1253134
2009-04-24,31.7,32.35,31.5,32.0,2330494
2009-04-27,32.4,32.4,31.2,31.5,5774254
2009-04-28,31.5,32.15,30.95,31.9,8420338
2009-04-29,32.25,32.55,31.5,32.3,10690654
2009-05-04,32.0,32.4,31.65,32.05,3709942
2009-05-05,31.75,32.25,30.85,31.0,6723094
2009-05-06,30.75,30.9,30.4,30.5,7327726
2009-05-07,30.35,30.55,29.8,29.95,6994186
2009-05-08,29.75,30.25,29.6,29.85,7486606
2009-05-11,29.75,29.85,29.05,29.55,9203794
2009-05-12,29.8,30.6,29.65,30.05,7952458
2009-05-13,30.4,30.75,29.6,30.2,12316954
2009-05-14,30.25,30.95,30.05,30.45,3203890
2009-05-15,30.55,31.2,29.6,30.85,11486758
2009-05-18,34.9,37.0,32.1,35.5,47398
