date,open,high,low,close,volume
2009-03-05,21.0,21.27,20.0,20.0,74891
2009-03-06,18.9,19.97,18.9,19.53,59651
2009-03-09,19.33,19.83,18.6,19.37,65717
2009-03-12,19.87,20.5,19.53,19.83,19330
2009-03-13,20.33,21.0,19.87,20.87,51341
2009-03-16,20.67,22.73,20.27,21.9,111844
2009-03-17,21.93,23.2,21.47,21.97,88351
2009-03-18,21.07,23.83,21.07,22.43,90892
2009-03-19,23.2,24.2,22.67,23.07,49910
2009-03-20,23.33,23.33,22.63,22.7,15497
2009-03-23,23.33,23.33,22.6,22.7,20672
2009-03-24,24.53,24.53,22.87,22.9,63439
2009-03-25,22.93,25.33,22.53,24.63,148771
2009-03-26,24.87,25.93,22.33,22.77,507092
2009-03-27,23.13,24.07,22.0,23.6,80947
2009-03-30,23.6,23.6,22.33,22.6,43492
2009-03-31,23.0,23.13,22.47,22.7,22933
2009-04-01,22.77,24.67,22.73,24.43,78154
2009-04-02,25.3,26.47,24.33,25.87,187535
2009-04-06,27.07,27.27,25.67,26.67,92413
2009-04-08,24.67,30.6,24.67,29.07,295210
2009-04-09,29.07,30.3,28.4,29.23,122072
2009-04-13,29.57,32.1,29.5,30.97,281854
2009-04-15,30.67,36.6,30.67,36.1,366956
2009-04-16,37.0,39.73,32.5,32.9,281161
2009-04-17,33.93,35.87,32.0,32.53,124757
2009-04-20,33.33,34.27,32.17,32.67,85807
2009-04-21,32.0,33.67,31.37,33.03,61955
2009-04-22,34.0,36.33,32.77,33.23,165970
2009-04-23,33.1,36.5,32.07,35.93,155759
2009-04-24,37.0,38.8,36.67,37.47,283661
2009-04-27,38.0,39.13,33.77,35.0,91165
2009-04-28,34.93,35.67,33.17,33.57,39698
2009-04-29,33.37,34.73,33.37,34.1,41258
2009-05-04,34.67,37.33,34.37,34.6,59804
2009-05-05,34.7,36.67,34.7,35.13,114649
2009-05-06,35.67,36.0,33.87,34.27,182075
2009-05-07,35.0,35.67,33.4,35.3,47137
2009-05-08,34.73,37.0,34.67,35.43,76685
2009-05-11,35.47,36.33,33.33,34.33,49591
2009-05-12,34.0,34.3,33.0,33.9,56356
