date,open,high,low,close,volume
2009-03-05,65.7,65.7,62.72,63.37,65440
2009-03-06,63.0,64.22,63.0,63.47,9780
2009-03-09,63.99,63.99,61.0,61.24,17360
2009-03-12,61.56,62.24,61.2,62.18,12100
2009-03-13,62.5,62.5,61.25,61.9,11620
2009-03-16,62.4,66.0,61.75,64.56,60140
2009-03-17,64.15,64.76,64.11,64.74,108240
2009-03-18,65.2,67.5,64.26,67.07,29500
2009-03-19,66.0,67.25,64.55,65.09,82900
2009-03-20,66.25,68.18,65.06,67.75,875100
2009-03-23,67.75,68.44,66.75,67.69,127720
2009-03-24,68.24,68.24,65.3,66.88,92640
2009-03-25,65.82,66.48,63.13,64.14,141580
2009-03-26,67.44,76.0,65.67,66.39,91260
2009-03-27,68.25,68.25,66.07,66.91,62960
2009-03-30,65.25,69.5,64.5,69.37,100020
2009-03-31,70.0,72.4,68.25,70.0,1402120
2009-04-01,69.25,71.19,69.2,69.99,259020
2009-04-02,71.39,71.75,69.5,71.36,98260
2009-04-06,72.65,84.4,70.3,73.95,1839880
2009-04-08,70.58,74.24,70.58,73.63,136100
2009-04-09,74.0,75.95,71.56,72.35,111860
2009-04-13,72.74,74.3,72.5,73.76,77620
2009-04-15,72.5,76.25,72.5,75.98,724040
2009-04-16,76.25,76.75,75.55,76.04,157700
2009-04-17,76.9,77.5,76.1,76.82,277480
2009-04-20,76.75,80.05,75.75,79.77,262040
2009-04-21,82.0,84.95,75.85,77.83,634380
2009-04-22,78.45,78.45,75.0,75.99,132440
2009-04-23,76.25,76.25,75.0,76.19,34720
2009-04-24,76.2,78.0,75.25,77.68,1317180
2009-04-27,77.44,80.85,75.06,77.07,229100
2009-04-28,78.0,79.0,76.25,78.14,91980
2009-04-29,78.75,80.75,77.25,80.04,158780
2009-05-04,78.65,81.0,78.0,79.01,59540
2009-05-05,79.03,79.5,77.0,77.37,51240
2009-05-06,77.9,78.25,75.4,77.97,60480
2009-05-07,78.5,79.75,76.35,78.02,45020
2009-05-08,77.24,78.18,76.4,78.01,92260
2009-05-11,75.33,78.85,67.57,78.46,260940
2009-05-12,77.68,78.93,76.9,78.51,53900
2009-05-13,78.5,78.75,77.31,78.55,126000
2009-05-14,77.25,80.5,76.55,80.03,155160
2009-05-15,80.45,82.6,80.0,81.79,349440
2009-05-19,84.0,89.4,82.0,84.1,1078020
2009-05-20,84.05,89.5,83.25,86.74,429940
2009-05-21,87.25,89.25,85.75,86.83,90680
2009-05-22,86.0,87.0,84.6,85.11,12820
2009-05-25,86.25,86.25,83.5,84.99,19400
2009-05-26,85.15,86.25,83.75,84.91,129580
2009-05-27,90.0,100.0,85.5,86.96,557200
2009-05-28,99.11,99.11,82.82,84.92,654260
2009-05-29,89.75,89.75,83.0,85.72,161580
2009-06-01,85.45,86.17,83.0,84.14,141260
2009-06-02,82.25,84.74,82.25,83.47,53460
2009-06-03,84.7,84.7,81.29,81.96,67240
2009-06-04,81.56,83.2,81.0,81.59,87360
2009-06-05,82.49,82.65,81.84,82.17,150980
2009-06-08,82.6,84.0,81.75,81.94,62720
2009-06-09,81.35,81.5,76.7,80.88,86140
2009-06-10,80.4,82.2,80.0,80.15,43700
2009-06-11,80.55,81.7,79.05,80.19,30160
2009-06-12,80.65,80.67,78.0,78.25,36940
2009-06-15,79.3,80.0,77.75,79.36,28120
2009-06-16,78.25,79.14,77.75,78.9,47080
2009-06-17,80.0,80.5,79.35,79.99,40320
2009-06-18,79.95,80.99,79.03,80.02,33600
2009-06-19,80.0,80.0,77.75,78.28,21440
2009-06-22,77.5,79.95,76.3,78.28,18500
2009-06-23,77.25,78.22,76.36,78.0,86100
2009-06-24,78.0,78.75,78.0,78.46,20980
2009-06-25,78.0,78.74,77.5,77.54,20920
2009-06-26,78.0,79.0,77.25,77.96,30620
2009-06-29,78.75,81.5,77.56,80.5,144480
2009-06-30,80.5,81.25,78.65,79.76,115100
2009-07-01,80.0,80.25,78.07,78.51,87080
2009-07-02,79.0,80.0,78.75,79.07,36600
2009-07-03,79.5,79.89,78.75,79.14,65060
2009-07-06,79.06,79.94,77.78,79.08,91200
2009-07-07,79.44,82.95,78.03,81.29,107800
2009-07-08,79.5,81.0,79.3,80.22,26780
2009-07-09,80.01,80.01,79.0,79.68,9480
2009-07-10,79.82,79.82,78.51,78.94,6100
2009-07-13,79.45,81.25,78.5,80.49,87840
2009-07-14,80.49,80.7,79.28,79.92,9140
