date,open,high,low,close,volume
2017-02-03,120.6,133.3,118.3,118.8,141945864
2017-02-06,120.1,120.9,113.7,114.4,19796400
2017-02-07,114.4,115.1,111.3,111.9,11647314
2017-02-08,112.6,115.0,111.0,113.6,10684044
2017-02-09,113.9,114.3,111.9,112.2,4200156
2017-02-10,112.8,113.8,111.4,111.7,3787821
2017-02-13,112.1,112.3,110.9,111.3,4534749
2017-02-14,111.7,113.2,110.9,111.6,4616037
2017-02-15,111.3,112.2,108.6,109.1,4000185
2017-02-16,109.2,109.7,106.8,107.1,3511584
2017-02-17,107.9,108.7,107.1,107.5,2282085
2017-02-20,107.5,108.5,107.0,107.9,1796481
2017-02-21,108.3,110.5,108.0,109.4,3005523
2017-02-22,109.1,109.6,107.9,108.2,1224666
2017-02-23,108.3,108.5,107.2,107.3,1080675
2017-02-27,106.9,107.6,105.8,106.0,1862262
2017-02-28,106.1,107.2,104.7,105.2,1903968
2017-03-01,105.0,106.0,103.6,103.8,2185749
2017-03-02,104.3,104.7,101.7,101.9,2698371
2017-03-03,101.7,101.9,98.5,99.0,7549470
2017-03-06,98.9,106.1,98.9,105.2,11163825
2017-03-07,106.0,107.2,104.0,104.3,4231584
2017-03-08,104.4,104.8,102.3,102.6,1737693
2017-03-09,102.6,106.8,101.9,105.0,6647049
2017-03-10,105.6,106.1,103.6,104.1,1745559
2017-03-14,106.1,106.7,104.4,105.0,2045439
2017-03-15,105.1,106.8,104.5,105.0,2616714
2017-03-16,105.5,105.8,104.8,105.0,1147203
2017-03-17,105.1,106.5,104.6,104.9,2831787
2017-03-20,105.6,105.6,103.9,104.3,1044504
2017-03-21,104.6,105.2,104.0,104.3,1899927
2017-03-22,104.4,104.4,103.4,103.8,1141722
2017-03-23,104.2,104.7,103.6,104.2,1176894
2017-03-24,104.4,105.9,104.0,105.0,2735424
2017-03-27,105.1,105.3,103.8,104.0,1183950
2017-03-28,104.3,104.9,104.0,104.4,830043
2017-03-29,104.4,108.0,104.1,105.7,4493691
2017-03-30,106.4,107.9,106.1,107.4,2619000
2017-03-31,107.5,109.0,107.2,108.6,2490912
2017-04-03,109.3,109.7,108.3,108.6,1166247
2017-04-05,109.5,110.1,108.7,108.8,1393713
2017-04-06,108.9,109.0,107.6,107.9,644769
2017-04-07,107.8,111.6,107.3,110.2,2326770
2017-04-10,110.6,115.0,110.6,114.5,4795848
2017-04-11,115.0,116.8,113.1,116.0,3087342
2017-04-12,116.2,117.2,113.9,116.4,2521710
2017-04-13,115.6,116.7,114.0,114.4,1269603
2017-04-17,113.9,114.3,112.0,112.4,1314342
2017-04-18,113.2,113.2,110.7,110.9,913113
2017-04-19,111.6,112.7,109.8,111.1,1167201
2017-04-20,111.7,113.1,111.1,112.3,800406
2017-04-21,112.4,113.1,111.4,112.3,812799
2017-04-24,112.3,112.8,111.7,112.2,1721961
2017-04-25,112.4,112.7,111.1,111.7,820656
2017-04-26,112.2,113.0,111.5,112.2,1144791
2017-04-27,112.2,112.4,111.7,112.0,523593
2017-04-28,112.3,112.8,110.8,111.6,542340
2017-05-02,111.8,113.6,111.3,111.6,959058
2017-05-03,111.8,112.2,110.9,111.4,770886
2017-05-04,111.6,112.2,110.9,111.2,627615
2017-05-05,111.8,112.2,110.0,110.6,2774322
2017-05-08,111.3,112.7,111.3,111.8,1711656
2017-05-09,112.1,112.1,110.1,110.5,488412
2017-05-10,111.8,112.1,110.6,110.8,479277
2017-05-11,111.4,111.5,110.8,111.1,1620549
2017-05-12,111.2,111.6,108.7,109.1,1077390
2017-05-15,109.5,111.3,109.5,110.9,580860
2017-05-16,111.4,121.0,111.3,117.7,10434114
2017-05-17,117.8,120.5,117.5,119.0,2846592
2017-05-18,118.0,120.9,116.8,120.1,2775258
2017-05-19,120.6,122.2,117.9,119.3,1652634
2017-05-22,119.9,120.3,118.4,118.6,726624
2017-05-23,118.3,119.3,114.6,117.2,1656720
2017-05-24,117.5,118.3,116.2,117.3,2798109
2017-05-25,117.3,117.9,115.2,115.8,1156914
2017-05-26,115.3,117.9,115.3,117.1,1812942
2017-05-29,116.8,120.2,116.7,118.6,1081134
2017-05-30,118.3,119.4,117.1,118.3,538119
2017-05-31,118.3,122.2,118.3,121.5,2820960
2017-06-01,121.7,122.8,120.1,121.1,1038591
2017-06-02,121.1,123.8,120.6,123.0,1898253
2017-06-05,123.3,126.1,123.1,125.7,1719585
2017-06-06,125.6,126.1,122.4,122.7,616122
2017-06-07,123.0,123.9,121.7,122.4,483219
2017-06-08,122.8,123.2,120.7,121.3,517608
2017-06-09,121.3,125.8,120.2,124.3,2628153
2017-06-12,124.2,126.0,122.3,123.4,935631
2017-06-13,123.3,125.0,121.7,122.0,609759
2017-06-14,123.2,123.9,121.2,121.6,531234
2017-06-15,121.2,122.7,120.1,120.3,624132
2017-06-16,120.9,121.3,119.0,119.5,664047
2017-06-19,120.0,124.2,120.0,123.3,1574190
2017-06-20,123.9,124.4,122.1,122.4,618597
2017-06-21,122.8,123.7,122.3,122.7,466425
2017-06-22,124.0,124.2,121.0,121.2,954900
2017-06-23,121.7,121.9,117.9,118.3,682749
