date,open,high,low,close,volume
2009-03-05,10.5,10.5,10.2,10.32,101584
2009-03-06,10.38,10.43,10.02,10.32,63030
2009-03-09,10.18,10.38,10.0,10.13,62330
2009-03-12,10.38,10.38,10.02,10.07,37562
2009-03-13,10.1,10.4,10.1,10.23,58290
2009-03-16,10.48,12.25,10.32,11.0,125900
2009-03-17,11.0,11.5,10.75,11.35,155706
2009-03-18,13.0,13.63,11.75,13.3,2230054
2009-03-19,13.5,14.25,13.27,13.4,1852142
2009-03-20,13.5,13.5,12.82,12.93,251874
2009-03-23,13.15,13.5,12.57,12.75,339854
2009-03-24,12.95,13.2,12.5,12.52,234338
2009-03-25,12.55,12.77,12.35,12.5,132882
2009-03-26,13.02,13.02,12.48,12.65,164496
2009-03-27,12.93,13.2,12.52,12.98,279706
2009-03-30,12.75,13.13,12.75,12.98,209084
2009-03-31,12.82,13.15,12.7,12.8,148678
2009-04-01,13.02,13.65,12.85,13.25,245096
2009-04-02,13.35,13.63,13.0,13.3,272966
2009-04-06,13.5,13.85,13.38,13.52,154820
2009-04-08,13.0,16.25,13.0,16.25,1104276
2009-04-09,17.0,17.35,15.0,15.55,878012
2009-04-13,16.4,18.5,15.43,17.55,1487488
2009-04-15,17.0,20.9,16.55,19.95,1270448
2009-04-16,19.98,21.0,19.25,20.02,1466340
2009-04-17,20.0,22.0,19.25,20.7,896508
2009-04-20,20.88,21.05,19.05,19.85,360834
2009-04-21,19.0,20.4,18.77,19.85,272060
2009-04-22,20.5,20.75,18.8,19.38,239708
2009-04-23,19.35,19.5,18.33,18.9,91274
2009-04-24,18.6,19.85,18.13,19.48,122894
2009-04-27,19.55,20.55,19.55,20.05,147394
2009-04-28,20.6,22.08,20.6,22.08,538480
2009-04-29,23.2,24.3,22.17,22.48,943630
2009-05-04,23.33,24.55,22.75,23.1,581766
2009-05-05,23.02,24.9,22.6,23.73,1545618
2009-05-06,23.8,24.17,22.0,22.63,854476
2009-05-07,22.63,23.45,22.05,22.65,282728
2009-05-08,22.85,23.0,21.05,21.33,276344
2009-05-11,22.48,22.48,19.83,20.02,219150
2009-05-12,20.0,21.7,19.48,20.65,456400
2009-05-13,21.5,21.92,20.9,21.33,560088
2009-05-14,20.95,21.2,20.08,21.0,121510
2009-05-15,21.02,21.6,20.5,20.75,197842
2009-05-18,22.7,22.83,22.7,22.83,1260
2009-05-19,23.9,24.5,21.25,21.98,483120
2009-05-20,21.98,24.17,21.98,24.17,411044
2009-05-21,24.5,26.6,24.0,24.9,1433518
2009-05-22,24.75,26.45,23.83,24.35,627732
2009-05-25,24.75,26.25,24.75,25.65,622578
2009-05-26,26.02,26.55,24.13,24.42,453476
2009-05-27,25.0,26.88,24.52,26.2,757938
2009-05-28,26.5,27.0,25.75,25.92,461860
2009-05-29,26.55,26.55,25.05,25.58,542918
2009-06-01,26.0,26.5,25.13,25.9,704926
2009-06-02,26.15,28.15,25.55,27.83,1512916
2009-06-03,28.5,30.2,27.5,28.8,1375652
2009-06-04,28.27,30.65,28.0,30.08,855622
2009-06-05,30.95,30.95,28.58,28.73,407390
2009-06-08,29.0,29.8,27.3,27.3,229508
2009-06-09,26.02,27.5,25.95,27.35,289554
2009-06-10,28.2,28.25,26.92,27.15,220656
2009-06-11,27.25,27.5,26.1,26.45,150506
2009-06-12,26.4,27.75,26.4,27.55,335786
2009-06-15,27.75,27.98,26.17,26.17,82014
2009-06-16,24.88,25.88,24.88,25.38,207756
2009-06-17,25.05,25.85,24.13,24.27,121102
2009-06-18,25.0,25.2,23.52,23.92,153682
2009-06-19,24.13,24.75,23.5,24.17,78526
2009-06-22,24.17,25.0,23.27,23.45,86362
2009-06-23,22.5,23.0,22.4,22.7,80926
2009-06-24,22.75,23.85,22.5,23.83,103020
