date,open,high,low,close,volume
2009-03-05,32.4,32.8,30.26,30.63,4347050
2009-03-06,30.21,30.97,29.33,30.09,6156500
2009-03-09,30.0,30.2,29.16,29.65,2874905
2009-03-12,30.09,30.74,29.34,29.57,3003485
2009-03-13,29.8,30.49,29.52,29.87,4789970
2009-03-16,30.0,30.78,29.0,29.66,7261300
2009-03-17,30.4,30.5,28.85,29.21,5977385
2009-03-18,29.6,30.07,29.14,29.43,5627490
2009-03-19,29.96,30.0,29.22,29.4,5043085
2009-03-20,29.56,29.66,29.21,29.41,3353660
2009-03-23,29.8,30.78,29.51,30.6,7027890
2009-03-24,31.0,31.5,29.91,30.15,6910070
2009-03-25,29.9,30.87,29.63,30.67,4347130
2009-03-26,31.0,32.36,30.52,32.06,7355380
2009-03-27,32.2,33.94,31.85,33.52,6252230
2009-03-30,33.0,33.52,32.63,33.01,5163820
2009-03-31,33.26,33.71,31.11,33.14,8488105
2009-04-01,34.0,34.0,31.78,32.68,2857675
2009-04-02,33.0,34.18,32.8,33.03,5311790
2009-04-06,33.87,34.18,33.2,33.6,3017470
2009-04-08,33.14,33.2,31.7,32.86,5934775
2009-04-09,33.56,35.16,32.92,34.23,10465880
2009-04-13,34.5,37.31,34.4,36.81,6910715
2009-04-15,36.4,38.39,35.62,38.11,12342715
2009-04-16,38.4,39.2,36.63,38.06,5972615
2009-04-17,38.4,41.1,38.25,40.41,10623970
2009-04-20,40.8,42.38,39.2,39.9,4001555
2009-04-21,38.45,40.54,38.4,38.56,3668490
2009-04-22,38.8,39.84,37.32,37.93,2625930
2009-04-23,38.0,38.36,37.2,37.88,2777780
2009-04-24,38.0,39.38,37.6,38.8,3128465
2009-04-27,38.98,40.38,38.25,39.08,4159115
2009-04-28,39.0,39.58,36.7,37.0,3193370
2009-04-29,37.24,40.37,36.41,39.59,12736725
2009-05-04,40.88,42.67,40.83,41.55,9770440
2009-05-05,42.95,42.95,40.14,42.17,7684495
2009-05-06,41.97,46.0,41.97,44.29,13619125
2009-05-07,44.8,47.16,44.6,46.34,7948025
2009-05-08,45.94,47.0,44.4,44.94,2575565
2009-05-11,45.0,45.35,42.85,43.24,3087130
2009-05-12,43.24,44.61,42.69,43.3,8561555
2009-05-13,43.96,46.08,43.18,43.55,6915535
2009-05-14,43.6,45.1,40.65,44.61,3441025
2009-05-15,45.0,46.37,45.0,45.87,5049635
2009-05-18,48.0,54.49,48.0,52.83,35825
2009-05-19,55.0,56.8,51.26,55.27,7802010
2009-05-20,54.4,59.6,54.4,55.8,3635620
2009-05-21,55.76,57.68,54.05,54.44,3952785
2009-05-22,54.0,55.0,52.87,54.6,4957305
2009-05-25,54.4,56.4,54.01,54.37,2963950
2009-05-26,54.58,55.75,53.42,54.4,3495395
2009-05-27,55.0,57.03,55.0,56.77,4790985
2009-05-28,55.63,58.4,55.63,57.88,7033735
2009-05-29,58.16,58.78,55.92,56.76,6344535
2009-06-01,57.74,57.8,54.63,56.51,7183195
2009-06-02,57.2,57.54,55.3,55.68,3090715
2009-06-03,55.98,56.28,54.7,55.07,1766085
2009-06-04,55.0,56.6,53.71,56.23,2622005
2009-06-05,57.4,58.54,56.07,56.46,2805000
2009-06-08,56.6,56.98,52.24,53.08,1607235
2009-06-09,52.42,53.9,51.48,52.11,5239370
2009-06-10,53.0,53.6,51.5,51.83,4315425
2009-06-11,52.3,52.69,48.55,48.86,6843240
2009-06-12,49.69,49.96,48.0,48.14,3450440
2009-06-15,46.48,48.4,46.48,47.27,5785725
2009-06-16,47.4,50.16,46.98,49.95,4671930
2009-06-17,50.45,51.34,48.01,48.49,5414165
2009-06-18,48.79,49.78,48.01,49.18,7551420
2009-06-19,49.6,51.6,49.6,51.16,5724400
2009-06-22,51.6,53.6,50.84,51.31,6921305
2009-06-23,51.3,52.99,50.2,52.68,4531955
2009-06-24,53.2,53.6,50.67,51.04,7671815
2009-06-25,51.41,52.3,51.34,51.61,4587100
2009-06-26,51.52,53.52,51.52,53.25,4513495
2009-06-29,53.6,54.79,53.34,54.15,2784890
2009-06-30,54.4,55.97,52.13,52.5,2666480
2009-07-01,52.98,53.38,51.6,52.73,1301415
2009-07-02,53.0,55.28,52.61,54.44,4107470
2009-07-03,53.8,55.2,53.6,54.95,1710485
2009-07-06,54.6,56.14,51.8,52.65,4698555
2009-07-07,53.0,53.94,51.4,52.98,2072715
2009-07-08,52.34,52.34,47.1,47.63,3966310
2009-07-09,47.6,49.98,47.2,49.55,2038595
2009-07-10,51.6,51.6,47.57,48.76,1307205
2009-07-13,48.6,48.6,47.0,47.56,1043935
2009-07-14,47.8,50.39,47.8,50.07,1463105
2009-07-15,50.42,51.93,49.41,51.47,1471200
2009-07-16,52.4,52.76,49.92,50.82,1885425
2009-07-17,51.0,55.18,50.64,54.71,6302695
2009-07-20,55.2,56.4,54.62,55.64,4383665
2009-07-21,56.2,57.18,53.51,53.82,5832205
2009-07-22,57.78,57.78,52.31,52.65,7180645
2009-07-23,54.0,54.98,53.6,54.47,4205645
2009-07-24,55.2,55.58,54.22,54.95,2379380
2009-07-27,55.0,55.6,54.19,54.83,2205610
2009-07-28,54.8,55.28,54.0,54.46,924665
2009-07-29,54.2,55.1,52.97,54.32,2074690
2009-07-30,54.4,56.3,53.6,55.83,2668890
2009-07-31,56.25,57.72,55.93,57.18,3716705
2009-08-03,57.96,58.76,56.66,57.49,3211985
2009-08-04,57.78,59.99,56.56,57.08,2158155
2009-08-05,57.6,57.6,56.2,56.84,2116735
2009-08-06,56.4,57.78,56.22,56.84,2655835
2009-08-07,56.2,56.98,53.01,53.46,3073635
2009-08-10,54.23,54.78,52.02,54.22,2313470
2009-08-11,54.22,55.2,53.82,54.49,2140095
2009-08-12,54.0,54.4,52.8,53.5,1809545
2009-08-13,54.4,54.98,53.2,54.4,3216955
2009-08-14,54.98,55.0,54.04,54.37,1364660
2009-08-17,53.6,53.6,51.0,51.53,2036640
2009-08-18,51.4,52.7,50.05,52.37,2487730
2009-08-19,52.4,52.74,50.4,50.5,1999060
2009-08-20,51.12,52.78,50.7,52.58,4196610
2009-08-21,52.78,52.78,51.0,52.34,2448310
2009-08-24,53.0,54.58,52.92,53.5,2456940
2009-08-25,52.9,53.79,52.8,53.04,1246625
2009-08-26,52.86,53.6,52.22,52.42,972350
2009-08-27,52.42,52.42,51.42,52.09,2785065
2009-08-28,52.3,52.93,51.66,52.64,1333525
2009-08-31,52.2,53.56,52.14,53.25,1683880
2009-09-01,54.0,55.18,53.6,54.63,3392175
2009-09-02,54.2,55.39,54.2,55.22,3175335
2009-09-03,55.46,56.37,55.06,55.84,3678970
2009-09-04,56.7,57.1,55.8,56.36,1326210
2009-09-07,57.0,58.7,56.71,58.1,4998490
2009-09-08,58.6,59.4,57.02,57.84,5223035
2009-09-09,57.21,57.77,56.7,57.52,1784285
2009-09-10,58.56,59.28,57.72,58.71,3204305
2009-09-11,58.42,59.4,58.06,58.72,1944465
2009-09-14,58.22,60.25,58.22,59.79,2734200
2009-09-15,60.6,63.58,60.4,63.06,7588790
2009-09-16,64.0,65.6,62.92,64.36,8582805
2009-09-17,64.96,65.4,62.92,63.82,6791970
2009-09-18,64.0,64.58,60.93,62.14,6282295
2009-09-22,62.4,63.18,61.6,62.99,2188585
2009-09-23,63.2,63.98,62.2,62.97,4094230
2009-09-24,62.0,62.97,61.6,61.9,4486210
2009-09-25,61.8,62.89,60.76,61.05,2826790
2009-09-29,61.8,63.6,60.93,62.47,5501975
2009-09-30,62.7,64.78,62.41,64.46,5288885
2009-10-01,64.4,64.8,63.07,63.37,3534010
2009-10-05,63.2,63.98,62.44,63.54,2405235
2009-10-06,63.98,64.82,62.72,64.33,3729920
2009-10-07,65.0,69.79,64.51,68.8,11813325
2009-10-08,69.6,70.19,68.8,69.39,4482390
2009-10-09,69.6,69.95,67.98,68.53,3422225
2009-10-12,68.4,71.88,68.1,71.13,3738360
2009-10-14,71.7,74.1,70.8,73.55,5060210
2009-10-15,74.4,75.0,73.49,73.99,3026095
2009-10-16,74.1,76.53,73.67,75.93,7429530
2009-10-17,76.0,77.6,76.0,76.86,560720
2009-10-20,79.14,79.14,75.53,75.9,2707900
2009-10-21,75.48,78.99,75.48,78.11,4727830
2009-10-22,77.12,77.6,73.81,74.45,4631035
2009-10-23,75.1,76.6,75.07,75.71,3566575
2009-10-26,76.15,76.45,72.01,72.5,10454275
2009-10-27,71.8,75.72,67.6,67.9,8971015
2009-10-28,67.61,67.61,64.4,66.33,7718130
2009-10-29,66.0,68.58,64.35,67.54,6112685
2009-10-30,69.0,70.5,67.24,68.27,3791590
2009-11-03,68.4,70.8,65.1,66.34,2857325
2009-11-04,67.01,69.78,67.01,68.79,3903855
2009-11-05,68.43,70.76,67.26,70.0,3879100
2009-11-06,71.2,73.89,70.6,71.56,3927350
2009-11-09,72.42,76.9,72.2,76.28,4140390
2009-11-10,77.6,77.8,74.54,75.31,3030755
2009-11-11,75.64,77.9,75.44,77.53,2233180
2009-11-12,77.78,78.98,76.13,77.12,3143755
2009-11-13,77.12,77.92,75.01,75.5,2094160
