date,open,high,low,close,volume
2014-06-24,35.4,36.4,35.24,35.64,11465
2014-06-25,35.64,36.4,35.64,36.25,3730
2014-06-26,36.6,37.0,34.8,35.95,15960
2014-06-27,35.46,39.54,35.41,39.54,24055
2014-06-30,43.49,43.49,43.49,43.49,4300
2014-07-01,47.83,47.83,46.22,47.83,53680
2014-07-02,48.41,50.22,48.0,50.22,21120
2014-07-03,52.58,52.73,51.5,52.73,31620
2014-07-04,55.36,55.36,55.36,55.36,10890
2014-07-07,57.2,58.0,52.6,55.87,104340
2014-07-08,55.28,55.28,53.08,53.08,38495
2014-07-09,52.8,52.8,50.43,50.78,24675
2014-07-10,52.39,53.31,49.62,53.07,33675
2014-07-11,53.2,55.6,53.0,53.05,23270
2014-07-14,54.6,54.6,50.4,50.84,19805
2014-07-15,50.84,53.38,50.84,53.38,3215
2014-07-16,56.04,56.04,56.04,56.04,12145
2014-07-17,58.84,58.84,56.0,58.52,82685
2014-07-18,60.0,61.44,56.45,61.44,34555
2014-07-21,63.8,64.51,63.2,64.51,37735
2014-07-22,67.19,67.73,66.21,67.73,18815
2014-07-23,71.11,71.11,66.02,67.79,231295
2014-07-24,67.79,67.79,64.41,64.41,42280
2014-07-25,61.21,64.41,61.21,63.19,48000
2014-07-28,63.0,66.34,62.8,66.1,34250
2014-07-30,68.2,69.4,64.2,69.4,109355
2014-07-31,72.2,72.87,70.85,72.87,55885
2014-08-01,76.2,76.51,70.0,73.98,229685
2014-08-04,75.2,75.54,70.29,72.67,52745
2014-08-05,73.8,74.76,71.05,73.44,43225
2014-08-06,73.0,75.7,70.41,70.9,25610
2014-08-07,71.0,71.98,68.06,70.16,44715
2014-08-08,69.0,69.95,67.1,67.69,25225
2014-08-11,71.0,71.0,68.2,69.18,11430
2014-08-12,69.2,69.82,68.2,68.63,7400
2014-08-13,68.63,72.06,68.63,72.0,78880
2014-08-14,74.8,75.6,68.4,74.93,72140
2014-08-18,76.8,78.67,72.6,77.44,146350
2014-08-19,77.4,80.98,74.0,79.91,138675
2014-08-20,80.88,83.9,80.54,83.9,67115
2014-08-21,86.8,88.09,85.31,88.09,82405
2014-08-22,92.49,92.49,83.69,85.25,184960
2014-08-25,88.88,88.88,83.02,84.04,67290
2014-08-26,83.2,83.2,79.84,79.84,33835
2014-08-27,75.87,83.83,75.85,83.83,212345
2014-08-28,87.96,88.02,86.07,88.02,42310
2014-09-01,91.8,92.42,86.61,88.79,107930
2014-09-02,90.0,91.2,87.6,88.53,64915
2014-09-03,90.9,90.9,85.99,86.22,72675
2014-09-04,86.8,89.0,86.62,88.14,39315
2014-09-05,88.8,92.54,88.08,89.91,57355
2014-09-08,93.71,94.4,90.0,94.4,44600
2014-09-09,99.12,99.12,97.11,99.12,73940
2014-09-10,101.88,104.07,101.87,104.07,43935
2014-09-11,109.27,109.27,99.0,102.68,125655
2014-09-12,102.0,102.0,98.0,100.69,54785
2014-09-15,104.97,105.72,99.2,105.72,84415
2014-09-16,109.96,111.0,100.44,101.01,174655
2014-09-17,103.0,105.67,96.24,97.36,190995
2014-09-18,97.0,101.93,97.0,100.29,42170
2014-09-19,101.99,104.79,97.6,98.47,40715
2014-09-22,98.0,98.4,93.55,95.3,63580
2014-09-23,95.7,98.15,92.4,93.07,41335
2014-09-24,93.0,94.6,88.42,88.65,43970
2014-09-25,89.75,89.76,84.22,84.22,47415
2014-09-26,80.2,85.0,80.01,80.45,75205
2014-09-29,84.4,84.4,78.65,79.05,58850
2014-09-30,78.65,83.0,76.6,83.0,92420
2014-10-01,85.6,87.15,83.0,86.95,168890
2014-10-07,86.2,89.6,82.62,83.57,98360
2014-10-08,85.66,85.66,75.6,77.0,81540
2014-10-09,76.4,81.2,76.4,78.6,62645
2014-10-10,77.82,79.8,75.64,76.19,45160
2014-10-13,63.0,79.0,63.0,76.93,31680
2014-10-14,76.16,77.81,74.0,74.69,42875
2014-10-16,81.2,81.2,69.05,70.13,63070
2014-10-17,72.98,72.98,68.01,69.56,35655
2014-10-20,70.0,72.34,67.03,68.22,37980
2014-10-21,68.0,80.78,67.0,77.87,221260
2014-10-22,78.95,88.56,78.32,86.97,399245
2014-10-23,89.74,90.0,82.42,85.38,58330
2014-10-27,85.0,87.85,84.0,84.59,87315
2014-10-28,83.74,85.15,79.31,80.47,38720
2014-10-29,80.0,85.39,78.84,82.08,62115
2014-10-30,81.26,84.98,80.8,82.01,41580
2014-10-31,81.15,82.78,79.2,80.39,35990
2014-11-03,79.93,83.0,79.8,80.27,33185
2014-11-05,80.24,82.0,79.01,80.93,41190
2014-11-07,80.4,81.99,80.4,80.64,29195
2014-11-10,80.4,93.4,80.4,90.76,170510
2014-11-11,92.0,94.89,87.64,88.63,142925
2014-11-12,88.63,89.39,86.79,87.28,46510
2014-11-13,89.6,94.6,85.42,87.11,125790
2014-11-14,89.18,91.6,83.3,86.66,83080
2014-11-17,91.98,91.98,84.05,84.8,47465
2014-11-18,84.22,86.97,81.06,81.87,56960
2014-11-19,83.53,88.79,81.06,84.29,112445
2014-11-20,84.19,86.91,82.46,83.21,58090
2014-11-21,84.97,86.59,84.04,84.57,46050
2014-11-24,87.76,87.76,82.2,83.1,27565
2014-11-25,83.41,85.2,82.0,82.23,46120
2014-11-26,82.24,84.2,82.21,82.85,38885
2014-11-27,84.0,85.0,83.02,83.65,35205
2014-11-28,82.82,89.8,82.82,87.76,104265
2014-12-01,89.23,93.02,87.82,88.54,95700
2014-12-02,88.82,89.77,86.6,87.0,24365
2014-12-03,87.4,89.4,85.61,87.01,50115
2014-12-04,85.62,89.19,85.62,88.27,53575
2014-12-05,87.97,87.97,86.0,86.21,37405
2014-12-08,86.46,87.75,84.8,85.03,45805
2014-12-09,84.4,85.55,83.0,84.24,22965
2014-12-10,84.0,86.56,83.0,85.64,27685
2014-12-11,86.0,87.4,83.62,84.51,20620
2014-12-12,84.01,87.39,83.0,83.29,21570
2014-12-15,83.2,87.0,82.4,86.01,48015
2014-12-16,87.0,87.0,79.96,81.07,91815
2014-12-17,81.95,82.6,76.44,78.65,51090
2014-12-18,81.76,83.96,81.6,82.68,18430
2014-12-19,82.99,84.85,81.02,81.44,39805
2014-12-22,83.87,83.87,78.04,79.8,59445
2014-12-23,80.0,80.0,78.2,78.92,28330
2014-12-24,75.62,80.0,75.62,78.04,36565
2014-12-26,77.4,79.28,76.06,76.43,40770
2014-12-29,77.0,80.0,77.0,79.52,35650
2014-12-30,81.2,82.0,78.31,80.97,39825
2015-01-01,80.41,81.45,80.2,80.49,9700
2015-01-02,81.0,83.0,80.44,80.97,27920
2015-01-05,82.2,82.4,80.36,82.07,53910
2015-01-06,83.4,83.4,77.8,78.84,80475
2015-01-07,80.79,81.34,78.99,80.14,27800
2015-01-08,80.42,86.99,80.0,85.67,82550
2015-01-09,86.0,87.98,85.01,86.35,44075
2015-01-12,88.38,88.38,82.98,84.07,66175
2015-01-13,85.28,85.3,82.76,83.2,24925
2015-01-14,82.55,84.8,82.54,83.49,15690
2015-01-15,83.58,85.2,82.8,83.61,52510
2015-01-16,86.4,86.4,84.02,85.93,24390
2015-01-19,87.0,88.84,83.0,85.54,62270
2015-01-20,88.4,88.4,84.4,85.69,16030
2015-01-21,85.98,87.0,85.2,85.74,18625
2015-01-22,88.34,88.34,84.61,85.13,33400
2015-01-23,86.0,87.0,83.8,86.19,53975
2015-01-27,87.8,87.8,85.02,87.27,35430
2015-01-28,87.8,87.8,86.2,87.05,33410
2015-01-29,87.38,104.46,87.38,104.46,808915
2015-01-30,105.6,125.2,97.2,120.15,1538805
2015-02-02,120.0,121.5,114.0,119.09,219400
2015-02-03,120.79,130.99,118.01,130.37,698500
2015-02-04,130.8,137.34,121.0,135.55,603610
2015-02-05,123.5,126.15,122.0,122.0,103040
2015-02-06,109.8,117.89,109.8,112.28,371305
2015-02-09,108.02,122.8,107.6,120.17,202335
2015-02-10,119.81,132.18,119.81,131.63,397070
2015-02-11,134.4,138.0,121.6,123.26,339460
2015-02-12,123.95,130.6,123.95,128.54,136415
2015-02-13,133.4,141.39,129.4,141.39,209005
2015-02-16,148.36,148.45,142.2,142.87,253735
2015-02-18,142.24,150.01,142.24,150.01,148480
2015-02-19,155.6,157.51,151.76,154.47,297125
