date,open,high,low,close,volume
2009-03-05,41.55,44.5,41.55,42.22,5244
2009-03-06,41.05,42.75,41.05,42.67,89910
2009-03-09,41.75,42.0,41.3,41.45,2166
2009-03-12,40.6,41.4,39.5,39.65,3022
2009-03-13,40.25,41.4,40.0,40.88,5884
2009-03-16,39.1,41.97,39.1,41.63,3732
2009-03-17,39.03,41.75,39.03,39.95,5592
2009-03-18,35.55,41.25,35.55,40.17,6000
2009-03-19,40.0,40.75,39.63,40.3,4428
2009-03-20,35.83,40.13,35.83,39.97,1908
2009-03-23,37.53,39.95,37.53,39.85,2824
2009-03-24,39.5,40.53,37.95,38.33,14416
2009-03-25,36.5,39.25,36.5,38.55,7246
2009-03-26,36.7,38.75,36.7,38.15,13564
2009-03-27,38.5,40.75,38.22,39.9,3652
2009-03-30,40.0,40.65,39.05,39.75,4426
2009-03-31,36.0,40.1,36.0,39.38,11648
2009-04-01,37.2,40.13,37.2,40.05,384
2009-04-02,40.05,41.33,40.05,41.17,8374
2009-04-06,41.63,42.0,40.25,41.5,7452
2009-04-08,41.35,42.88,41.0,42.53,7422
2009-04-09,43.13,47.0,43.05,44.1,12998
2009-04-13,40.05,48.25,40.05,46.92,16910
2009-04-15,46.8,52.0,46.63,50.13,17490
2009-04-16,51.0,52.5,47.05,47.3,7156
2009-04-17,47.0,49.0,46.1,47.85,13428
2009-04-20,48.05,48.05,46.0,47.4,16658
2009-04-21,42.22,49.0,42.22,47.97,4754
2009-04-22,46.0,48.5,46.0,47.45,4890
2009-04-23,45.0,47.9,45.0,47.6,716
2009-04-24,46.15,49.5,46.15,48.0,5930
2009-04-27,46.15,48.63,46.15,48.5,13386
2009-04-28,47.0,52.45,47.0,49.95,25346
2009-04-29,49.0,52.0,49.0,50.17,6450
2009-05-04,51.0,52.0,49.55,50.05,12918
2009-05-05,49.63,50.97,49.63,50.15,4726
2009-05-06,47.97,50.75,47.97,50.1,7624
2009-05-07,49.63,54.25,49.63,52.53,91592
2009-05-08,52.55,52.88,49.92,50.05,52088
2009-05-11,52.38,52.38,49.58,50.25,14490
2009-05-12,49.13,50.6,49.13,50.03,4760
2009-05-13,49.5,51.22,49.5,50.5,14252
2009-05-14,50.0,56.2,49.85,51.5,454704
2009-05-15,52.45,54.9,51.85,53.08,16246
2009-05-19,53.5,62.5,52.0,57.5,46066
2009-05-20,57.5,62.38,56.0,59.6,40046
2009-05-21,61.75,63.88,59.0,60.0,33698
2009-05-22,58.0,61.5,58.0,60.3,10842
2009-05-25,62.5,66.0,60.6,65.03,87560
2009-05-26,65.0,66.4,60.5,60.88,10764
2009-05-27,63.97,65.0,61.25,62.7,204210
