date,open,high,low,close,volume
2014-03-19,147.95,147.95,144.05,145.45,86420
2014-03-20,145.0,145.5,143.55,144.7,95148
2014-03-21,144.0,145.5,142.9,143.57,155082
2014-03-22,144.5,145.0,143.25,144.57,8412
2014-03-24,146.18,146.18,143.8,144.48,240480
2014-03-25,144.25,146.48,142.5,143.63,94544
2014-03-26,145.0,146.48,144.02,145.82,80674
2014-03-27,146.0,149.13,145.15,148.85,109406
2014-03-28,151.25,157.0,151.25,156.1,417330
2014-03-31,156.65,158.5,154.68,155.48,183028
2014-04-01,156.1,156.1,152.5,153.02,396906
2014-04-02,153.0,156.25,152.5,154.02,338334
2014-04-03,153.52,155.5,151.55,152.45,509456
2014-04-04,152.6,154.98,152.35,154.2,106638
2014-04-07,153.07,154.9,151.75,152.02,198874
2014-04-09,152.02,154.5,151.5,152.02,489402
2014-04-10,152.5,153.2,151.95,152.1,200912
2014-04-11,152.5,154.95,152.0,152.45,218678
2014-04-15,153.68,153.68,151.07,151.32,127222
2014-04-16,151.75,152.25,150.0,150.18,138910
2014-04-17,150.0,152.0,150.0,150.7,52940
2014-04-21,151.0,152.5,150.0,150.1,217478
2014-04-22,150.43,151.5,150.07,151.15,97236
2014-04-23,152.25,152.25,150.63,151.13,108262
2014-04-25,150.5,151.0,148.5,148.73,135320
2014-04-28,148.57,149.45,148.0,148.73,102328
2014-04-29,153.38,153.38,146.52,147.1,199568
2014-04-30,147.48,152.25,146.5,148.05,206906
2014-05-02,149.0,149.5,146.8,148.15,100140
2014-05-05,148.15,148.5,145.75,146.5,113290
2014-05-06,147.0,147.25,145.5,145.98,100830
2014-05-07,145.63,146.45,144.7,145.15,302640
2014-05-08,145.18,146.18,143.02,143.45,231716
2014-05-09,143.15,145.5,143.0,143.38,250632
2014-05-12,144.5,145.75,144.0,145.0,145264
2014-05-13,147.75,149.2,145.02,146.5,357168
2014-05-14,146.5,146.5,143.05,144.02,289798
2014-05-15,145.4,145.4,143.32,143.8,258322
2014-05-16,145.02,145.57,141.55,142.38,306448
2014-05-19,142.5,144.43,142.5,143.1,490382
2014-05-20,144.0,144.15,141.8,142.38,631436
2014-05-21,142.55,146.02,141.75,144.85,1005324
2014-05-22,145.5,149.25,145.05,146.5,1779426
2014-05-23,147.9,149.6,146.5,147.43,908944
2014-05-26,148.75,154.35,146.57,149.38,1513722
2014-05-27,150.45,150.8,146.5,146.75,371252
2014-05-28,146.8,149.25,145.0,145.8,514946
2014-05-29,146.35,147.5,145.4,145.95,167148
2014-05-30,145.27,149.7,145.27,147.13,270822
2014-06-02,147.5,148.85,147.0,147.4,172248
2014-06-03,147.5,148.15,147.05,147.5,311112
2014-06-04,147.02,151.0,147.0,149.25,897660
2014-06-05,151.5,157.5,151.5,156.45,2176922
2014-06-06,158.25,165.8,158.25,163.35,2682652
2014-06-09,165.7,174.95,165.63,174.02,2532880
2014-06-10,175.0,175.9,167.38,170.7,958508
2014-06-11,171.0,174.5,165.85,167.68,655332
2014-06-12,168.0,170.25,165.7,166.93,337544
2014-06-13,167.07,167.93,158.05,158.82,940730
2014-06-16,157.57,161.35,155.63,157.52,811334
2014-06-17,157.35,161.5,157.35,159.75,1058244
2014-06-18,160.5,161.5,155.82,156.65,439606
2014-06-19,157.95,158.4,154.2,154.88,498918
2014-06-20,154.73,161.18,154.7,159.3,852514
2014-06-23,159.6,161.0,156.3,157.3,306824
2014-06-24,158.0,161.0,157.25,159.6,444608
2014-06-25,159.13,160.0,157.55,158.43,163518
2014-06-26,158.0,158.93,156.1,157.15,231298
2014-06-27,157.63,164.0,157.5,162.75,988540
2014-06-30,163.6,164.5,160.85,162.35,364328
2014-07-01,163.23,166.98,161.0,165.85,687912
2014-07-02,169.05,182.5,167.02,180.77,7458554
2014-07-03,177.38,177.5,171.27,173.88,2683992
2014-07-04,174.75,175.7,171.13,171.88,805206
2014-07-07,171.57,171.98,167.38,168.63,759628
2014-07-08,169.93,172.95,168.05,170.0,2424468
2014-07-09,168.95,172.0,165.55,168.85,1623172
2014-07-10,169.5,169.5,161.5,164.93,517882
2014-07-11,165.0,166.15,158.63,159.35,318882
2014-07-14,158.1,162.35,158.1,160.98,225566
2014-07-15,160.55,166.0,159.57,165.02,383006
2014-07-16,165.13,167.5,165.07,166.18,354560
2014-07-17,165.6,168.8,163.75,166.48,344794
2014-07-18,167.25,167.25,164.65,165.6,202402
2014-07-21,165.6,169.7,165.6,166.52,356936
2014-07-22,167.35,167.5,163.4,164.23,372880
2014-07-23,165.0,169.13,162.23,168.38,1122502
2014-07-24,169.0,170.75,167.05,167.93,578846
2014-07-25,167.75,169.0,164.55,165.95,987808
2014-07-28,165.5,166.48,164.02,165.0,935262
2014-07-30,164.5,166.98,164.18,165.38,1393362
2014-07-31,166.75,169.35,165.38,168.02,902544
2014-08-01,164.0,167.48,162.68,166.73,616248
2014-08-04,165.5,166.5,164.07,164.98,192114
2014-08-05,164.5,172.5,164.25,170.7,683226
2014-08-06,170.7,172.1,168.6,169.05,443518
2014-08-07,168.5,171.0,167.5,169.77,201716
2014-08-08,168.2,168.7,166.52,168.05,223814
2014-08-11,169.63,173.85,167.75,172.4,639062
2014-08-12,173.38,174.98,171.77,174.25,557266
2014-08-13,173.9,173.9,170.88,172.7,476044
2014-08-14,172.5,177.3,171.05,175.38,516018
2014-08-18,175.38,179.9,174.07,176.38,431020
2014-08-19,176.0,179.85,176.0,178.93,923604
2014-08-20,180.0,181.98,174.25,174.65,629334
2014-08-21,174.0,179.45,174.0,178.65,492724
2014-08-22,179.0,181.95,178.5,179.05,530772
2014-08-25,179.5,180.85,175.05,175.68,196620
2014-08-26,176.8,177.98,172.02,174.5,184108
2014-08-27,175.5,176.13,172.65,173.38,139942
2014-08-28,174.65,177.0,173.18,174.98,319934
2014-09-01,175.0,177.0,175.0,176.32,252098
2014-09-02,176.32,185.0,176.13,181.43,1046098
2014-09-03,182.93,193.35,182.75,191.4,2258630
2014-09-04,190.0,193.75,185.0,190.38,698314
2014-09-05,190.85,191.48,187.5,188.27,276620
2014-09-08,187.77,198.35,187.77,196.7,954144
2014-09-09,196.5,196.85,192.5,195.98,338582
2014-09-10,196.35,198.93,191.0,193.05,432894
2014-09-11,194.7,197.5,193.52,194.38,254988
2014-09-12,194.8,202.35,193.5,200.85,899638
2014-09-15,199.85,211.0,199.55,210.15,1479872
2014-09-16,211.0,222.5,211.0,219.4,2276634
2014-09-17,219.5,225.9,212.52,214.43,1218228
2014-09-18,214.2,219.9,211.75,213.2,449530
2014-09-19,214.7,223.7,214.5,219.82,946828
2014-09-22,218.75,222.5,217.5,220.85,374898
2014-09-23,222.0,223.43,212.8,215.15,402344
2014-09-24,216.38,218.9,210.0,212.88,390300
2014-09-25,213.65,214.95,211.0,213.7,346584
2014-09-26,212.0,214.82,207.52,212.27,202506
2014-09-29,213.63,219.43,211.0,215.27,231942
2014-09-30,216.0,222.0,211.07,214.65,605548
2014-10-01,215.93,220.4,214.23,216.13,265434
2014-10-07,217.0,218.73,215.5,216.07,163606
2014-10-08,215.57,217.5,214.18,215.18,205368
2014-10-09,215.18,218.5,214.55,217.15,288764
2014-10-10,217.7,224.95,215.15,218.13,547220
2014-10-13,217.93,217.93,215.25,216.65,664668
2014-10-14,216.5,218.0,215.0,215.1,384006
2014-10-16,216.93,216.93,209.75,210.07,361946
2014-10-17,210.0,210.0,203.2,204.95,473190
2014-10-20,206.2,208.32,205.2,205.77,359488
2014-10-21,207.82,208.0,204.05,206.32,183616
2014-10-22,207.5,210.63,204.75,208.7,284864
2014-10-23,209.25,215.52,209.0,214.35,192804
2014-10-27,214.85,215.48,209.13,209.88,370160
2014-10-28,209.02,211.02,206.0,208.27,343174
2014-10-29,208.57,211.6,205.05,206.73,634162
2014-10-30,207.05,209.5,204.55,205.82,1467678
2014-10-31,207.43,207.93,205.0,206.6,1329930
2014-11-03,210.0,212.35,207.98,208.95,354286
2014-11-05,208.2,211.0,205.25,206.3,307048
2014-11-07,207.5,207.5,204.5,205.4,197602
2014-11-10,205.5,209.63,205.5,208.52,425992
2014-11-11,208.38,210.75,207.0,208.25,378612
2014-11-12,209.0,210.73,208.05,208.45,300806
2014-11-13,209.8,215.82,209.0,212.77,2997384
2014-11-14,214.0,224.25,213.25,221.02,2480956
2014-11-17,221.45,227.3,219.2,223.65,1079232
2014-11-18,224.68,225.5,219.0,221.25,636178
2014-11-19,222.2,230.45,219.57,220.98,2370834
2014-11-20,220.6,227.18,220.6,226.25,1995752
2014-11-21,227.5,229.45,223.95,226.68,2096916
2014-11-24,230.75,233.3,229.13,231.57,980272
2014-11-25,230.75,236.57,225.7,234.27,1215994
2014-11-26,234.02,239.32,231.5,237.45,1088756
2014-11-27,237.48,243.0,237.45,241.55,761272
