date,open,high,low,close,volume
2009-03-05,6.35,6.5,6.0,6.05,26280
2009-03-06,5.58,6.1,5.58,5.87,19350
2009-03-09,6.0,6.0,5.72,5.9,4840
2009-03-12,5.9,5.95,5.2,5.38,40820
2009-03-13,5.5,5.96,5.5,5.87,10030
2009-03-16,6.25,6.4,6.01,6.29,112470
2009-03-17,6.54,6.54,5.97,6.0,17660
2009-03-18,6.4,7.1,6.05,6.67,56380
2009-03-19,7.07,7.07,6.25,6.29,47050
2009-03-20,6.3,6.7,6.17,6.65,12050
2009-03-23,6.87,6.88,6.52,6.6,27180
2009-03-24,6.7,6.8,6.2,6.27,158370
2009-03-25,6.39,6.4,6.1,6.23,167080
2009-03-26,6.48,6.48,6.14,6.31,357150
2009-03-27,6.37,6.48,6.18,6.27,27810
2009-03-30,6.16,6.35,6.16,6.31,8980
2009-03-31,6.36,7.19,6.35,6.71,160210
2009-04-01,6.81,7.19,6.78,6.98,90220
2009-04-02,7.06,7.1,6.7,6.72,303820
2009-04-06,7.07,7.07,6.73,6.76,187070
2009-04-08,6.79,6.8,6.71,6.75,263230
2009-04-09,7.24,8.1,6.92,8.1,436100
2009-04-13,9.0,9.2,8.63,8.82,646670
2009-04-15,9.0,9.7,8.23,9.14,455390
2009-04-16,9.3,9.47,8.4,8.7,173150
2009-04-17,8.33,9.5,8.3,8.87,225090
2009-04-20,9.0,9.2,8.83,8.87,58020
2009-04-21,8.54,8.97,8.5,8.73,30180
2009-04-22,8.76,10.4,8.76,10.11,1027060
2009-04-23,10.4,10.4,9.43,9.54,162910
2009-04-24,9.25,9.74,9.25,9.51,91330
2009-04-27,9.5,9.8,9.0,9.04,113880
2009-04-28,9.03,9.06,8.21,8.28,151110
2009-04-29,7.94,8.29,7.9,8.03,78440
2009-05-04,8.0,8.83,8.0,8.83,164200
2009-05-05,8.76,9.65,8.76,9.16,106160
2009-05-06,9.1,10.06,8.72,9.24,118910
2009-05-07,9.34,9.8,9.34,9.64,79210
2009-05-08,10.02,10.4,10.02,10.28,138460
2009-05-11,10.3,10.3,9.78,10.01,70300
2009-05-12,9.61,10.3,9.61,9.93,192170
2009-05-13,10.18,10.18,9.6,9.72,34220
2009-05-14,9.61,10.09,9.61,10.06,51320
2009-05-15,10.3,10.39,9.9,9.92,60130
2009-05-19,10.4,10.42,10.15,10.42,86910
2009-05-20,10.94,10.94,10.94,10.94,25510
2009-05-21,11.34,11.49,11.34,11.49,35910
2009-05-22,12.0,12.07,11.21,11.54,104570
2009-05-25,11.87,12.13,11.3,12.13,74740
2009-05-26,12.73,12.73,11.52,11.6,50200
2009-05-27,12.17,12.18,12.01,12.18,24900
2009-05-28,12.7,12.79,11.85,12.78,106590
2009-05-29,12.79,13.41,12.79,13.28,56380
2009-06-01,13.4,13.93,13.4,13.54,26990
2009-06-02,13.48,13.48,12.86,13.1,99460
2009-06-03,13.1,13.18,12.44,12.53,37860
2009-06-04,12.21,12.99,12.21,12.56,39790
2009-06-05,12.5,13.14,12.5,12.94,53550
2009-06-08,12.9,12.9,12.3,12.3,61960
2009-06-09,12.3,12.47,11.7,12.03,55820
2009-06-10,12.48,12.59,11.52,11.64,69110
2009-06-11,11.2,11.5,11.2,11.31,26430
2009-06-12,11.49,11.87,11.23,11.58,28220
2009-06-15,11.5,11.9,11.47,11.48,24150
2009-06-16,11.13,12.06,11.1,12.06,32060
2009-06-17,12.3,12.66,11.53,11.94,164340
2009-06-18,11.8,12.0,11.4,11.53,73740
2009-06-19,11.5,12.11,11.4,12.11,32390
2009-06-22,12.71,12.71,12.25,12.6,93360
2009-06-23,12.11,12.65,12.04,12.42,36040
2009-06-24,12.25,12.5,12.01,12.17,190700
2009-06-25,12.35,12.38,11.61,11.94,40980
2009-06-26,11.63,12.2,11.63,12.02,148220
2009-06-29,11.76,12.1,11.5,11.72,69280
2009-06-30,11.83,12.09,11.7,11.8,89300
2009-07-01,11.9,12.39,11.81,12.39,203300
2009-07-02,13.0,13.01,12.99,13.01,40770
2009-07-03,13.66,13.66,13.66,13.66,19990
2009-07-06,14.35,14.35,13.0,13.16,364410
2009-07-07,14.15,14.48,12.35,14.24,224100
2009-07-08,14.39,15.66,13.65,15.64,264120
2009-07-09,15.89,15.89,14.86,14.88,200250
2009-07-10,14.9,15.19,14.14,14.19,155580
2009-07-13,13.7,13.8,13.48,13.51,23250
2009-07-14,13.66,13.84,13.1,13.48,34870
2009-07-15,13.95,14.16,13.5,14.08,77950
2009-07-16,14.78,14.78,13.57,13.91,47890
2009-07-17,13.35,13.9,13.3,13.56,42000
2009-07-20,13.54,14.24,13.49,14.23,112990
2009-07-21,14.45,14.94,14.3,14.94,47980
2009-07-22,15.5,15.69,14.8,15.16,68520
2009-07-23,15.11,15.58,14.83,15.44,92090
2009-07-24,15.26,16.21,15.26,16.08,115140
2009-07-27,16.5,16.5,15.62,16.22,48070
2009-07-28,15.96,16.59,15.76,16.43,1179200
2009-07-29,16.01,16.94,15.7,16.0,67770
2009-07-30,16.0,16.69,15.86,16.61,62460
2009-07-31,16.05,16.4,15.79,15.98,32100
2009-08-03,15.31,16.29,15.18,15.31,66260
2009-08-04,15.49,16.09,15.49,16.09,67940
2009-08-05,15.3,16.06,15.3,15.97,1006240
2009-08-06,15.56,16.0,15.4,15.73,17150
2009-08-07,15.42,16.0,15.14,15.18,53700
2009-08-10,15.2,15.5,14.5,14.66,94440
2009-08-11,14.06,15.07,13.93,14.44,42560
2009-08-12,13.75,14.6,13.72,14.46,209350
2009-08-13,13.95,15.19,13.75,15.19,195300
2009-08-14,15.7,15.94,15.0,15.43,102420
2009-08-17,15.1,15.1,14.66,14.66,23330
2009-08-18,14.26,14.78,14.26,14.56,11720
2009-08-19,15.2,15.2,13.84,13.84,44510
2009-08-20,13.86,14.01,13.51,13.68,33070
2009-08-21,13.53,14.36,13.45,14.36,42530
2009-08-24,14.95,15.08,14.95,15.08,134440
2009-08-25,15.11,15.65,14.63,14.86,43930
2009-08-26,14.9,15.25,14.6,14.64,129560
2009-08-27,14.61,15.28,14.61,14.85,65130
2009-08-28,14.61,15.2,14.6,14.67,23710
2009-08-31,15.0,15.14,14.55,14.66,31950
2009-09-01,14.6,15.29,14.14,14.34,49590
2009-09-02,13.93,14.7,13.93,14.28,19680
2009-09-03,14.1,14.7,14.1,14.7,5690
2009-09-04,14.7,15.44,14.2,15.44,355760
2009-09-07,15.5,16.1,14.86,15.39,52700
2009-09-08,15.7,15.8,14.71,14.87,24930
2009-09-09,14.63,15.4,14.63,14.81,44400
2009-09-10,14.81,16.3,14.52,16.09,308680
2009-09-11,16.1,16.8,15.36,15.95,236400
2009-09-14,15.0,16.87,15.0,15.88,467600
2009-09-15,15.79,16.19,15.61,15.73,95930
2009-09-16,15.92,16.0,15.7,15.79,45920
2009-09-17,15.5,16.0,15.06,15.28,54190
2009-09-18,15.21,15.55,15.0,15.28,17120
2009-09-22,15.2,15.3,14.89,14.99,27480
2009-09-23,14.95,16.29,14.81,15.41,348560
2009-09-24,15.31,16.19,15.31,15.53,152760
2009-09-25,15.6,15.88,15.36,15.48,24480
2009-09-29,15.43,15.58,15.3,15.51,37600
2009-09-30,15.3,16.0,15.3,15.51,92800
2009-10-01,15.5,15.88,15.45,15.54,255860
2009-10-05,15.69,15.7,15.23,15.44,5490
2009-10-06,15.2,15.3,14.7,15.08,58060
2009-10-07,14.92,15.2,14.8,14.89,40760
2009-10-08,14.86,15.36,14.5,14.74,81500
2009-10-09,14.78,15.0,14.5,14.71,5040
2009-10-12,14.54,14.88,14.51,14.54,6190
2009-10-14,14.54,15.75,14.52,15.53,127050
2009-10-15,15.5,17.09,15.5,17.09,341410
2009-10-16,17.89,18.49,17.71,18.05,765350
2009-10-17,18.19,19.28,17.71,18.98,124020
2009-10-20,19.2,20.34,18.7,19.33,221110
2009-10-21,19.35,19.76,19.04,19.51,126900
2009-10-22,19.3,19.3,18.53,18.61,36010
2009-10-23,18.26,18.94,17.69,17.99,60280
2009-10-26,17.54,18.0,17.11,17.18,44060
2009-10-27,16.5,17.27,16.4,16.51,38560
2009-10-28,16.11,16.69,15.7,15.76,58530
2009-10-29,15.3,16.2,15.3,15.91,17700
2009-10-30,16.59,16.59,15.5,15.99,47310
2009-11-03,15.4,15.64,15.19,15.2,62470
2009-11-04,15.2,15.49,14.74,15.09,16020
2009-11-05,14.81,15.4,14.81,15.29,15950
2009-11-06,15.3,16.06,15.3,16.0,36320
2009-11-09,15.64,17.3,15.64,17.08,21550
2009-11-10,17.0,17.35,16.63,17.04,48670
2009-11-11,17.59,17.59,16.27,16.35,36460
2009-11-12,16.5,16.89,16.4,16.81,22560
2009-11-13,16.31,16.6,15.63,16.04,66310
2009-11-16,16.21,16.47,16.2,16.27,29550
2009-11-17,16.12,16.13,15.57,15.71,31460
2009-11-18,16.39,16.39,15.11,15.9,53830
2009-11-19,15.8,16.27,15.7,15.92,39500
2009-11-20,15.9,16.44,15.9,16.23,10520
2009-11-23,15.87,16.6,15.87,16.31,17750
2009-11-24,16.9,16.96,16.0,16.29,111730
2009-11-25,16.76,16.76,16.11,16.21,58430
2009-11-26,16.01,16.49,15.92,16.0,21010
2009-11-27,15.51,15.7,15.21,15.49,18500
2009-11-30,15.8,16.48,15.8,16.34,29330
2009-12-01,16.21,17.34,16.21,16.94,66560
2009-12-02,17.1,17.3,16.41,16.6,23300
2009-12-03,16.56,16.98,16.0,16.25,88050
2009-12-04,16.2,16.24,15.7,15.77,74990
2009-12-07,16.29,16.29,15.54,15.95,19180
2009-12-08,15.6,16.0,15.5,15.86,66250
