date,open,high,low,close,volume
2010-10-29,9.16,10.08,8.33,8.44,14988880
2010-11-01,8.45,8.74,8.41,8.46,3338400
2010-11-02,8.44,8.56,8.42,8.43,5779920
2010-11-03,8.69,8.69,8.44,8.44,4720480
2010-11-04,8.5,8.5,8.32,8.42,11400720
2010-11-05,8.44,8.5,8.44,8.46,2580800
2010-11-08,8.44,8.5,8.36,8.36,7560720
2010-11-09,8.38,8.42,8.35,8.36,9891120
2010-11-10,8.38,8.4,8.36,8.38,4136400
2010-11-11,8.44,8.56,8.36,8.48,15022320
2010-11-12,8.5,8.62,8.44,8.56,5099840
2010-11-15,8.75,8.9,8.71,8.79,4766080
2010-11-16,8.88,8.88,8.7,8.8,4754960
2010-11-18,8.9,8.9,8.5,8.55,2503360
2010-11-19,8.75,8.75,8.56,8.6,4010880
2010-11-22,8.48,8.75,8.48,8.67,2818480
2010-11-23,8.66,8.69,7.89,8.36,3490240
2010-11-24,8.31,8.31,6.67,6.67,19386960
2010-11-25,5.34,5.34,5.34,5.34,610000
2010-11-26,4.8,4.8,4.8,4.8,45120
2010-11-29,4.32,4.32,4.32,4.32,30160
2010-11-30,3.89,3.89,3.89,3.89,237040
2010-12-01,3.7,3.7,3.7,3.7,153680
2010-12-02,3.51,3.51,3.51,3.51,115200
2010-12-03,3.34,3.34,3.34,3.34,138800
2010-12-06,3.17,3.17,3.17,3.17,64160
2010-12-07,3.01,3.01,3.01,3.01,18160
2010-12-08,2.86,2.86,2.86,2.86,12400
2010-12-09,2.72,2.72,2.72,2.72,3040
2010-12-10,2.58,2.58,2.58,2.58,8880
2010-12-13,2.46,2.46,2.46,2.46,12080
2010-12-14,2.33,2.33,2.33,2.33,25040
2010-12-15,2.22,2.22,2.22,2.22,129040
2010-12-16,2.1,2.33,2.1,2.33,16044000
2010-12-20,2.35,2.43,2.21,2.21,1471840
2010-12-21,2.1,2.18,2.1,2.1,5415280
2010-12-22,2.0,2.21,2.0,2.0,16784160
2010-12-23,1.9,1.95,1.9,1.9,2076480
2010-12-24,1.8,1.9,1.8,1.8,4482240
2010-12-27,1.72,1.86,1.72,1.72,7298720
2010-12-28,1.68,1.75,1.63,1.63,4199360
2010-12-29,1.57,1.58,1.55,1.55,2289360
2010-12-30,1.47,1.62,1.47,1.62,20061840
2011-01-03,1.62,1.68,1.56,1.56,8864080
2011-01-04,1.54,1.6,1.51,1.52,4849520
2011-01-05,1.56,1.6,1.45,1.49,18572480
2011-01-06,1.52,1.54,1.46,1.49,6216320
2011-01-07,1.5,1.5,1.42,1.42,4250480
2011-01-10,1.44,1.44,1.35,1.35,1561520
2011-01-11,1.29,1.31,1.28,1.28,2390080
2011-01-12,1.23,1.29,1.22,1.27,6517120
2011-01-13,1.28,1.33,1.25,1.31,12130880
2011-01-14,1.32,1.34,1.25,1.29,3828000
2011-01-17,1.35,1.35,1.23,1.25,4336240
2011-01-18,1.24,1.27,1.23,1.25,2297920
2011-01-19,1.19,1.3,1.19,1.25,6723040
2011-01-20,1.23,1.27,1.22,1.25,1476800
2011-01-21,1.25,1.32,1.25,1.32,1111520
2011-01-24,1.35,1.38,1.35,1.38,207600
2011-01-25,1.45,1.45,1.45,1.45,161440
2011-01-27,1.52,1.52,1.52,1.52,2555200
2011-01-28,1.6,1.6,1.56,1.6,4868800
2011-01-31,1.65,1.65,1.53,1.54,5215760
2011-02-01,1.56,1.6,1.48,1.56,2761680
2011-02-02,1.57,1.6,1.54,1.59,2145120
2011-02-03,1.6,1.66,1.58,1.64,1559760
2011-02-04,1.68,1.68,1.56,1.56,993920
2011-02-07,1.56,1.56,1.48,1.48,5724720
2011-02-08,1.41,1.44,1.41,1.41,439600
2011-02-09,1.34,1.36,1.34,1.34,396000
2011-02-10,1.32,1.32,1.27,1.27,300320
2011-02-11,1.22,1.34,1.21,1.32,866560
2011-02-14,1.31,1.39,1.31,1.39,307680
2011-02-15,1.43,1.46,1.34,1.42,1350800
2011-02-16,1.47,1.49,1.42,1.49,1046800
2011-02-17,1.55,1.56,1.52,1.56,1002560
2011-02-18,1.62,1.64,1.49,1.49,4824000
2011-02-21,1.42,1.45,1.42,1.43,1265600
2011-02-22,1.44,1.44,1.36,1.36,1288960
2011-02-23,1.39,1.39,1.29,1.29,5297920
2011-02-24,1.25,1.26,1.22,1.24,4224000
2011-02-25,1.25,1.29,1.18,1.2,2535920
2011-02-28,1.18,1.2,1.16,1.18,3692080
2011-03-01,1.18,1.2,1.15,1.15,14394800
2011-03-03,1.16,1.21,1.1,1.11,17164480
2011-03-04,1.11,1.12,1.05,1.06,7254400
2011-03-07,1.02,1.06,1.02,1.06,3145040
2011-03-08,1.1,1.11,1.05,1.11,1453120
2011-03-09,1.14,1.16,1.1,1.16,7766160
2011-03-10,1.17,1.2,1.14,1.15,1018080
2011-03-11,1.16,1.18,1.11,1.12,1165760
2011-03-14,1.12,1.15,1.08,1.12,722240
2011-03-15,1.1,1.1,1.07,1.07,846000
2011-03-16,1.05,1.1,1.05,1.07,1489760
2011-03-17,1.02,1.08,1.02,1.06,560080
2011-03-18,1.06,1.08,1.04,1.04,2419520
2011-03-21,1.01,1.04,1.01,1.02,408160
2011-03-22,1.04,1.04,1.01,1.02,486480
2011-03-23,1.02,1.04,0.99,1.02,1193520
2011-03-24,1.02,1.05,1.0,1.03,1106160
2011-03-25,1.01,1.06,1.01,1.05,955520
2011-03-28,1.01,1.04,1.0,1.02,14658400
2011-03-29,1.01,1.06,1.01,1.03,2596320
2011-03-30,1.01,1.04,1.01,1.01,830960
2011-03-31,1.01,1.01,0.97,0.98,1051440
2011-04-01,0.96,0.99,0.96,0.97,1879360
2011-04-04,0.98,0.98,0.96,0.98,1516720
2011-04-05,1.01,1.01,0.96,0.97,1496960
2011-04-06,0.98,1.02,0.95,1.02,8225520
2011-04-07,1.06,1.07,1.03,1.04,7888000
2011-04-08,1.06,1.06,0.99,1.0,2035600
2011-04-11,1.0,1.0,0.96,0.96,874400
2011-04-13,0.96,0.98,0.95,0.96,1379520
2011-04-15,0.98,0.98,0.94,0.94,3817200
2011-04-18,0.91,0.97,0.9,0.91,1256880
2011-04-19,0.9,0.92,0.9,0.91,793600
2011-04-20,0.92,0.94,0.9,0.9,1055760
2011-04-21,0.9,0.91,0.85,0.86,1480400
2011-04-25,0.88,0.88,0.82,0.82,2157920
2011-04-26,0.8,0.8,0.78,0.78,1681760
2011-04-27,0.8,0.8,0.75,0.76,2900480
2011-04-28,0.78,0.78,0.74,0.75,2349520
2011-04-29,0.78,0.79,0.75,0.78,5792880
2011-05-02,0.81,0.81,0.75,0.77,3809280
2011-05-03,0.79,0.79,0.73,0.73,3184720
2011-05-04,0.7,0.72,0.7,0.7,1443920
2011-05-05,0.67,0.69,0.66,0.66,1243520
2011-05-06,0.67,0.67,0.64,0.64,837120
2011-05-09,0.66,0.66,0.62,0.63,3926800
2011-05-10,0.63,0.64,0.61,0.64,3553600
2011-05-11,0.65,0.67,0.64,0.67,14739760
2011-05-12,0.64,0.68,0.64,0.64,4541840
2011-05-13,0.61,0.66,0.61,0.62,4794160
2011-05-16,0.59,0.66,0.59,0.61,6268960
2011-05-17,0.63,0.63,0.6,0.61,2666880
2011-05-18,0.6,0.61,0.6,0.6,2252640
2011-05-19,0.6,0.63,0.6,0.63,1575280
2011-05-20,0.62,0.66,0.62,0.66,2741760
2011-05-23,0.66,0.7,0.63,0.69,7137600
2011-05-24,0.66,0.72,0.66,0.72,10780720
2011-05-25,0.74,0.76,0.71,0.76,13133360
2011-05-26,0.79,0.8,0.72,0.75,12566000
2011-05-27,0.76,0.76,0.71,0.75,4735360
2011-05-30,0.75,0.77,0.73,0.76,1173120
2011-05-31,0.76,0.77,0.72,0.74,2236720
2011-06-01,0.74,0.76,0.7,0.7,10630720
2011-06-02,0.7,0.71,0.68,0.68,12911840
2011-06-03,0.69,0.7,0.66,0.68,14342480
2011-06-06,0.65,0.69,0.65,0.68,9158000
2011-06-07,0.69,0.72,0.66,0.72,6935440
2011-06-08,0.7,0.75,0.68,0.72,12831360
2011-06-09,0.71,0.75,0.69,0.72,12743120
2011-06-10,0.73,0.76,0.72,0.76,14579280
2011-06-13,0.74,0.8,0.74,0.8,2464320
2011-06-14,0.84,0.84,0.84,0.84,2367520
2011-06-15,0.88,0.88,0.84,0.88,31452960
2011-06-16,0.92,0.92,0.92,0.92,6448320
2011-06-17,0.97,0.97,0.96,0.97,1485360
2011-06-20,1.02,1.02,0.98,1.02,23017040
2011-06-21,1.07,1.07,0.96,0.96,10493120
2011-06-22,0.92,1.01,0.92,1.01,15795920
2011-06-23,1.06,1.06,0.96,1.04,31351200
2011-06-24,1.06,1.06,0.99,1.02,4627520
2011-06-27,1.02,1.02,0.98,0.98,2282160
2011-06-28,0.96,0.97,0.93,0.93,2357360
2011-06-29,0.93,0.96,0.89,0.93,3491120
2011-06-30,0.95,0.96,0.91,0.94,936960
2011-07-01,0.94,0.97,0.94,0.94,1425600
2011-07-04,0.95,0.95,0.9,0.92,681840
2011-07-05,0.93,0.93,0.9,0.91,996880
2011-07-06,0.91,0.93,0.89,0.9,675360
2011-07-07,0.92,0.99,0.92,0.99,1390240
2011-07-08,1.09,1.09,1.04,1.09,13142000
2011-07-11,1.14,1.2,1.1,1.2,9930560
2011-07-12,1.24,1.26,1.17,1.23,21307520
2011-07-13,1.22,1.25,1.16,1.2,7294480
2011-07-14,1.18,1.2,1.17,1.18,3311120
2011-07-15,1.16,1.2,1.14,1.15,2662960
2011-07-18,1.16,1.18,1.12,1.14,2785520
2011-07-19,1.14,1.2,1.12,1.2,2201440
2011-07-20,1.22,1.26,1.22,1.26,2103360
2011-07-21,1.32,1.32,1.22,1.27,5245280
2011-07-22,1.31,1.31,1.26,1.3,2400080
2011-07-25,1.3,1.31,1.24,1.28,1673680
2011-07-26,1.3,1.31,1.22,1.24,2988320
2011-07-27,1.25,1.3,1.2,1.3,3022160
2011-07-28,1.35,1.36,1.32,1.36,11480080
2011-07-29,1.4,1.41,1.3,1.34,2954640
2011-08-01,1.4,1.4,1.32,1.39,2440880
2011-08-02,1.35,1.46,1.35,1.46,6494240
2011-08-03,1.5,1.51,1.44,1.49,3997440
2011-08-04,1.5,1.56,1.45,1.54,5620400
2011-08-05,1.54,1.54,1.46,1.46,3521600
2011-08-08,1.44,1.44,1.39,1.39,239760
2011-08-09,1.32,1.32,1.32,1.32,102000
2011-08-10,1.26,1.35,1.26,1.26,4545200
2011-08-11,1.2,1.24,1.2,1.2,5257440
2011-08-12,1.2,1.22,1.14,1.14,4714160
2011-08-16,1.1,1.18,1.08,1.08,3215760
2011-08-17,1.04,1.09,1.03,1.03,1909680
2011-08-18,0.98,0.99,0.98,0.98,1429440
2011-08-19,0.93,0.96,0.93,0.93,1401280
2011-08-22,0.91,0.98,0.89,0.98,1539680
2011-08-23,1.02,1.03,1.01,1.03,2097600
2011-08-24,1.08,1.08,1.07,1.08,2730400
2011-08-25,1.12,1.12,1.03,1.03,4445600
2011-08-26,1.04,1.04,0.98,0.98,2011040
2011-08-29,0.95,1.03,0.94,1.03,1636880
2011-08-30,1.08,1.08,1.05,1.08,2432480
2011-09-02,1.12,1.13,1.03,1.13,2430240
2011-09-05,1.13,1.19,1.1,1.19,2320640
2011-09-06,1.2,1.25,1.2,1.25,1518640
2011-09-07,1.31,1.32,1.3,1.32,1909760
2011-09-08,1.38,1.44,1.34,1.44,3110000
2011-09-09,1.45,1.5,1.3,1.34,5215840
2011-09-12,1.22,1.3,1.2,1.28,2264720
2011-09-13,1.35,1.39,1.32,1.37,1716640
2011-09-14,1.42,1.42,1.36,1.4,1596000
2011-09-15,1.44,1.44,1.36,1.37,813680
2011-09-16,1.41,1.47,1.35,1.38,1192080
2011-09-19,1.38,1.39,1.35,1.37,954560
2011-09-20,1.26,1.36,1.23,1.34,850880
2011-09-21,1.32,1.34,1.28,1.29,1128160
2011-09-22,1.25,1.3,1.22,1.24,850880
2011-09-23,1.2,1.24,1.18,1.2,804960
2011-09-26,1.15,1.21,1.1,1.15,2551760
2011-09-27,1.17,1.26,1.17,1.24,910240
2011-09-28,1.2,1.26,1.19,1.23,694480
2011-09-29,1.22,1.22,1.2,1.21,286960
2011-09-30,1.2,1.22,1.19,1.2,325360
2011-10-03,1.18,1.19,1.14,1.16,230800
2011-10-04,1.13,1.2,1.13,1.14,828720
2011-10-05,1.14,1.16,1.13,1.13,117280
2011-10-07,1.14,1.19,1.14,1.16,468640
2011-10-10,1.13,1.18,1.13,1.16,438960
2011-10-11,1.17,1.22,1.17,1.18,363520
2011-10-12,1.18,1.2,1.18,1.18,373280
2011-10-13,1.17,1.22,1.17,1.18,652320
2011-10-14,1.2,1.2,1.18,1.18,192320
2011-10-17,1.21,1.21,1.16,1.18,434960
