date,open,high,low,close,volume
2009-03-05,35.1,35.8,34.5,34.9,2765261
2009-03-06,34.5,35.0,34.0,34.4,1612703
2009-03-09,34.4,34.9,33.85,34.75,2214662
2009-03-12,35.0,35.5,34.65,35.0,1081977
2009-03-13,35.5,36.45,35.15,36.0,3037545
2009-03-16,35.75,37.2,35.75,36.7,2279033
2009-03-17,37.0,38.35,36.6,37.4,4025584
2009-03-18,37.5,39.2,37.5,38.45,2920823
2009-03-19,38.7,39.2,37.5,38.65,2559034
2009-03-20,37.75,38.7,37.75,38.5,1843499
2009-03-23,40.0,40.0,38.5,39.25,2736210
2009-03-24,39.6,39.85,37.75,38.1,3456443
2009-03-25,37.85,39.5,37.4,39.2,2848291
2009-03-26,39.7,40.45,38.1,39.15,6076424
2009-03-27,38.5,41.2,38.5,40.25,7159352
2009-03-30,41.0,43.45,40.0,42.45,14622816
2009-03-31,42.9,43.3,41.3,41.85,6930156
2009-04-01,41.0,43.25,41.0,42.4,6386612
2009-04-02,43.2,45.7,43.0,43.85,8769685
2009-04-06,44.4,47.1,42.45,46.7,11357479
2009-04-08,46.0,48.2,44.7,47.4,10275264
2009-04-09,47.4,48.6,45.0,46.5,8384666
2009-04-13,46.7,48.75,45.85,47.5,7343431
2009-04-15,47.2,49.15,46.5,48.0,5532400
2009-04-16,50.0,50.75,43.9,44.55,10331533
2009-04-17,44.6,46.9,44.0,44.8,4196379
2009-04-20,45.2,46.9,44.5,45.45,3443256
2009-04-21,45.0,48.05,43.8,47.3,7140433
2009-04-22,48.7,49.35,45.3,46.55,8324608
2009-04-23,45.8,47.2,44.85,46.5,3473423
2009-04-24,46.2,49.1,46.2,48.15,5148751
2009-04-27,47.7,48.4,45.0,45.35,4801598
2009-04-28,45.7,45.7,42.5,42.8,3006378
2009-04-29,42.9,44.6,42.75,44.05,3657764
2009-05-04,45.0,47.5,44.9,45.35,3851757
2009-05-05,45.9,48.45,45.15,47.65,5595213
2009-05-06,48.1,50.35,46.4,47.25,11934298
2009-05-07,48.5,49.2,47.35,48.8,4864528
2009-05-08,48.75,49.9,46.8,48.05,5240784
2009-05-11,48.2,48.95,45.15,46.05,3408295
2009-05-12,46.1,47.95,45.4,47.6,3463538
2009-05-13,47.7,49.0,46.2,46.75,5208189
2009-05-14,46.05,48.0,45.75,47.75,2902759
2009-05-15,48.4,49.2,47.5,47.85,5436212
2009-05-18,51.0,55.0,51.0,54.2,49549
2009-05-19,57.0,58.5,50.6,54.2,9656478
2009-05-20,54.0,62.0,53.5,60.65,13228892
2009-05-21,61.0,63.35,57.8,59.0,11240480
2009-05-22,60.3,63.8,59.0,63.05,15147643
2009-05-25,63.45,64.9,61.7,64.4,11414697
2009-05-26,65.7,65.75,60.65,62.05,9735125
2009-05-27,63.0,64.35,61.0,63.5,7606260
2009-05-28,64.5,66.0,61.85,62.65,4607197
2009-05-29,63.45,65.0,61.1,63.75,5872071
2009-06-01,66.0,68.5,64.0,68.15,10939930
2009-06-02,69.0,70.7,67.2,69.55,9730529
2009-06-03,70.1,70.35,66.6,68.05,6537907
2009-06-04,68.5,72.3,67.0,71.25,9217693
2009-06-05,71.8,72.25,67.75,68.5,4968820
2009-06-08,70.0,70.0,55.7,63.1,3845892
2009-06-09,62.75,68.8,60.15,68.0,6219387
2009-06-10,68.75,70.45,66.6,68.0,5795035
2009-06-11,65.55,73.6,65.55,71.75,8137065
2009-06-12,74.25,75.4,67.05,68.3,14931000
2009-06-15,65.55,72.25,65.55,71.0,13941793
2009-06-16,70.45,71.5,68.5,70.0,9556445
2009-06-17,68.25,71.35,64.75,65.6,7177269
2009-06-18,62.9,66.1,60.1,61.3,6375936
2009-06-19,62.15,64.4,60.1,62.6,7785508
2009-06-22,63.45,64.2,61.5,62.15,6173031
2009-06-23,60.0,64.25,59.55,63.65,5861277
2009-06-24,64.2,65.6,62.7,64.7,4103586
2009-06-25,65.85,66.25,62.5,63.3,7445387
2009-06-26,64.35,65.35,63.6,65.05,4240160
2009-06-29,64.1,67.95,64.1,66.65,6162849
2009-06-30,67.2,69.35,65.05,67.05,6070798
2009-07-01,68.75,68.75,64.75,65.95,6265975
2009-07-02,66.5,67.5,65.1,65.65,4289596
2009-07-03,65.8,72.4,64.55,70.95,11637322
2009-07-06,71.65,72.7,64.05,64.75,11260682
2009-07-07,64.2,65.4,58.85,60.25,8884809
2009-07-08,59.0,59.9,54.05,55.15,9163156
2009-07-09,55.85,57.1,52.85,53.4,8555118
2009-07-10,53.95,54.4,49.15,50.05,8341975
2009-07-13,48.4,50.65,47.1,50.0,6207501
2009-07-14,50.5,53.6,50.5,53.1,5468594
2009-07-15,55.9,55.9,53.8,54.55,5495400
2009-07-16,55.0,57.75,54.75,55.85,9000101
2009-07-17,56.0,57.85,56.0,57.15,4546996
2009-07-20,57.5,58.3,56.5,57.45,3856365
2009-07-21,57.45,59.4,56.25,57.1,7887492
