date,open,high,low,close,volume
2009-03-05,4.54,4.66,4.54,4.6,52420
2009-03-06,4.66,5.2,4.58,5.1,268950
2009-03-09,5.09,5.15,4.84,4.99,76380
2009-03-12,5.18,5.18,4.82,4.9,21425
2009-03-13,4.81,4.99,4.42,4.8,55310
2009-03-16,4.8,5.18,4.72,4.95,42905
2009-03-17,5.0,5.2,4.87,5.11,74470
2009-03-18,5.79,5.79,5.05,5.29,96000
2009-03-19,5.34,5.47,4.91,5.21,21960
2009-03-20,5.56,5.56,5.02,5.09,50625
2009-03-23,5.2,5.28,4.91,5.2,102690
2009-03-24,5.22,5.54,5.13,5.23,111295
2009-03-25,5.56,5.56,5.07,5.23,32315
2009-03-26,5.5,5.5,4.84,5.0,128725
2009-03-27,5.16,5.38,5.0,5.22,181370
2009-03-30,5.3,5.48,5.13,5.14,75450
2009-03-31,5.33,5.33,5.06,5.11,55655
2009-04-01,5.38,5.4,4.87,5.06,170990
2009-04-02,5.2,5.48,5.03,5.34,246105
2009-04-06,5.68,6.41,5.41,6.41,441975
2009-04-08,6.37,7.53,6.21,6.89,594680
2009-04-09,7.37,7.94,6.9,7.73,474880
2009-04-13,7.8,8.2,7.4,7.66,263645
2009-04-15,7.21,8.0,7.21,7.6,214595
2009-04-16,7.8,7.8,6.91,6.99,139805
2009-04-17,7.39,7.69,7.13,7.23,387435
2009-04-20,7.2,7.47,6.88,7.12,35255
2009-04-21,7.48,7.48,6.9,7.22,163020
2009-04-22,7.48,7.59,7.31,7.59,83705
2009-04-23,7.6,7.97,7.4,7.9,32365
2009-04-24,7.97,8.3,7.85,8.3,257605
2009-04-27,8.6,8.72,8.0,8.38,236810
2009-04-28,8.74,8.74,7.96,8.34,118120
2009-04-29,8.6,8.6,7.93,8.4,25330
2009-05-04,8.4,8.79,8.4,8.57,49025
2009-05-05,8.62,9.0,8.55,8.94,118675
2009-05-06,9.0,9.39,9.0,9.39,25350
2009-05-07,9.68,9.86,9.15,9.3,56950
2009-05-08,8.85,9.6,8.85,8.97,24005
2009-05-11,8.85,8.9,8.56,8.77,45310
2009-05-12,8.59,8.88,8.51,8.71,20395
2009-05-13,8.7,8.9,8.54,8.76,24990
2009-05-14,8.4,9.2,8.4,9.08,32230
2009-05-15,9.24,9.54,9.24,9.54,52570
2009-05-19,9.8,10.02,9.8,10.02,139185
2009-05-20,10.38,10.53,10.38,10.53,31555
2009-05-21,11.06,11.06,11.06,11.06,631305
2009-05-22,11.62,11.62,11.57,11.62,79435
2009-05-25,12.21,12.21,11.8,12.21,222095
2009-05-26,12.82,12.82,11.6,11.6,158705
2009-05-27,12.0,12.18,11.02,12.16,88270
2009-05-28,12.4,12.77,11.8,12.46,76380
2009-05-29,12.79,12.99,11.84,12.18,153195
2009-06-01,12.4,12.79,11.86,12.0,180150
2009-06-02,12.39,12.39,11.4,11.62,71345
2009-06-03,11.4,12.21,11.4,12.13,114210
2009-06-04,12.21,12.73,11.8,12.44,69115
2009-06-05,13.04,13.07,12.2,12.44,525580
2009-06-08,12.5,12.78,12.0,12.19,160435
2009-06-09,11.62,12.41,11.58,11.95,256865
2009-06-10,12.4,12.55,11.41,12.55,109590
2009-06-11,12.42,13.18,12.42,13.18,128085
2009-06-12,13.6,13.84,12.9,13.38,158420
2009-06-15,12.95,14.05,12.95,14.05,190805
2009-06-16,14.58,14.76,14.02,14.76,191630
2009-06-17,15.5,15.5,14.63,15.29,274520
2009-06-18,15.4,15.5,14.53,14.53,160110
2009-06-19,14.76,14.76,13.81,13.81,56680
2009-06-22,13.81,13.81,13.12,13.12,100495
2009-06-23,13.12,13.12,12.47,12.65,43075
2009-06-24,12.8,13.29,12.5,13.29,67095
2009-06-25,13.96,13.96,12.84,12.98,91010
2009-06-26,13.25,13.63,12.82,13.61,125005
2009-06-29,13.92,14.29,13.24,14.21,99650
2009-06-30,14.02,14.73,13.5,13.5,62265
2009-07-01,12.87,13.1,12.83,12.86,65590
2009-07-02,13.18,13.51,12.98,13.51,50720
2009-07-03,13.3,14.19,13.0,13.93,160995
2009-07-06,14.3,14.57,13.24,13.24,107740
2009-07-07,13.24,13.24,11.92,12.44,113810
2009-07-08,11.87,12.37,11.61,11.74,140930
2009-07-09,11.42,11.98,10.83,11.86,29115
2009-07-10,11.97,12.03,10.7,11.18,70555
2009-07-13,10.8,10.8,10.12,10.19,48375
2009-07-14,10.72,11.16,10.46,10.91,89045
2009-07-15,11.19,12.0,10.81,11.92,54475
2009-07-16,12.5,12.79,11.8,12.29,186795
2009-07-17,12.46,12.95,12.3,12.69,105325
2009-07-20,12.8,13.0,12.6,12.82,50240
2009-07-21,12.51,12.79,12.4,12.46,26030
