date,open,high,low,close,volume
2017-08-11,220.07,264.08,217.5,264.08,55234072
2017-08-14,286.0,287.5,264.83,271.15,19202718
2017-08-16,268.77,274.0,264.5,268.1,6482066
2017-08-17,267.4,273.48,266.1,268.77,4330378
2017-08-18,267.5,268.7,259.0,267.23,4786128
2017-08-21,268.33,269.85,260.42,262.13,2221058
2017-08-22,264.0,265.0,250.0,256.25,3039678
2017-08-23,256.77,258.95,252.52,254.3,1933098
2017-08-24,255.0,263.75,253.75,256.6,3302236
2017-08-28,257.5,260.5,254.45,255.05,1072778
2017-08-29,254.0,258.5,251.5,252.13,1629020
2017-08-30,253.25,258.45,253.25,257.42,1702072
2017-08-31,258.25,260.45,254.1,256.73,1344092
2017-09-01,257.5,269.42,256.0,265.8,4028642
2017-09-04,264.5,272.75,262.5,268.3,3053174
2017-09-05,269.5,271.9,266.75,269.6,1289926
2017-09-06,268.45,272.5,265.5,266.4,1477104
2017-09-07,267.0,268.73,265.0,266.45,798722
2017-09-08,267.3,280.55,265.52,274.45,5207140
2017-09-11,275.88,286.48,272.0,281.1,5035072
2017-09-12,289.38,289.9,278.02,279.3,3695900
2017-09-13,279.23,279.23,271.1,272.0,1347888
2017-09-14,272.73,274.92,270.27,271.13,947250
2017-09-15,270.0,279.5,268.5,273.7,1875724
2017-09-18,275.95,280.48,274.5,277.05,1631174
2017-09-19,277.45,278.0,272.17,272.63,592010
2017-09-20,273.0,277.42,272.5,272.77,696186
2017-09-21,273.48,275.0,267.0,270.17,788864
2017-09-22,269.55,269.55,264.27,266.42,983660
2017-09-25,266.42,266.75,255.5,262.58,947950
2017-09-26,262.5,267.25,260.25,263.77,413424
2017-09-27,265.0,265.77,260.5,263.0,1612514
2017-09-28,264.0,264.0,258.7,260.3,588352
2017-09-29,261.95,265.8,259.08,260.0,575670
2017-10-03,263.0,264.0,259.63,260.05,492208
2017-10-04,261.0,264.45,259.6,260.05,1546774
2017-10-05,260.85,263.0,258.92,259.27,596762
2017-10-06,260.3,262.33,259.0,259.35,534704
2017-10-09,260.0,262.42,257.5,258.05,598072
2017-10-10,258.98,293.1,258.5,286.13,13293500
2017-10-11,290.0,296.0,276.85,281.73,9364768
2017-10-12,283.45,287.35,281.7,283.92,1850750
2017-10-13,285.45,291.4,281.02,286.52,2495866
2017-10-16,288.4,288.85,282.5,284.73,994242
2017-10-17,284.95,288.17,281.5,283.95,1163282
2017-10-18,284.2,287.95,280.02,283.6,961200
2017-10-19,284.0,286.17,283.0,284.15,451546
2017-10-23,284.5,287.5,283.0,285.1,749578
2017-10-24,286.5,291.95,285.35,289.3,2145486
2017-10-25,291.45,293.0,284.65,285.48,663624
2017-10-26,286.2,287.08,283.05,283.58,565870
2017-10-27,284.9,291.5,282.63,285.65,1117394
2017-10-30,286.0,290.0,285.2,287.65,734030
2017-10-31,289.0,298.9,286.52,289.85,2396434
2017-11-01,291.0,293.5,287.75,289.15,696288
2017-11-02,289.75,292.0,287.0,288.02,548482
2017-11-03,288.85,290.0,287.0,287.5,403792
2017-11-06,287.23,289.9,285.5,286.4,425756
2017-11-07,288.25,288.25,281.55,283.73,753542
2017-11-08,282.5,286.0,281.45,282.88,812048
2017-11-09,282.58,285.35,281.05,281.55,640544
2017-11-10,281.6,284.7,280.7,281.73,513604
2017-11-13,280.0,280.0,273.0,274.83,717244
2017-11-14,274.85,277.5,272.83,275.7,360230
2017-11-15,276.98,276.98,270.5,270.92,332442
2017-11-16,272.92,274.4,271.0,272.17,234832
2017-11-17,273.4,281.5,273.4,277.13,551712
2017-11-20,280.0,289.6,279.0,287.52,1367054
2017-11-21,289.0,292.5,283.8,286.83,830086
2017-11-22,287.85,288.95,284.0,284.9,346374
2017-11-23,286.0,288.0,283.13,286.08,348648
2017-11-24,286.85,299.5,286.02,287.9,2529268
2017-11-27,287.5,292.7,284.0,284.88,673008
2017-11-28,285.35,288.08,285.0,285.7,706348
2017-11-29,286.0,286.63,284.08,284.65,422522
2017-11-30,284.25,289.67,283.0,284.8,1214906
2017-12-01,284.92,287.0,279.1,280.13,719728
2017-12-04,281.0,282.0,276.5,279.6,247834
2017-12-05,279.6,279.6,276.0,277.0,220100
2017-12-06,277.0,279.0,275.25,276.05,252764
2017-12-07,277.0,279.5,276.0,276.63,221792
2017-12-08,277.0,280.0,275.85,276.65,401798
2017-12-11,278.0,279.5,276.15,276.88,381180
2017-12-12,277.95,279.5,273.05,274.25,294436
2017-12-13,275.0,275.9,271.58,272.2,182114
2017-12-14,273.0,273.2,270.0,270.98,271018
2017-12-15,271.02,281.0,267.5,268.42,594800
2017-12-18,268.95,270.0,261.77,266.4,497384
2017-12-19,268.0,273.0,268.0,269.08,389884
2017-12-20,270.0,274.5,269.77,273.27,341904
2017-12-21,274.0,274.95,272.5,273.02,134496
2017-12-22,274.4,277.5,273.13,274.02,306000
2017-12-26,274.55,275.98,273.02,274.02,212452
2017-12-27,274.5,277.75,274.0,275.52,250186
2017-12-28,276.5,277.95,274.5,276.0,293062
2017-12-29,277.5,277.98,274.05,276.05,290860
2018-01-01,276.5,279.98,275.55,276.1,247916
2018-01-02,277.5,278.2,271.67,272.5,225714
2018-01-03,273.25,275.2,271.35,271.65,537860
2018-01-04,273.48,274.48,271.5,272.5,282812
2018-01-05,273.5,274.2,272.0,272.27,234256
2018-01-08,274.13,274.5,268.05,269.6,444140
2018-01-09,270.02,272.0,266.25,266.77,707110
2018-01-10,268.45,271.45,266.3,266.98,475096
2018-01-11,270.0,285.0,269.0,278.92,2439832
2018-01-12,281.33,284.9,276.6,278.08,1201272
2018-01-15,279.0,280.0,276.0,278.45,466838
2018-01-16,280.5,285.0,274.17,276.02,860262
2018-01-17,276.7,277.65,270.05,274.92,281480
2018-01-18,276.0,279.9,269.45,270.45,535426
2018-01-19,271.92,280.73,270.23,279.7,664878
2018-01-22,279.7,280.77,273.58,275.88,265764
2018-01-23,277.95,279.25,274.75,275.3,343762
2018-01-24,276.95,277.0,272.55,275.85,248740
2018-01-25,276.0,277.35,273.0,274.83,217270
2018-01-29,276.0,276.75,269.08,269.67,398512
2018-01-30,270.5,274.5,267.0,267.65,628456
2018-01-31,268.1,273.25,266.0,268.85,438040
2018-02-01,269.45,271.48,265.42,267.95,242334
2018-02-02,265.75,267.35,255.5,260.1,538556
2018-02-05,257.0,264.73,252.52,261.23,403032
2018-02-06,252.5,263.9,250.0,259.23,511512
2018-02-07,264.9,267.45,262.52,264.08,383882
2018-02-08,266.9,269.85,264.5,265.2,366196
2018-02-09,264.0,268.0,260.5,265.75,298780
2018-02-12,266.25,269.75,264.5,268.2,437228
2018-02-14,265.55,269.75,265.55,267.38,227934
2018-02-15,269.8,272.35,266.6,268.42,391612
2018-02-16,268.75,270.3,263.48,265.27,216198
2018-02-19,265.9,265.9,261.33,262.27,206310
2018-02-20,262.5,266.0,261.83,263.17,175866
2018-02-21,264.17,264.45,261.05,263.48,92074
2018-02-22,262.35,263.7,260.5,261.73,132638
2018-02-23,262.0,265.23,261.05,264.02,676842
2018-02-26,263.0,267.08,263.0,266.33,148326
2018-02-27,267.15,269.5,265.27,267.63,284296
2018-02-28,266.25,267.83,263.95,266.25,193090
2018-03-01,266.0,268.95,265.35,267.6,118320
2018-03-05,266.5,266.7,263.08,264.02,213334
2018-03-06,267.5,268.48,261.5,262.9,234792
2018-03-07,261.0,262.4,255.0,255.52,240664
2018-03-08,257.9,258.8,253.0,256.95,197520
2018-03-09,262.5,264.75,257.52,258.1,389518
2018-03-12,259.7,260.27,255.52,257.45,185938
2018-03-13,257.02,258.75,255.5,256.27,213634
2018-03-14,256.4,256.4,252.6,253.98,209290
2018-03-15,253.98,258.73,252.57,253.13,326664
2018-03-16,253.95,257.95,253.48,257.17,344034
2018-03-19,257.17,257.85,250.5,251.77,411850
2018-03-20,251.75,253.93,251.0,251.13,130566
2018-03-21,251.5,255.43,251.5,252.02,364058
2018-03-22,251.98,253.35,248.88,249.15,500524
2018-03-23,246.95,248.5,242.6,243.98,289116
2018-03-26,243.98,244.98,240.0,241.7,372152
2018-03-27,243.98,248.73,241.75,247.6,293670
2018-03-28,246.95,251.93,242.05,251.18,211410
2018-04-02,252.5,254.68,251.63,253.57,98170
2018-04-03,251.0,254.75,251.0,254.15,80230
2018-04-04,255.05,256.5,254.07,255.98,153530
2018-04-05,257.95,260.48,256.75,258.73,155986
2018-04-06,260.5,263.38,258.27,262.45,190968
2018-04-09,265.0,268.2,262.75,264.45,256154
2018-04-10,265.98,267.25,257.5,258.4,210434
2018-04-11,261.33,262.55,258.0,260.02,181524
2018-04-12,261.4,262.45,258.55,260.73,135102
2018-04-13,262.0,262.5,260.0,262.02,97390
2018-04-16,260.5,262.83,258.52,259.73,110426
2018-04-17,260.3,261.8,259.55,260.08,123116
2018-04-18,259.5,264.63,259.5,263.38,103370
2018-04-19,264.55,265.98,263.0,265.0,128536
2018-04-20,264.5,266.63,263.0,265.17,132024
2018-04-23,263.52,271.0,261.02,269.95,257764
2018-04-24,270.9,272.0,266.6,268.2,143354
2018-04-25,267.5,270.0,266.0,267.58,105200
2018-04-26,269.38,272.1,263.08,268.88,171702
2018-04-27,272.0,272.0,265.0,265.48,148608
2018-04-30,267.35,269.75,264.0,265.48,102816
2018-05-02,265.0,266.95,261.5,263.1,70018
2018-05-03,266.5,266.5,260.1,261.33,58180
2018-05-04,262.1,264.25,257.5,258.77,109176
