date,open,high,low,close,volume
2009-03-05,9.0,9.6,8.8,9.1,599865
2009-03-06,9.0,9.1,8.7,8.8,304930
2009-03-09,9.0,9.2,8.5,8.7,345690
2009-03-12,8.8,9.0,8.6,8.7,126130
2009-03-13,8.7,9.0,8.3,8.7,1953675
2009-03-16,8.8,9.3,8.7,9.2,1050140
2009-03-17,9.3,9.7,9.1,9.2,501655
2009-03-18,9.3,10.2,9.3,10.0,1246540
2009-03-19,10.1,11.7,10.0,10.5,4188490
2009-03-20,10.0,10.7,9.8,10.0,525450
2009-03-23,10.0,10.3,9.6,10.1,788270
2009-03-24,10.3,10.6,10.1,10.3,999945
2009-03-25,10.4,10.6,10.1,10.4,801610
2009-03-26,10.6,10.8,10.2,10.4,1025335
2009-03-27,10.4,10.7,10.4,10.6,448760
2009-03-30,10.4,11.1,10.2,10.3,566085
2009-03-31,10.4,10.8,10.3,10.6,737990
2009-04-01,11.0,11.3,10.5,10.6,1300800
2009-04-02,10.8,11.2,10.7,10.9,1277110
2009-04-06,11.2,11.4,10.7,10.9,1278255
2009-04-08,10.7,11.4,10.6,11.2,1935065
2009-04-09,11.4,12.4,11.2,12.0,2482155
2009-04-13,12.7,13.0,12.4,12.7,2007570
2009-04-15,12.6,14.4,12.0,13.4,2223395
2009-04-16,13.9,14.4,13.4,13.8,2149965
2009-04-17,14.1,15.4,14.0,14.6,2835135
2009-04-20,14.7,15.4,14.0,15.2,2315640
2009-04-21,14.9,15.1,14.2,14.6,744690
2009-04-22,14.8,15.0,13.4,13.6,690495
2009-04-23,13.3,13.8,12.9,13.2,750475
2009-04-24,13.2,13.8,13.2,13.6,416810
2009-04-27,13.6,14.4,13.6,14.1,884405
2009-04-28,14.1,14.3,13.7,13.8,541610
2009-04-29,14.0,14.2,13.2,13.9,587245
2009-05-04,14.4,14.8,14.0,14.5,744075
2009-05-05,14.6,15.6,14.5,15.2,1524160
2009-05-06,15.2,15.4,14.7,14.9,912740
2009-05-07,14.8,17.4,14.8,16.1,5170555
2009-05-08,16.1,16.4,15.2,15.4,1207085
