date,open,high,low,close,volume
2009-03-05,42.75,43.5,41.55,42.03,14872
2009-03-06,40.5,43.2,40.5,42.53,11524
2009-03-09,42.5,42.97,40.63,40.97,12394
2009-03-12,41.28,42.35,41.28,42.03,6988
2009-03-13,40.0,43.97,40.0,43.5,14112
2009-03-16,43.65,45.5,43.0,44.67,31128
2009-03-17,42.0,46.15,42.0,45.1,39948
2009-03-18,43.13,48.75,43.13,45.95,74396
2009-03-19,42.5,48.25,42.5,46.25,38060
2009-03-20,44.0,47.5,44.0,46.42,10982
2009-03-23,45.6,47.67,45.6,46.85,129020
2009-03-24,47.25,48.2,47.0,47.47,138382
2009-03-25,45.15,49.15,45.15,48.0,137282
2009-03-26,46.75,49.2,46.75,47.53,39750
2009-03-27,46.0,49.72,46.0,48.78,80694
2009-03-30,44.0,51.0,44.0,47.8,65240
2009-03-31,44.7,49.85,42.55,45.3,578152
2009-04-01,44.15,48.2,44.15,46.97,67512
2009-04-02,45.08,49.97,45.08,48.2,169532
2009-04-06,46.0,51.88,46.0,51.25,737508
2009-04-08,50.0,52.8,47.8,52.0,438746
2009-04-09,50.13,58.03,50.13,54.03,579386
2009-04-13,54.4,56.95,54.08,54.45,151722
2009-04-15,49.0,58.0,49.0,55.45,222388
2009-04-16,51.5,58.0,48.1,50.05,180744
2009-04-17,51.5,55.5,50.78,53.33,398130
2009-04-20,53.55,57.5,53.55,55.97,321084
2009-04-21,52.75,61.0,52.75,59.15,277100
2009-04-22,60.0,64.15,58.08,59.17,247008
2009-04-23,58.03,59.95,56.78,58.58,204898
2009-04-24,59.38,62.4,54.5,60.4,1204388
2009-04-27,62.35,64.75,59.5,63.03,415624
2009-04-28,61.95,62.4,60.5,61.45,228300
2009-04-29,60.5,62.4,59.63,61.55,146846
2009-05-04,62.03,64.25,60.5,63.8,120882
2009-05-05,64.0,64.5,62.08,64.1,73738
2009-05-06,60.97,67.25,60.97,65.85,164356
2009-05-07,66.5,72.22,66.5,69.53,58562
2009-05-08,70.0,73.25,67.5,69.45,66794
2009-05-11,73.25,77.22,69.05,71.07,89486
2009-05-12,71.0,72.75,69.95,71.8,56260
2009-05-13,73.45,74.5,70.25,70.85,64850
2009-05-14,68.78,71.5,68.78,70.97,29594
2009-05-15,72.5,72.5,69.25,69.95,103642
2009-05-18,77.53,80.0,77.53,79.55,1210
2009-05-19,81.0,82.5,72.5,78.15,429838
2009-05-20,77.5,84.4,77.0,82.6,159108
2009-05-21,83.47,88.4,79.5,81.32,117322
2009-05-22,80.0,87.4,80.0,84.85,105468
2009-05-25,87.5,94.5,86.5,93.2,237496
2009-05-26,96.25,96.25,87.8,88.72,92660
2009-05-27,90.0,94.75,90.0,91.55,73662
2009-05-28,90.05,92.5,89.03,90.22,51518
2009-05-29,90.0,93.45,89.03,91.0,203742
2009-06-01,93.47,94.95,90.0,93.2,265910
2009-06-02,93.5,110.45,93.45,106.9,944294
2009-06-03,108.5,116.0,101.5,112.57,782402
