date,open,high,low,close,volume
2018-08-23,390.0,426.9,385.0,422.05,11600387
2018-08-24,418.0,420.0,401.75,406.8,785983
2018-08-27,406.0,406.0,395.0,400.25,411202
2018-08-28,397.1,408.0,395.0,395.8,370390
2018-08-29,395.8,400.0,389.0,392.75,212493
2018-08-30,388.0,392.0,373.1,380.35,296385
2018-08-31,380.1,389.0,375.95,384.95,256303
2018-09-03,386.5,387.85,380.3,381.1,80770
2018-09-04,378.05,382.0,375.05,380.3,162888
2018-09-05,378.0,380.0,373.4,376.1,183808
2018-09-06,375.0,395.0,375.0,382.65,106322
2018-09-07,385.0,388.65,384.0,385.25,144584
2018-09-10,383.0,383.0,375.3,376.1,83141
2018-09-11,376.15,380.9,376.0,378.1,79912
2018-09-12,378.0,378.2,360.45,371.65,135269
2018-09-14,369.1,373.55,366.0,367.65,53753
2018-09-17,367.65,367.65,358.45,360.15,293017
2018-09-18,359.15,362.0,356.0,357.45,64000
2018-09-19,358.0,359.75,342.0,351.45,152301
2018-09-21,348.0,355.95,294.85,332.7,159380
2018-09-24,325.0,331.0,271.05,292.45,615181
2018-09-25,281.75,297.6,258.65,276.55,254102
2018-09-26,279.6,331.85,279.6,326.1,447494
2018-09-27,324.7,327.9,295.0,301.2,204139
2018-09-28,302.1,307.95,285.65,293.4,289156
2018-10-01,286.0,300.0,275.0,295.35,72722
2018-10-03,293.0,295.95,285.0,289.95,156998
2018-10-04,285.0,292.0,280.1,287.15,54270
2018-10-05,287.0,289.85,276.05,280.85,310535
2018-10-08,276.0,278.85,263.75,269.15,110920
2018-10-09,265.5,271.05,262.4,265.65,61062
2018-10-10,265.05,283.0,263.4,279.95,48015
2018-10-11,270.0,295.0,264.3,277.3,51990
2018-10-12,277.5,286.9,277.0,281.75,138597
2018-10-15,286.5,288.35,279.5,283.4,57091
2018-10-16,285.0,289.0,280.35,281.2,36611
2018-10-17,282.55,286.4,276.0,280.35,64947
2018-10-19,280.0,282.0,274.9,277.3,64508
2018-10-22,275.0,279.95,265.1,270.6,41446
2018-10-23,270.0,271.1,261.15,268.85,31084
2018-10-24,269.9,269.95,255.95,257.6,56209
2018-10-25,258.2,259.95,248.2,249.9,42751
2018-10-26,248.0,252.65,242.05,247.7,33349
2018-10-29,252.9,285.4,249.2,275.9,166599
2018-10-30,270.1,293.4,270.1,290.15,64264
2018-10-31,291.8,320.4,290.1,314.35,113608
2018-11-01,314.0,319.0,306.55,316.5,38544
2018-11-02,311.1,325.95,311.1,317.1,121795
2018-11-05,318.0,329.5,318.0,326.0,51931
2018-11-06,328.9,343.2,321.0,335.0,101895
2018-11-07,340.0,344.95,333.65,338.9,17463
2018-11-09,339.0,373.95,336.3,365.85,224986
2018-11-12,371.0,373.0,358.2,360.0,46418
2018-11-13,359.5,359.95,340.0,349.0,47641
2018-11-14,349.4,365.0,349.4,355.3,37246
2018-11-15,352.2,363.6,351.0,358.9,39809
2018-11-16,355.0,364.95,355.0,362.3,102341
2018-11-19,358.5,364.4,356.15,359.5,26420
2018-11-20,357.0,365.0,350.3,359.1,52775
2018-11-21,354.0,387.6,354.0,369.6,85387
2018-11-22,370.0,375.0,366.0,370.65,38986
2018-11-26,370.0,375.0,354.0,358.0,21592
2018-11-27,361.55,370.0,355.05,367.35,61163
2018-11-28,362.5,379.8,362.5,377.0,63906
2018-11-29,380.0,387.5,375.05,386.4,73796
2018-11-30,389.0,392.45,380.0,389.1,205036
2018-12-03,390.0,398.7,385.65,394.0,72784
2018-12-04,394.0,399.8,386.0,388.85,55745
2018-12-05,385.0,394.0,385.0,389.85,53611
2018-12-06,386.0,392.0,380.05,385.6,51439
2018-12-07,381.0,391.9,380.55,382.65,31615
2018-12-10,380.0,386.5,372.5,383.65,73625
2018-12-11,374.0,389.5,373.4,386.2,33545
2018-12-12,387.0,395.0,381.4,391.9,143035
2018-12-13,385.6,398.1,385.6,395.45,56527
2018-12-14,396.0,399.0,385.15,389.2,59964
2018-12-17,384.2,394.95,382.3,384.7,49798
2018-12-18,384.7,385.0,373.25,379.65,206921
2018-12-19,375.55,386.45,375.55,384.35,31598
2018-12-20,383.0,384.2,378.05,379.75,96654
2018-12-21,384.0,384.0,372.5,373.7,38431
2018-12-24,373.7,378.8,366.35,369.05,211898
2018-12-26,369.05,369.05,356.05,365.55,29680
2018-12-27,367.8,374.8,363.1,369.45,22675
2018-12-28,366.95,380.5,366.95,378.9,46102
2019-01-01,387.2,389.6,379.65,386.8,36817
2019-01-02,382.0,393.85,381.1,384.2,56469
2019-01-03,382.1,388.25,379.0,381.05,23396
2019-01-04,383.45,386.5,381.3,385.5,18909
2019-01-07,381.7,388.0,380.1,382.55,24835
2019-01-08,381.5,388.95,381.5,387.7,32830
2019-01-09,385.6,394.0,384.25,391.9,56923
2019-01-10,386.75,416.8,386.05,414.2,145295
2019-01-11,415.0,419.45,409.55,413.6,98462
2019-01-14,408.0,414.9,400.55,402.75,46457
2019-01-15,402.0,408.85,400.1,404.75,48655
2019-01-16,406.85,406.85,391.5,395.3,27574
2019-01-17,399.0,400.0,392.0,397.45,27853
2019-01-18,395.0,406.8,391.2,402.15,39662
2019-01-21,401.0,403.0,393.6,398.4,21948
2019-01-22,399.95,407.3,393.0,402.2,42155
2019-01-23,399.3,404.9,386.6,392.3,30192
2019-01-24,387.95,396.9,387.95,389.8,22416
2019-01-25,388.0,394.55,382.1,383.05,32111
2019-01-28,386.0,387.0,370.05,373.3,17895
2019-01-29,373.0,376.3,370.0,373.3,22024
2019-01-30,381.0,388.4,370.4,384.25,21578
2019-01-31,390.0,398.4,382.55,394.55,45829
2019-02-01,398.0,410.0,395.5,407.3,96991
2019-02-04,395.65,410.0,329.9,403.7,121090
2019-02-05,395.0,407.8,395.0,402.5,56718
2019-02-06,401.0,404.8,394.4,403.05,38297
2019-02-07,397.0,407.95,396.65,400.55,34574
2019-02-08,397.0,403.6,341.05,368.5,69223
2019-02-11,361.2,380.0,356.65,375.8,58308
2019-02-12,366.0,387.3,362.1,384.65,22478
2019-02-13,383.0,390.0,383.0,388.55,22078
2019-02-14,388.5,398.55,383.5,395.5,44674
2019-02-15,393.95,404.0,393.95,398.95,41075
2019-02-18,398.5,403.95,395.0,397.9,39532
2019-02-19,394.4,402.55,390.0,391.7,23587
2019-02-20,393.95,404.95,393.95,401.0,40967
2019-02-21,401.5,409.5,401.0,405.0,77722
2019-02-22,399.95,407.85,398.05,401.2,29277
2019-02-25,401.2,407.8,401.2,402.5,18503
2019-02-26,397.0,417.45,385.0,410.7,94733
2019-02-27,411.0,420.0,402.05,409.25,80608
2019-02-28,409.25,418.3,403.2,416.55,54081
2019-03-01,412.0,444.95,412.0,440.1,602760
2019-03-05,435.0,471.8,435.0,466.2,547039
2019-03-06,468.0,487.4,462.5,475.6,283975
2019-03-07,474.0,480.0,460.85,474.15,107099
2019-03-08,464.0,481.15,464.0,475.15,156069
2019-03-11,471.7,498.0,471.7,493.75,225620
2019-03-12,498.7,498.85,479.0,480.85,126788
2019-03-13,482.0,486.9,470.55,474.3,55251
2019-03-14,470.0,481.35,462.05,471.0,419781
2019-03-15,462.8,480.0,455.1,461.65,57094
2019-03-18,456.9,465.0,450.65,454.15,47856
2019-03-19,452.65,477.0,452.65,471.8,89684
2019-03-20,474.0,476.5,465.2,469.95,40423
2019-03-22,469.95,487.0,469.95,473.0,48903
2019-03-25,470.0,477.95,461.65,474.3,31834
2019-03-26,474.3,484.25,472.55,477.6,56056
2019-03-27,481.6,484.9,472.9,478.9,44460
2019-03-28,474.1,525.0,471.9,500.7,406762
2019-03-29,505.0,508.0,496.15,504.0,81962
2019-04-01,505.0,521.8,505.0,518.05,145853
2019-04-02,518.5,547.6,508.0,537.8,430466
2019-04-03,535.0,560.0,527.45,555.75,418660
2019-04-04,557.75,567.9,544.3,547.3,637409
2019-04-05,551.0,554.95,543.4,546.6,131209
2019-04-08,542.5,548.95,535.0,536.7,154701
2019-04-09,536.0,547.6,528.0,543.35,618364
2019-04-10,540.05,547.8,533.25,542.9,126513
2019-04-11,546.0,546.0,532.0,535.55,94114
2019-04-12,532.05,547.0,532.05,544.5,568505
2019-04-15,545.0,547.0,526.15,529.35,34805
2019-04-16,526.6,532.85,513.05,516.75,46304
2019-04-18,506.45,520.0,506.45,515.55,43141
2019-04-22,515.5,515.5,476.2,490.15,61159
2019-04-23,492.1,508.4,490.0,494.75,53184
2019-04-24,495.0,500.0,481.1,487.65,43684
