date,open,high,low,close,volume
2009-03-05,211.5,215.0,209.0,210.37,6940
2009-03-06,214.7,214.7,205.2,210.88,6340
2009-03-09,208.0,220.5,208.0,215.62,3570
2009-03-12,215.0,219.44,211.1,217.3,6040
2009-03-13,220.0,223.0,217.21,219.81,69110
2009-03-16,222.4,222.4,219.0,219.99,190040
2009-03-17,220.5,224.7,220.5,221.74,1420
2009-03-18,223.6,224.5,221.74,222.46,3070
2009-03-19,222.0,226.9,222.0,223.32,1300
2009-03-20,220.0,229.49,216.9,228.18,5800
2009-03-23,236.9,242.0,229.1,240.48,13870
2009-03-24,254.6,270.0,240.5,262.35,46090
2009-03-25,268.9,268.9,257.6,264.65,20310
2009-03-26,269.65,273.0,260.06,266.74,39970
2009-03-27,269.99,277.0,266.5,275.42,33100
2009-03-30,264.6,277.5,261.1,273.99,11990
2009-03-31,266.5,277.5,261.1,270.21,50270
2009-04-01,270.0,276.0,270.0,274.49,6390
2009-04-02,276.0,288.0,276.0,283.89,28840
2009-04-06,288.0,302.5,288.0,299.81,46900
2009-04-08,285.1,298.8,285.1,291.24,13840
2009-04-09,305.0,308.8,290.0,292.44,31350
2009-04-13,295.0,304.9,290.0,301.02,63840
2009-04-15,300.0,309.5,295.5,296.55,102380
2009-04-16,304.8,305.0,281.21,283.23,9280
2009-04-17,289.99,292.49,286.0,290.53,18250
2009-04-20,292.5,297.0,291.1,295.69,4720
2009-04-21,291.46,295.5,290.0,291.61,3140
2009-04-22,294.8,298.0,288.05,290.34,2330
2009-04-23,288.0,294.9,282.0,290.11,5240
2009-04-24,285.11,296.0,285.11,295.95,23220
2009-04-27,291.0,299.4,288.11,293.32,7770
2009-04-28,295.0,317.0,288.5,299.99,65120
2009-04-29,298.9,303.0,294.01,301.26,8920
2009-05-04,300.5,304.8,246.69,289.74,48610
2009-05-05,289.76,299.99,289.76,290.73,11150
2009-05-06,288.0,295.0,276.01,288.17,11710
2009-05-07,291.9,293.0,290.5,292.46,3810
2009-05-08,292.46,293.3,291.2,292.69,5170
2009-05-11,291.6,293.5,286.5,292.49,6730
2009-05-12,290.0,292.7,288.5,290.05,52930
2009-05-13,291.0,292.3,289.24,290.09,3130
2009-05-14,289.0,291.8,286.01,288.93,1370
2009-05-15,292.0,292.0,288.2,289.18,3530
2009-05-18,310.0,338.8,310.0,335.92,100
2009-05-19,312.4,340.0,295.0,310.54,66210
2009-05-20,314.4,318.0,305.1,308.07,5310
2009-05-21,311.3,317.4,305.41,306.7,21630
2009-05-22,306.6,315.0,306.6,309.31,4420
2009-05-25,310.0,312.0,302.5,305.98,12230
2009-05-26,310.0,311.0,299.0,300.63,42260
2009-05-27,301.0,310.0,300.0,305.2,21360
2009-05-28,302.1,307.0,300.12,301.56,6850
2009-05-29,304.89,315.0,297.5,302.99,373210
2009-06-01,304.05,312.0,301.1,304.11,16710
2009-06-02,306.01,345.0,303.2,334.49,101070
