date,open,high,low,close,volume
2016-05-13,129.0,135.45,125.0,135.45,8052683
2016-05-16,140.7,141.0,135.0,140.2,4533559
2016-05-17,141.0,141.0,134.0,139.0,5502478
2016-05-18,137.25,145.95,137.25,145.95,2127900
2016-05-19,147.2,149.0,140.15,142.6,7733437
2016-05-20,143.1,146.0,136.55,138.05,4687190
2016-05-23,137.0,138.5,132.05,136.55,3453429
2016-05-24,133.5,137.95,131.8,132.75,3208507
2016-05-25,134.0,134.0,128.15,133.65,2014257
2016-05-26,133.9,135.05,131.6,133.3,1405951
2016-05-27,135.95,136.95,132.1,132.45,237478
2016-05-30,133.95,134.0,127.0,130.0,1885482
2016-05-31,129.0,135.2,126.5,132.3,2344185
2016-06-01,132.0,135.0,132.0,134.6,688492
2016-06-02,133.05,140.0,133.05,138.6,3197895
2016-06-03,136.7,138.9,134.0,135.0,434481
2016-06-06,134.55,135.15,130.1,133.05,619297
2016-06-07,131.35,135.5,131.35,133.55,869424
2016-06-08,132.55,133.5,130.2,132.85,1740052
2016-06-09,132.2,134.0,131.75,133.55,322333
2016-06-10,131.6,139.35,131.6,133.5,1003831
2016-06-13,132.0,134.0,131.5,133.25,1687277
2016-06-14,134.0,137.5,132.95,136.55,1142547
2016-06-15,135.0,137.0,133.3,135.05,278110
2016-06-16,135.0,135.75,132.75,133.05,677301
2016-06-17,133.1,136.0,133.05,134.0,1235817
2016-06-20,134.0,135.5,132.95,133.6,969444
2016-06-21,135.0,144.0,135.0,137.75,714207
2016-06-22,137.3,143.9,137.0,138.55,519549
2016-06-23,137.55,138.6,137.05,138.15,920115
2016-06-24,133.0,141.05,130.0,136.7,1693185
2016-06-27,134.05,137.9,133.35,135.2,1927203
2016-06-28,138.0,139.0,133.5,134.35,829459
2016-06-29,135.0,139.75,134.15,138.85,4406576
2016-06-30,139.0,145.9,137.5,143.75,1650763
2016-07-01,142.0,144.25,141.0,142.85,220114
2016-07-04,145.0,147.7,141.0,142.65,491518
2016-07-05,142.5,143.15,139.05,140.0,2512301
2016-07-07,138.35,143.45,138.35,139.55,3142207
2016-07-08,140.05,143.0,138.85,142.3,459970
2016-07-11,143.0,143.25,140.6,142.1,706372
2016-07-12,142.0,142.95,139.9,141.1,556895
2016-07-13,141.2,143.5,140.8,142.9,951344
2016-07-14,141.35,145.9,140.05,141.55,946494
2016-07-15,142.95,145.0,142.35,143.8,445949
2016-07-18,144.0,145.0,139.6,140.3,426696
2016-07-19,142.7,143.55,140.8,141.1,473807
2016-07-20,142.0,155.1,141.8,152.5,3472955
2016-07-21,153.0,153.9,147.45,150.25,221588
2016-07-22,150.3,152.3,145.75,148.6,377959
2016-07-25,150.45,154.0,148.6,153.6,260824
2016-07-26,152.55,155.2,152.55,154.05,515814
2016-07-27,155.05,157.45,148.0,150.05,443652
2016-07-28,151.5,157.9,150.25,153.4,355759
2016-07-29,154.0,159.0,151.0,157.0,392183
2016-08-01,179.9,179.9,162.2,165.8,4518575
2016-08-02,168.1,168.1,161.6,162.0,484129
2016-08-03,162.9,164.95,159.9,161.35,2414384
2016-08-04,164.0,166.0,160.35,161.95,648431
2016-08-05,163.0,166.0,162.3,164.8,3697540
2016-08-08,164.4,172.5,163.55,171.75,2981931
2016-08-09,171.5,175.5,171.0,172.0,1173915
2016-08-10,173.5,175.0,166.25,168.45,819514
2016-08-11,167.5,172.75,165.0,170.0,1444653
2016-08-12,171.0,173.7,167.35,173.05,517552
2016-08-16,173.05,173.1,168.05,169.25,166371
2016-08-17,170.9,170.95,163.6,164.65,274060
2016-08-18,165.0,167.2,164.05,166.5,235518
2016-08-19,166.5,168.65,161.0,166.85,409967
2016-08-22,167.8,167.8,164.15,165.85,382292
2016-08-23,166.0,166.25,164.05,165.5,96815
2016-08-24,166.95,166.95,164.25,165.25,285268
2016-08-25,166.35,167.2,164.05,164.95,2888065
2016-08-26,165.25,165.7,163.65,164.55,167366
2016-08-29,164.4,166.85,162.1,165.0,253648
2016-08-30,166.6,166.6,164.25,165.0,203548
2016-08-31,166.75,166.75,164.2,164.75,488807
2016-09-01,165.85,171.95,165.5,167.0,585568
2016-09-02,166.8,175.05,166.8,173.75,878234
2016-09-06,174.0,175.45,172.05,173.05,1710780
2016-09-07,173.0,173.9,165.4,167.6,1508869
2016-09-08,169.7,169.7,163.0,164.05,960679
2016-09-09,170.0,173.95,163.6,164.6,1303662
2016-09-12,163.9,166.5,160.25,161.75,408520
2016-09-14,161.2,162.85,157.4,158.95,662901
2016-09-15,160.15,162.0,158.65,160.45,881881
2016-09-16,162.0,165.5,154.35,155.8,1688565
2016-09-19,157.4,160.5,155.2,155.7,772348
2016-09-20,156.95,157.55,155.9,156.35,279402
2016-09-21,156.6,161.85,156.0,159.75,1367207
2016-09-22,160.95,163.4,158.0,158.55,578828
2016-09-23,160.45,160.65,156.15,156.7,879651
2016-09-26,158.85,160.0,156.8,158.2,451451
2016-09-27,158.7,159.65,154.3,156.1,332876
2016-09-28,156.45,157.2,152.25,153.3,596510
2016-09-29,154.3,157.4,135.25,152.05,2278210
2016-09-30,153.05,154.8,150.5,153.95,392186
2016-10-03,154.7,159.0,153.65,157.7,3321781
2016-10-04,158.95,167.65,158.1,163.9,665639
2016-10-05,165.95,175.0,164.1,170.35,2064435
2016-10-06,171.8,175.75,170.45,172.6,1167418
2016-10-07,173.6,173.6,170.0,171.6,534553
2016-10-10,172.55,174.9,170.75,173.25,575965
2016-10-13,172.7,180.9,171.2,179.95,3443468
2016-10-14,180.45,182.85,176.6,177.7,911543
2016-10-17,178.0,182.35,177.95,181.8,849313
2016-10-18,182.0,185.6,178.15,180.1,1475336
2016-10-19,180.95,181.0,177.0,178.5,1523864
2016-10-20,179.25,185.0,179.0,183.95,923132
2016-10-21,186.0,186.8,182.05,183.8,774859
2016-10-24,180.55,189.2,178.5,186.6,646387
2016-10-25,187.8,191.35,185.1,188.75,1524453
2016-10-26,184.0,188.45,181.25,183.95,1305804
2016-10-27,184.0,186.9,175.5,183.9,2917093
2016-10-28,182.5,184.6,178.05,183.7,949227
2016-10-30,184.0,186.9,183.75,184.9,32728
2016-11-01,185.8,185.8,177.0,180.8,1746229
2016-11-02,178.3,179.95,172.6,173.7,160689
2016-11-03,173.7,176.5,171.0,175.0,141830
2016-11-04,175.4,177.75,168.25,176.05,631289
2016-11-07,177.35,177.55,172.25,174.15,135721
2016-11-08,175.05,175.9,165.25,168.65,602519
2016-11-09,135.25,168.0,135.25,165.55,2086349
2016-11-10,168.9,170.85,161.6,162.6,260780
2016-11-11,160.5,160.55,155.0,159.8,569142
2016-11-15,159.0,159.0,136.5,145.85,3277520
2016-11-16,150.0,154.45,144.75,152.5,1261825
2016-11-17,154.0,156.95,149.35,151.9,623817
2016-11-18,150.1,151.8,143.8,148.0,1500814
2016-11-21,150.0,159.7,140.0,153.4,880546
2016-11-22,150.7,157.4,145.45,151.1,330466
2016-11-23,151.05,151.1,145.65,146.9,250419
2016-11-24,146.0,146.9,144.0,145.55,172453
2016-11-25,148.95,148.95,142.0,145.15,254216
2016-11-28,144.5,149.35,144.5,146.85,130793
2016-11-29,147.25,151.85,143.55,146.15,2640185
2016-11-30,147.2,149.75,145.7,148.2,265256
2016-12-01,150.0,152.7,146.5,147.6,332871
2016-12-02,148.9,150.45,147.5,148.65,264613
2016-12-05,148.0,149.45,143.35,144.95,953597
2016-12-06,144.95,146.45,144.25,145.85,205444
2016-12-07,145.15,152.0,141.75,148.3,1670700
2016-12-08,147.25,159.0,145.65,154.75,1021812
2016-12-09,157.0,157.05,148.05,148.9,409909
2016-12-12,148.6,148.6,141.0,141.4,1533411
2016-12-13,143.0,143.5,141.7,142.25,236079
2016-12-14,142.0,144.85,141.5,142.7,1533147
2016-12-15,140.9,143.0,140.0,141.5,162290
2016-12-16,142.0,144.85,141.0,143.9,3011073
2016-12-19,143.0,144.85,139.0,141.75,430402
2016-12-20,142.0,144.7,141.05,144.25,118570
2016-12-21,144.25,146.9,143.8,145.6,438708
2016-12-22,145.8,146.0,140.35,141.5,107779
2016-12-23,140.85,145.9,140.4,145.05,890030
2016-12-26,144.0,144.25,138.0,140.4,317599
2016-12-27,142.8,144.9,140.05,143.1,5546361
2016-12-28,144.9,147.8,142.3,143.45,163695
2016-12-29,143.05,147.2,143.05,146.05,105154
2016-12-30,147.8,147.9,144.2,145.9,333101
2017-01-02,145.5,149.6,145.45,149.15,109947
2017-01-03,151.8,156.5,148.5,155.9,402467
2017-01-04,156.0,156.95,151.5,152.2,91089
2017-01-05,153.0,153.05,147.1,148.2,881217
2017-01-06,149.95,152.9,148.55,148.85,1060054
2017-01-09,150.9,150.9,148.2,150.0,177820
2017-01-10,150.0,152.0,148.75,150.8,479854
2017-01-11,151.4,159.5,150.25,155.95,436785
2017-01-12,157.8,157.8,153.5,154.7,384087
2017-01-13,157.0,157.55,155.25,157.3,249597
2017-01-16,159.7,166.05,157.55,160.3,512735
2017-01-17,161.0,162.6,158.9,161.65,176140
2017-01-18,164.0,165.9,161.65,165.3,1286956
2017-01-19,165.05,169.7,164.6,165.75,344446
2017-01-20,165.75,168.75,164.1,166.35,783481
2017-01-23,167.4,168.8,164.55,167.25,215270
2017-01-24,170.0,176.5,165.0,171.3,3360006
2017-01-25,178.75,188.0,177.05,183.9,2524666
2017-01-27,184.9,191.95,184.0,187.7,3340079
2017-01-30,187.85,190.25,184.0,186.85,1356642
2017-01-31,186.45,193.15,186.45,191.35,2395209
2017-02-01,191.0,195.9,188.0,192.55,3386188
2017-02-02,193.7,194.35,190.65,193.1,2658558
2017-02-03,192.8,192.9,188.15,191.75,222964
2017-02-06,193.2,193.2,184.3,188.4,714481
2017-02-07,188.4,195.0,187.95,194.15,526504
2017-02-08,193.0,194.75,189.3,193.0,537534
2017-02-09,193.0,201.1,192.05,197.85,1031037
2017-02-10,199.65,201.0,195.05,196.1,941035
2017-02-13,197.05,198.45,185.7,187.4,494630
2017-02-14,190.7,190.7,182.6,185.2,632251
2017-02-15,186.4,191.75,184.5,189.8,285634
2017-02-16,191.4,191.4,187.9,189.95,999690
2017-02-17,192.0,192.0,187.2,189.45,209405
2017-02-20,185.0,189.8,184.95,188.15,46569
2017-02-21,191.5,191.5,186.7,189.75,89602
2017-02-22,192.0,192.0,187.9,189.0,117921
2017-02-23,190.0,206.6,188.25,200.2,2269020
2017-02-27,201.65,203.4,190.25,192.8,775903
2017-02-28,193.9,193.9,186.65,189.9,831951
2017-03-01,189.05,192.15,187.4,188.4,254559
2017-03-02,189.75,193.7,187.6,189.1,615441
2017-03-03,189.8,191.9,186.9,187.9,506718
2017-03-06,187.5,188.5,183.45,186.05,1753584
