date,open,high,low,close,volume
2009-03-05,10.08,10.08,9.67,9.79,93283
2009-03-06,9.71,9.71,9.3,9.59,118287
2009-03-09,9.59,9.71,9.34,9.46,69074
2009-03-12,9.55,9.75,9.5,9.55,93548
2009-03-13,9.75,9.75,9.34,9.55,103926
2009-03-16,9.84,9.84,9.55,9.79,85817
2009-03-17,9.92,10.05,9.67,9.75,90087
2009-03-18,9.92,10.0,9.67,9.79,122795
2009-03-19,9.92,10.0,9.67,9.87,181976
2009-03-20,9.75,10.0,9.59,9.75,102615
2009-03-23,9.92,10.0,9.75,9.87,136534
2009-03-24,10.0,10.66,9.79,9.87,348422
2009-03-25,9.92,10.08,9.75,9.92,133224
2009-03-26,10.08,10.29,9.87,10.05,191363
2009-03-27,10.08,10.83,10.08,10.45,314708
2009-03-30,10.33,10.41,9.92,10.08,179888
2009-03-31,10.25,10.29,10.0,10.08,132742
2009-04-01,10.13,10.45,10.08,10.37,194537
2009-04-02,10.58,10.86,10.37,10.58,350271
2009-04-06,11.15,11.15,10.66,10.99,311957
2009-04-08,10.86,12.32,10.66,12.19,740318
2009-04-09,12.4,12.68,11.65,12.15,589458
2009-04-13,12.6,13.14,12.23,12.81,704877
2009-04-15,13.05,14.05,12.44,13.93,800698
2009-04-16,13.96,14.46,13.23,13.51,655750
2009-04-17,13.51,14.63,13.39,13.72,849385
2009-04-20,13.68,14.84,12.89,13.31,429457
2009-04-21,13.31,13.47,12.73,13.14,448731
2009-04-22,13.39,13.68,12.77,12.94,359499
2009-04-23,12.81,12.97,12.48,12.73,226277
2009-04-24,12.6,13.05,12.6,12.97,148518
2009-04-27,12.97,13.47,12.77,12.85,383521
2009-04-28,12.68,14.46,12.68,13.35,1177390
2009-04-29,14.09,14.46,13.64,13.76,2251384
2009-05-04,13.96,14.38,13.55,13.68,591914
2009-05-05,13.85,14.01,13.55,13.64,366042
2009-05-06,13.31,14.05,13.31,13.55,465624
2009-05-07,13.55,13.88,13.39,13.47,216333
2009-05-08,13.59,13.64,12.89,13.05,407991
2009-05-11,13.23,13.31,12.77,12.89,215198
2009-05-12,12.81,13.31,12.44,12.97,268404
2009-05-13,12.97,13.31,12.73,12.94,230448
2009-05-14,12.65,13.14,12.48,12.85,177258
2009-05-15,12.89,13.23,12.85,13.05,180225
2009-05-18,14.75,14.87,14.46,14.67,2783
2009-05-19,15.78,16.12,13.64,14.95,2183076
2009-05-20,14.95,17.97,14.95,17.97,2188488
2009-05-21,18.59,21.57,18.59,21.15,1668207
2009-05-22,21.07,23.05,19.59,21.32,2709579
2009-05-25,22.06,22.73,21.57,22.23,1464423
2009-05-26,22.23,22.73,20.05,20.21,1451156
2009-05-27,20.7,20.78,19.5,19.87,992176
2009-05-28,19.87,20.45,19.67,20.0,467754
2009-05-29,20.0,20.66,19.84,20.16,1187330
2009-06-01,20.33,20.62,20.05,20.37,826679
2009-06-02,20.66,20.66,19.92,20.16,625069
2009-06-03,20.45,20.66,20.08,20.33,659645
2009-06-04,20.5,22.23,20.29,21.82,1857081
2009-06-05,22.4,23.59,21.57,21.77,1469605
2009-06-08,22.11,22.73,20.33,20.58,933024
2009-06-09,20.66,21.65,19.87,20.95,572657
2009-06-10,21.41,22.06,20.66,21.07,630340
2009-06-11,21.41,22.06,20.66,20.78,1047361
2009-06-12,22.06,22.06,20.66,20.75,873451
2009-06-15,20.66,21.07,19.92,20.08,393863
2009-06-16,20.08,20.08,19.09,19.87,355912
2009-06-17,19.92,20.29,19.01,19.14,577820
2009-06-18,19.34,19.5,17.85,18.43,615065
2009-06-19,18.59,19.01,17.94,18.31,414674
2009-06-22,18.64,19.42,18.26,18.85,497325
2009-06-23,19.42,19.63,18.55,18.72,949493
2009-06-24,19.01,20.05,18.47,19.14,1385259
2009-06-25,19.79,19.79,18.59,18.72,487239
2009-06-26,18.85,18.96,18.39,18.8,552416
2009-06-29,19.14,19.59,18.96,19.46,821520
2009-06-30,20.16,20.21,19.05,19.14,677579
2009-07-01,19.55,19.75,18.85,18.93,977726
2009-07-02,19.34,19.34,18.47,18.59,398934
2009-07-03,18.72,18.96,18.26,18.43,439934
2009-07-06,18.39,19.01,17.06,17.35,557065
2009-07-07,17.97,17.97,16.53,16.77,445164
2009-07-08,17.73,17.73,15.78,16.12,439896
2009-07-09,16.12,16.77,15.91,16.57,242772
2009-07-10,16.86,17.52,16.24,16.36,527318
2009-07-13,14.87,16.36,14.87,15.86,293152
2009-07-14,16.36,17.19,16.07,16.45,655816
2009-07-15,16.74,17.68,16.65,17.52,526156
2009-07-16,18.1,18.39,17.32,17.52,427498
2009-07-17,17.89,18.1,17.56,17.85,363874
2009-07-20,18.1,18.43,17.77,18.23,408211
2009-07-21,18.26,18.26,17.85,18.14,261281
2009-07-22,18.23,18.59,17.85,18.05,386262
2009-07-23,18.43,18.64,18.18,18.59,358542
2009-07-24,18.64,19.25,18.64,19.05,639101
2009-07-27,19.22,19.79,19.14,19.67,604146
2009-07-28,19.71,20.25,19.67,19.79,449601
2009-07-29,19.67,19.84,18.96,19.34,382380
2009-07-30,19.22,19.67,18.88,19.01,436115
2009-07-31,19.22,19.71,18.93,19.01,536883
2009-08-03,19.01,19.63,19.01,19.34,464109
2009-08-04,19.42,19.84,19.25,19.67,640519
2009-08-05,19.59,19.84,19.22,19.34,645152
2009-08-06,19.34,19.34,18.18,18.31,1003054
2009-08-07,18.47,19.5,17.89,19.14,891610
2009-08-10,19.34,19.46,18.64,18.96,898591
2009-08-11,18.96,19.01,18.35,18.43,347582
2009-08-12,18.18,18.8,18.14,18.59,324252
2009-08-13,18.85,19.67,18.59,19.46,1039315
2009-08-14,19.22,19.63,18.96,19.46,862662
2009-08-17,19.01,19.42,18.59,18.72,585456
2009-08-18,18.59,18.88,18.47,18.68,350484
2009-08-19,18.8,18.93,18.18,18.43,340726
2009-08-20,18.59,18.85,18.26,18.39,330078
2009-08-21,18.51,19.3,18.43,19.01,706387
2009-08-24,19.22,19.84,19.17,19.5,899171
2009-08-25,19.46,19.92,19.34,19.63,632601
2009-08-26,19.63,20.08,19.63,20.0,575014
2009-08-27,20.13,20.58,20.05,20.08,602828
2009-08-28,20.25,21.86,19.92,21.15,1561323
2009-08-31,20.86,23.1,20.83,22.68,4549414
2009-09-01,22.73,23.76,21.07,21.28,2361360
2009-09-02,22.11,22.23,20.91,21.57,979000
2009-09-03,21.86,22.06,21.15,21.41,719616
2009-09-04,21.61,21.65,21.04,21.32,538917
2009-09-07,21.57,22.06,21.49,21.61,682545
2009-09-08,21.65,21.98,21.04,21.36,781400
2009-09-09,21.49,22.85,20.75,22.56,1801503
2009-09-10,22.97,23.05,21.57,21.77,1623898
2009-09-11,22.06,22.94,21.57,22.68,1884503
2009-09-14,22.23,23.47,21.9,22.65,1854766
2009-09-15,23.05,24.09,22.77,23.72,2617143
2009-09-16,23.96,24.22,23.23,23.39,1365564
2009-09-17,23.55,23.85,22.85,22.97,991126
2009-09-18,22.94,23.88,22.32,23.39,1157924
2009-09-22,23.39,23.55,22.56,22.77,1021611
2009-09-23,22.81,23.64,22.52,22.6,1413882
2009-09-24,22.89,23.64,21.98,23.39,1464647
2009-09-25,23.26,24.92,23.14,24.3,3946284
2009-09-29,25.62,25.62,24.87,25.13,2939620
2009-09-30,25.29,25.78,24.67,25.45,1888031
2009-10-01,25.54,25.75,24.87,24.95,1312514
2009-10-05,25.75,25.75,23.96,24.14,901992
2009-10-06,24.46,24.59,23.47,23.85,936131
2009-10-07,24.17,24.67,23.76,23.93,882725
2009-10-08,23.96,24.22,23.47,23.68,571222
2009-10-09,23.96,23.96,22.52,22.73,915875
2009-10-12,22.97,23.14,22.77,22.89,472672
2009-10-14,23.14,24.71,23.05,24.46,1764552
2009-10-15,24.63,24.79,23.8,24.05,756661
2009-10-16,24.25,24.84,23.88,24.63,1421952
2009-10-17,24.63,25.41,24.63,25.21,890748
2009-10-20,25.7,26.04,24.79,25.21,3610644
2009-10-21,25.7,26.12,24.95,25.08,2031113
