date,open,high,low,close,volume
2009-03-05,41.0,41.78,38.53,39.8,9778
2009-03-06,39.75,40.85,37.0,37.67,22252
2009-03-09,37.58,39.0,36.0,36.92,61490
2009-03-12,37.5,38.5,36.78,37.63,4858
2009-03-13,39.28,39.28,34.4,35.1,29302
2009-03-16,35.0,37.47,35.0,35.9,34680
2009-03-17,36.5,38.0,36.13,37.45,17730
2009-03-18,38.42,40.5,38.42,40.15,32134
2009-03-19,41.6,43.45,40.0,43.1,24448
2009-03-20,44.5,44.5,42.1,44.22,16512
2009-03-23,43.25,45.8,41.17,42.13,18916
2009-03-24,42.55,42.55,40.25,41.53,33030
2009-03-25,41.45,42.5,41.1,42.13,63478
2009-03-26,43.0,47.88,41.55,41.95,205076
2009-03-27,42.5,43.97,41.75,43.05,46686
2009-03-30,43.5,43.5,40.47,41.6,15946
2009-03-31,41.6,42.75,41.42,42.5,32680
2009-04-01,42.03,46.0,42.03,43.55,14428
2009-04-02,43.5,49.5,43.25,47.55,92030
2009-04-06,48.5,48.5,45.15,45.58,19778
2009-04-08,45.38,47.88,45.28,47.45,32256
2009-04-09,48.0,49.0,46.5,48.47,21382
2009-04-13,48.67,56.5,47.0,53.6,130760
2009-04-15,52.5,55.75,52.5,53.3,45554
2009-04-16,54.0,54.75,50.05,51.33,31632
2009-04-17,50.5,53.35,50.5,51.9,9160
2009-04-20,51.53,52.92,48.5,49.15,25380
2009-04-21,49.85,51.3,49.85,50.72,21404
2009-04-22,51.4,54.25,51.0,53.67,33690
2009-04-23,54.9,55.5,51.0,54.45,11776
2009-04-24,55.0,61.0,54.53,59.03,66904
2009-04-27,61.0,63.0,58.5,61.83,79044
2009-04-28,62.45,73.88,60.03,67.45,308790
2009-04-29,68.0,73.95,62.0,70.57,313314
2009-05-04,71.25,84.7,70.0,84.5,496178
2009-05-05,86.78,89.0,77.57,87.47,783362
2009-05-06,86.0,88.5,83.03,84.72,917638
2009-05-07,85.5,87.0,85.0,85.05,40600
2009-05-08,85.0,91.47,82.68,84.85,202712
2009-05-11,86.0,88.5,85.0,85.03,76844
2009-05-12,83.63,85.0,80.8,82.35,37606
2009-05-13,84.65,84.65,79.5,80.43,16074
2009-05-14,82.45,82.45,76.05,76.18,11604
2009-05-15,79.0,79.35,74.0,75.13,22052
2009-05-19,80.0,82.65,75.15,78.6,76444
2009-05-20,80.0,85.0,78.68,83.82,135056
2009-05-21,87.0,90.5,85.0,88.0,188794
2009-05-22,91.0,91.0,83.5,85.03,37722
2009-05-25,87.0,88.0,84.28,86.85,12248
2009-05-26,87.0,88.0,85.8,86.28,10032
2009-05-27,89.0,89.0,85.5,86.85,7008
2009-05-28,86.78,88.5,86.0,86.65,8316
2009-05-29,85.1,95.32,85.1,89.9,39628
2009-06-01,89.45,94.75,87.57,88.95,72216
2009-06-02,88.13,89.57,86.1,88.0,8462
2009-06-03,88.78,96.8,88.5,96.68,361210
2009-06-04,99.35,99.35,91.5,92.07,31580
2009-06-05,90.0,93.95,86.6,87.57,28796
2009-06-08,91.45,91.45,81.5,82.8,8798
2009-06-09,83.03,91.1,78.22,90.1,138582
2009-06-10,90.0,96.4,85.95,86.35,96098
2009-06-11,89.4,89.9,85.55,86.47,30716
2009-06-12,86.13,88.85,84.03,84.78,14028
2009-06-15,84.45,89.4,81.0,81.93,8136
2009-06-16,81.5,82.25,79.07,80.9,10588
2009-06-17,80.9,83.8,78.75,79.6,11542
2009-06-18,78.5,82.45,74.13,74.7,15414
2009-06-19,75.03,77.0,75.0,75.25,5358
2009-06-22,75.53,76.95,73.25,75.13,13482
2009-06-23,75.0,75.0,72.75,73.45,5592
2009-06-24,72.72,76.0,71.32,75.3,22458
2009-06-25,76.8,82.5,76.5,80.18,148596
2009-06-26,81.05,87.25,81.05,85.55,23298
2009-06-29,85.25,89.5,82.53,87.28,39992
2009-06-30,87.5,92.0,85.0,89.0,554778
2009-07-01,89.0,90.95,85.5,89.8,33004
2009-07-02,85.5,91.47,85.5,89.53,11374
2009-07-03,88.0,90.0,87.5,88.28,5370
2009-07-06,89.97,93.15,87.5,90.2,131344
2009-07-07,90.5,90.5,87.8,88.45,6442
2009-07-08,84.68,90.5,83.5,88.63,6006
2009-07-09,89.5,90.9,87.5,89.93,12518
2009-07-10,88.3,89.82,87.0,87.5,9650
2009-07-13,85.75,88.5,84.0,86.68,7544
2009-07-14,83.07,90.0,83.05,88.95,3872
2009-07-15,91.95,106.75,90.05,100.88,501064
2009-07-16,104.85,112.35,101.15,104.57,149630
2009-07-17,105.03,114.75,105.03,112.38,251198
2009-07-20,113.8,127.25,111.55,119.97,228486
2009-07-21,121.0,125.0,111.0,112.95,125348
2009-07-22,114.85,119.75,110.5,111.8,346300
2009-07-23,113.5,118.45,113.5,116.68,58374
2009-07-24,118.1,119.0,112.53,113.0,21618
2009-07-27,117.5,117.5,110.28,114.4,113052
2009-07-28,115.0,116.0,112.65,113.93,14342
2009-07-29,113.5,115.93,110.05,112.13,12066
2009-07-30,113.97,115.97,111.18,114.15,59728
2009-07-31,116.5,116.5,113.53,115.38,144082
2009-08-03,115.5,117.0,111.0,112.63,24972
2009-08-04,114.95,114.95,108.0,109.97,36278
2009-08-05,114.4,114.5,110.53,111.57,191082
2009-08-06,112.5,117.5,109.53,113.22,74568
2009-08-07,114.45,114.45,109.5,111.57,33456
2009-08-10,114.0,117.5,112.5,114.4,45584
2009-08-11,114.85,116.25,112.57,115.53,29388
2009-08-12,113.53,116.0,113.5,115.88,13958
2009-08-13,116.47,121.9,116.03,120.47,58876
2009-08-14,120.5,122.05,117.0,120.25,21692
2009-08-17,117.15,125.0,117.0,122.55,45838
2009-08-18,121.5,126.5,121.5,125.1,41764
2009-08-19,126.5,129.7,123.1,123.88,195850
2009-08-20,124.0,126.5,124.0,125.0,26026
2009-08-21,127.0,127.5,125.0,125.05,7954
2009-08-24,125.0,127.5,125.0,126.03,12862
2009-08-25,126.85,136.5,125.0,134.13,59990
2009-08-26,135.0,143.0,135.0,141.38,114724
2009-08-27,142.5,145.0,134.95,135.35,36176
2009-08-28,135.63,137.45,130.5,131.27,28250
2009-08-31,131.27,132.4,124.3,124.97,259806
2009-09-01,125.03,129.98,122.57,125.25,83172
2009-09-02,125.0,128.0,124.53,127.53,33898
2009-09-03,131.98,131.98,125.03,126.2,41404
2009-09-04,129.95,137.5,125.5,136.43,51846
2009-09-07,137.5,141.0,135.5,140.0,31080
2009-09-08,141.5,149.23,139.0,146.13,95682
2009-09-09,146.25,149.2,140.65,142.57,27176
2009-09-10,140.57,145.75,140.0,140.4,16282
2009-09-11,144.8,146.0,135.52,139.93,23422
2009-09-14,139.93,139.95,133.25,134.88,8314
2009-09-15,137.0,138.0,134.05,135.38,19076
2009-09-16,136.5,136.5,134.0,134.75,12936
2009-09-17,135.0,135.4,131.0,132.4,10098
