date,open,high,low,close,volume
2009-03-05,43.25,44.45,43.25,44.15,739764
2009-03-06,43.53,44.63,43.3,44.45,162966
2009-03-09,43.72,45.58,43.28,44.75,2457946
2009-03-12,44.83,45.35,44.25,44.92,1038846
2009-03-13,45.9,46.05,44.97,45.88,376282
2009-03-16,45.05,47.25,45.05,47.2,967432
2009-03-17,47.5,47.5,46.42,47.15,1157484
2009-03-18,47.5,47.88,46.75,47.4,611764
2009-03-19,46.75,47.7,46.53,47.33,360638
2009-03-20,46.58,46.75,45.65,46.5,732140
2009-03-23,47.0,47.0,46.42,46.53,780988
2009-03-24,47.2,47.5,46.63,47.13,389260
2009-03-25,46.63,47.35,46.05,46.45,295444
2009-03-26,46.25,48.5,45.67,47.42,1345460
2009-03-27,47.4,47.5,46.3,46.85,163214
2009-03-30,46.85,48.0,46.5,47.47,365840
2009-03-31,47.5,50.0,46.9,49.6,676016
2009-04-01,48.55,50.0,48.05,48.75,141492
2009-04-02,48.5,49.4,47.55,47.8,251996
2009-04-06,48.0,49.0,47.4,47.63,236868
2009-04-08,47.75,47.75,46.5,46.83,488000
2009-04-09,46.78,47.97,46.78,47.63,403692
2009-04-13,48.0,48.67,47.5,48.33,261752
2009-04-15,47.75,49.38,47.6,49.05,481180
2009-04-16,49.2,50.5,48.1,48.78,1044760
2009-04-17,49.5,50.2,49.0,49.83,894042
2009-04-20,50.0,50.42,49.17,49.5,2632826
2009-04-21,49.17,53.47,49.17,52.08,4717474
2009-04-22,53.25,53.25,49.8,51.67,2358106
2009-04-23,52.0,54.15,51.13,53.08,2384582
2009-04-24,52.5,54.3,51.53,53.85,2257448
2009-04-27,53.55,54.4,50.58,51.53,3227132
2009-04-28,51.25,52.25,50.22,50.75,952668
2009-04-29,51.0,52.8,50.78,51.85,2202166
2009-05-04,52.5,54.0,52.05,52.5,924352
2009-05-05,52.5,53.45,52.1,52.5,481642
2009-05-06,52.5,52.97,51.55,52.5,794482
2009-05-07,52.5,55.0,52.5,54.78,3489850
2009-05-08,54.95,56.38,54.03,55.4,1397848
2009-05-11,55.5,56.35,55.0,56.13,6776408
2009-05-12,56.0,57.17,54.28,54.72,1372842
2009-05-13,55.0,55.13,54.08,54.67,649594
2009-05-14,54.0,54.5,53.15,53.72,1332648
2009-05-15,54.22,54.7,52.9,53.17,867560
2009-05-18,56.35,61.5,55.0,57.5,1360
2009-05-19,52.55,57.97,52.5,56.85,3268368
2009-05-20,57.0,58.45,56.0,56.78,1686936
2009-05-21,57.5,57.85,55.05,56.0,1011034
2009-05-22,55.55,56.9,55.0,55.47,308638
2009-05-25,55.0,60.0,55.0,57.38,4570532
2009-05-26,59.38,59.97,55.78,56.35,6014578
2009-05-27,57.67,58.1,56.03,56.95,3621216
2009-05-28,56.13,57.25,55.0,55.33,1059354
2009-05-29,55.5,56.45,55.0,55.22,785718
2009-06-01,56.25,56.25,54.1,54.45,5386332
2009-06-02,54.75,55.92,52.9,54.83,2585100
2009-06-03,55.45,56.95,54.83,56.45,4102650
2009-06-04,56.7,58.4,56.13,56.88,3441200
2009-06-05,58.0,58.0,56.25,56.88,1582900
2009-06-08,56.45,58.42,54.65,55.45,1358120
2009-06-09,53.58,56.42,52.55,56.2,984868
2009-06-10,56.5,57.95,55.9,57.03,6155832
2009-06-11,56.25,58.83,56.05,56.97,2124316
2009-06-12,57.5,58.4,56.28,57.58,2273700
2009-06-15,57.0,58.4,56.25,57.35,1500628
2009-06-16,56.05,57.75,56.05,57.38,791414
2009-06-17,57.5,58.2,55.65,56.4,936116
2009-06-18,56.0,57.45,56.0,56.63,1461698
2009-06-19,57.5,57.8,56.63,57.55,1092620
2009-06-22,56.8,59.63,56.8,58.55,1918340
2009-06-23,58.0,59.0,57.08,58.75,1140452
2009-06-24,58.5,59.9,58.5,59.25,908272
2009-06-25,59.25,61.45,59.0,60.63,3241284
2009-06-26,60.0,61.15,59.65,60.75,3150110
2009-06-29,60.6,62.0,60.0,61.35,1130306
2009-06-30,61.85,63.75,60.75,62.85,961848
2009-07-01,64.0,64.35,61.53,62.05,1012198
2009-07-02,63.1,65.5,61.28,65.0,1913576
2009-07-03,64.45,66.0,64.03,65.2,650204
2009-07-06,65.45,66.47,63.08,64.3,769080
2009-07-07,64.75,65.95,63.55,65.07,1702636
2009-07-08,65.93,66.0,62.03,63.4,1232750
2009-07-09,63.5,65.5,62.03,64.57,1925614
2009-07-10,64.57,66.0,64.55,65.6,2139452
2009-07-13,65.75,66.28,64.55,65.82,1252360
2009-07-14,66.13,66.75,64.75,65.03,1714838
2009-07-15,65.75,65.78,64.15,64.82,2580474
2009-07-16,67.0,67.5,65.5,66.03,1168776
2009-07-17,66.95,66.95,65.7,66.0,488114
2009-07-20,66.5,69.5,65.75,67.45,1351686
2009-07-21,67.7,67.97,64.9,65.32,587704
2009-07-22,65.0,67.4,65.0,66.5,987074
2009-07-23,67.0,68.0,66.0,66.63,433288
2009-07-24,66.18,67.4,64.32,64.88,1164414
