date,open,high,low,close,volume
2009-03-05,15.5,16.1,15.3,15.4,3218
2009-03-06,15.0,15.5,15.0,15.4,1526
2009-03-09,15.2,15.3,15.0,15.2,2198
2009-03-12,14.8,16.5,14.8,15.2,3772
2009-03-13,15.0,16.5,15.0,16.2,33614
2009-03-16,17.5,17.8,16.5,17.6,14198
2009-03-17,18.1,19.4,18.1,19.4,12784
2009-03-18,19.7,20.4,19.7,19.9,31646
2009-03-19,19.2,20.4,19.2,20.1,16346
2009-03-20,20.0,20.5,19.7,20.1,20968
2009-03-23,19.7,20.8,19.2,20.2,7840
2009-03-24,20.8,20.8,19.7,20.0,9746
2009-03-25,19.1,20.5,19.0,19.9,3974
2009-03-26,19.9,20.6,19.8,20.0,6328
2009-03-27,19.0,20.3,19.0,20.0,2954
2009-03-30,19.2,20.4,19.0,19.1,6830
2009-03-31,19.2,20.0,19.2,19.7,2368
2009-04-01,20.3,20.6,18.7,20.6,6340
2009-04-02,20.8,21.3,19.7,20.0,10024
2009-04-06,20.5,21.0,20.4,21.0,12998
2009-04-08,21.0,22.0,21.0,22.0,4216
2009-04-09,22.2,23.2,22.2,23.2,5200
2009-04-13,23.2,24.3,23.2,24.3,8186
2009-04-15,25.5,25.5,25.0,25.5,4000
2009-04-16,26.8,26.8,26.8,26.8,9386
2009-04-17,28.2,28.2,28.2,28.2,2642
2009-04-20,29.6,29.6,29.6,29.6,1216
2009-04-21,31.0,31.0,31.0,31.0,2524
2009-04-22,32.6,32.6,29.5,29.5,35342
2009-04-23,29.2,29.2,28.0,28.0,5822
2009-04-24,26.7,29.4,26.7,29.4,16588
2009-04-27,30.3,30.3,29.0,29.2,3772
2009-04-28,30.0,30.4,28.4,28.6,11006
2009-04-29,29.8,29.8,27.8,28.4,5116
2009-05-04,29.0,29.3,27.1,27.1,6974
2009-05-05,28.2,28.5,27.2,27.6,4204
2009-05-06,26.7,28.7,26.3,26.7,14450
2009-05-07,26.7,27.0,25.5,26.8,6352
2009-05-08,26.5,28.2,25.9,26.7,9038
2009-05-11,27.6,27.7,25.4,25.6,4768
2009-05-12,25.2,25.8,24.7,25.0,16154
2009-05-13,26.2,26.3,25.0,25.5,11102
2009-05-14,25.0,26.8,25.0,26.8,22490
2009-05-15,26.7,28.1,26.7,28.1,8440
2009-05-19,29.6,29.6,29.6,29.6,10888
2009-05-20,30.9,31.0,30.9,31.0,3904
2009-05-21,32.6,32.6,31.7,31.8,13600
2009-05-22,33.3,33.4,30.4,32.7,93782
2009-05-25,31.2,34.4,31.2,34.2,25240
2009-05-26,35.0,35.8,33.5,33.9,8692
2009-05-27,34.0,35.3,34.0,34.8,9722
2009-05-28,34.0,34.0,33.1,33.6,16730
2009-05-29,33.3,35.2,32.3,34.6,22312
2009-06-01,36.3,36.3,35.4,36.2,20954
2009-06-02,37.0,37.7,35.0,36.5,12434
2009-06-03,37.5,37.5,35.4,36.8,11810
2009-06-04,37.2,37.3,35.8,36.8,11152
2009-06-05,36.8,38.7,36.8,37.4,42292
2009-06-08,36.8,39.3,35.7,39.3,42028
2009-06-09,40.3,41.3,40.0,41.3,12578
2009-06-10,43.3,43.3,43.3,43.3,11714
2009-06-11,45.5,45.5,41.8,44.6,81890
2009-06-12,44.7,46.2,44.2,45.7,28958
2009-06-15,45.2,46.5,43.5,43.6,22264
2009-06-16,43.5,45.7,43.5,45.5,16538
2009-06-17,44.2,47.3,43.8,44.4,9722
