date,open,high,low,close,volume
2009-03-05,96.5,98.5,95.45,96.6,7016
2009-03-06,94.0,97.0,93.2,95.7,22773
2009-03-09,94.95,96.0,94.0,94.5,19531
2009-03-12,96.2,96.2,94.4,95.0,22758
2009-03-13,95.1,96.5,94.55,94.7,12068
2009-03-16,96.0,96.85,93.1,93.9,39513
2009-03-17,95.0,95.5,91.0,91.9,21923
2009-03-18,92.65,95.0,92.2,92.5,30421
2009-03-19,94.8,94.8,91.1,91.8,15657
2009-03-20,91.3,92.65,91.0,91.9,10857
2009-03-23,92.5,92.95,89.0,89.35,135057
2009-03-24,91.5,92.0,89.6,90.75,29958
2009-03-25,90.05,91.45,87.05,87.7,79203
2009-03-26,90.0,90.0,88.0,88.45,25472
2009-03-27,89.0,90.0,86.8,87.5,34110
2009-03-30,88.5,89.0,86.1,86.45,48419
2009-03-31,86.1,88.35,85.1,86.5,31523
2009-04-01,87.0,88.4,85.75,86.1,45657
2009-04-02,88.0,103.35,87.0,103.2,395067
2009-04-06,107.0,123.85,104.5,122.0,1367183
2009-04-08,114.0,117.85,106.7,114.8,148835
2009-04-09,116.5,120.5,110.6,113.8,91835
2009-04-13,117.0,121.8,111.0,117.85,153960
2009-04-15,117.0,121.0,114.0,118.7,54147
2009-04-16,121.7,122.5,115.25,117.15,64957
2009-04-17,119.0,119.0,115.6,116.35,43691
2009-04-20,117.5,119.0,113.2,116.2,60109
2009-04-21,114.8,116.0,112.0,113.7,26917
2009-04-22,115.9,117.8,113.05,113.9,50111
2009-04-23,113.9,122.0,113.1,117.8,167990
2009-04-24,122.05,137.4,117.6,118.95,154642
2009-04-27,120.8,127.75,117.0,117.7,50159
2009-04-28,118.45,120.0,114.35,114.85,36168
2009-04-29,113.65,115.95,110.5,112.25,25178
2009-05-04,114.0,117.9,113.5,117.1,38584
2009-05-05,116.0,117.4,115.1,115.7,13282
2009-05-06,115.0,118.5,114.0,115.25,21101
2009-05-07,116.75,116.8,113.0,114.85,21076
2009-05-08,115.45,115.5,113.5,113.85,10859
2009-05-11,114.95,115.0,109.5,112.4,18077
2009-05-12,111.0,111.0,106.0,108.3,34552
2009-05-13,110.0,110.0,107.2,107.8,28397
2009-05-14,106.0,107.9,104.05,105.25,21791
2009-05-15,105.5,108.4,105.05,105.65,23929
2009-05-19,115.0,118.0,110.0,114.85,65422
2009-05-20,114.0,137.85,113.0,124.3,532943
2009-05-21,126.5,130.0,119.05,121.9,139037
2009-05-22,120.0,124.5,118.0,121.75,61575
2009-05-25,123.0,127.6,122.5,123.45,101821
2009-05-26,124.0,126.0,115.1,117.05,73913
2009-05-27,119.75,121.95,115.5,117.4,78411
2009-05-28,117.8,125.0,117.0,117.3,167951
2009-05-29,118.45,123.0,118.45,122.1,76969
2009-06-01,124.95,146.55,123.0,140.2,1246700
2009-06-02,141.8,142.0,129.6,133.9,264329
2009-06-03,136.0,146.0,134.0,137.85,235959
2009-06-04,137.0,143.75,134.0,139.55,124737
2009-06-05,142.85,142.85,134.15,134.9,66654
2009-06-08,135.1,136.5,126.05,127.0,61426
2009-06-09,127.0,134.0,124.1,132.6,34732
2009-06-10,134.8,139.0,131.0,136.7,83249
2009-06-11,135.0,137.5,127.6,132.25,53703
2009-06-12,134.0,137.0,125.0,125.5,91188
2009-06-15,131.25,131.25,123.05,124.05,39603
2009-06-16,124.05,128.45,118.95,125.35,66883
2009-06-17,125.0,134.45,125.0,129.8,235119
2009-06-18,129.0,133.95,126.25,129.05,85380
2009-06-19,137.0,145.0,126.6,129.0,73739
2009-06-22,129.0,132.0,126.0,127.1,14450
2009-06-23,126.5,126.75,122.0,124.0,30767
