date,open,high,low,close,volume
2009-03-05,7.14,7.19,6.8,7.03,34008
2009-03-06,6.88,7.47,6.82,7.44,6572
2009-03-09,7.13,7.19,6.89,7.13,28196
2009-03-12,7.5,7.63,6.88,7.22,7572
2009-03-13,7.03,7.43,7.03,7.26,19524
2009-03-16,7.38,7.59,7.15,7.49,23180
2009-03-17,7.59,7.7,7.5,7.53,33616
2009-03-18,7.6,7.88,7.5,7.53,28492
2009-03-19,7.53,7.68,7.28,7.57,5908
2009-03-20,7.72,7.82,7.0,7.78,51440
2009-03-23,7.43,8.0,7.43,7.88,9384
2009-03-24,8.0,8.09,7.88,8.0,18568
2009-03-25,8.01,8.19,8.0,8.13,44248
2009-03-26,8.13,8.5,8.13,8.4,23232
2009-03-27,8.38,8.5,8.15,8.43,51144
2009-03-30,8.21,8.48,8.13,8.25,36068
2009-03-31,8.13,8.5,8.13,8.25,6484
2009-04-01,8.02,8.57,7.99,8.45,5372
2009-04-02,8.48,8.99,8.19,8.66,52512
2009-04-06,8.63,8.75,8.45,8.5,46588
2009-04-08,8.48,8.99,8.25,8.81,42336
2009-04-09,8.82,9.0,8.75,8.96,57860
2009-04-13,9.25,9.75,9.02,9.6,78148
2009-04-15,9.44,9.84,9.38,9.63,84540
2009-04-16,9.75,10.14,8.93,9.13,47412
2009-04-17,9.32,9.32,8.89,8.99,33772
2009-04-20,9.43,9.43,8.32,8.8,18504
2009-04-21,8.5,8.75,8.45,8.69,28692
2009-04-22,8.79,9.0,8.6,8.69,46524
2009-04-23,8.45,9.38,8.45,9.02,30788
2009-04-24,8.75,9.06,8.75,8.86,23224
2009-04-27,8.54,9.25,8.54,8.96,59892
2009-04-28,8.75,8.86,8.57,8.75,9508
2009-04-29,8.38,9.04,8.34,8.88,153224
2009-05-04,9.73,9.73,9.0,9.06,47940
2009-05-05,9.07,9.38,9.0,9.04,78468
2009-05-06,9.0,9.38,8.95,9.06,192156
2009-05-07,9.19,9.45,9.1,9.25,44416
2009-05-08,9.13,9.93,8.89,9.13,121576
2009-05-11,9.41,9.41,8.51,8.93,43224
2009-05-12,9.23,10.63,8.81,8.88,82376
2009-05-13,8.9,9.5,8.9,9.43,64320
2009-05-14,9.13,9.7,9.0,9.49,35812
2009-05-15,9.31,9.88,9.31,9.51,156504
2009-05-19,9.52,10.24,8.5,9.68,168996
2009-05-20,10.14,10.75,9.84,10.55,148180
2009-05-21,10.75,11.49,10.52,10.69,200168
2009-05-22,10.75,10.99,10.25,10.48,67240
2009-05-25,10.0,11.75,10.0,11.1,253636
2009-05-26,11.25,13.32,11.25,12.2,1312248
2009-05-27,12.75,12.75,10.38,12.14,328308
2009-05-28,11.36,12.35,11.36,11.76,90500
2009-05-29,12.1,12.5,11.75,12.14,277732
2009-06-01,12.31,12.5,11.59,11.93,298356
2009-06-02,12.13,12.25,11.77,11.82,90780
2009-06-03,12.0,12.13,11.27,11.76,355808
2009-06-04,12.32,12.63,11.52,12.26,391988
2009-06-05,13.24,13.24,12.23,12.5,331436
2009-06-08,12.5,13.0,11.66,11.86,144024
2009-06-09,11.88,12.0,11.56,11.75,170688
2009-06-10,11.75,12.63,11.75,12.0,347088
2009-06-11,12.44,13.0,11.82,12.54,259808
2009-06-12,12.63,14.7,12.5,14.14,1141960
2009-06-15,14.01,14.81,13.51,14.54,566736
2009-06-16,13.82,15.2,13.82,14.29,810160
2009-06-17,14.46,15.05,13.25,13.31,90252
2009-06-18,13.13,13.48,12.2,12.26,200720
2009-06-19,12.38,12.63,12.14,12.27,114812
2009-06-22,12.19,12.49,12.02,12.11,19904
2009-06-23,12.27,12.27,11.88,12.01,15232
2009-06-24,12.06,13.75,12.06,12.91,433216
2009-06-25,13.7,13.7,12.51,12.71,59692
2009-06-26,12.9,12.9,12.31,12.51,45008
2009-06-29,12.91,12.93,12.32,12.48,47580
2009-06-30,12.34,12.61,12.25,12.31,59276
2009-07-01,12.19,12.48,11.77,12.39,38756
2009-07-02,12.43,12.68,12.26,12.44,19988
